               Team    G   W   L  T    PCT    GB   RS   RA  Diff   XPCT      Home      Road     vs T      vs C     vs DB     vs G      vs S      vs D    Inter
0    Hanshin Tigers  143  85  53  5  0.616    --  555  424   131  0.621  45-23(3)  40-30(2)       --   15-9(1)     13-12  18-6(1)   17-7(1)   15-9(1)  7-10(1)
1    Hiroshima Carp  143  74  65  4  0.532  11.5  493  508   -15  0.486  44-26(2)  30-39(2)  9-15(1)        --  14-10(1)     17-8  13-11(1)  12-12(1)      9-9
2     DeNA BayStars  143  74  66  3  0.529  12.0  520  496    24  0.522  39-30(2)  35-36(1)    12-13  10-14(1)        --    11-14  14-10(1)   16-8(1)     11-7
3    Yomiuri Giants  143  71  70  2  0.504  15.5  523  507    16  0.514  39-30(2)     32-40  6-18(1)      8-17     14-11       --      17-8   15-9(1)     11-7
4   Yakult Swallows  143  57  83  3  0.407  29.0  534  567   -33  0.473     36-36  21-47(3)  7-17(1)  11-13(1)  10-14(1)     8-17        --     14-11     7-11
5  Chunichi Dragons  143  56  82  5  0.406  29.0  390  498  -108  0.390  30-39(3)  26-43(2)  9-15(1)  12-12(1)   8-16(1)  9-15(1)     11-14        --  7-10(1)
