               Team    G   W   L  T    PCT    GB   RS   RA  Diff   XPCT      Home      Road      vs H      vs B      vs C      vs T      vs D   Inter
0    SoftBank Hawks  123  67  49  7  0.578    --  513  436    77  0.574  36-24(4)  31-25(3)        --  17-12(2)     16-11  17-13(2)  16-10(3)     1-3
1    ORIX Buffaloes  122  64  49  9  0.566   1.5  462  414    48  0.550  38-24(3)  26-25(6)  12-17(2)        --  15-13(2)   17-8(2)  18-10(2)  2-1(1)
2    Hiroshima Carp  113  53  52  8  0.505   8.5  413  428   -15  0.484  27-21(5)  26-31(3)     11-16  13-15(2)        --  15-14(3)   14-7(3)      --
3    Hanshin Tigers  119  56  55  8  0.504   8.5  501  470    31  0.529  32-24(3)  24-31(5)  13-17(2)   8-17(2)  14-15(3)        --   21-5(1)     0-1
4  Chunichi Dragons  112  33  70  9  0.320  27.5  378  525  -147  0.354  17-32(5)  16-38(4)  10-16(3)  10-18(2)   7-14(3)   5-21(1)        --     1-1
