                   Player    G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%    BB%  BB/K   wSB PullAIR%  Chase%  Z-Con%  Swing% SwStr%    TTO% Age  Pos  B                Team League
233      Miyamoto Takeshi   65  123   90  11   20   5   0   0   25    7   1   0   9   2   18   17    0   5    4  0.222  0.368  0.278  0.646    91  0.056  0.270   14.6%  13.8%  0.94   0.2    14.5%   19.9%   84.5%   39.9%   9.6%   28.5%  28  UTL  L     Yakult Swallows     CL
234         Motoyama Hiyu   22   42   39   1    7   1   0   0    8    3   0   0   2   1   13    0    0   0    1  0.179  0.175  0.205  0.380    13  0.026  0.259   31.0%   0.0%  0.00  -0.0    10.3%   44.9%   83.3%   57.3%  17.3%   31.0%  24    4  L     Yakult Swallows     CL
235     Murakami Munetaka  140  597  496  76  127  28   0  31  248   84   5   3   0   4  168   90    4   7    6  0.256  0.375  0.500  0.875   152  0.244  0.319   28.1%  15.1%  0.54  -0.2    16.1%   21.1%   74.2%   42.1%  14.5%   48.4%  23    5  L     Yakult Swallows     CL
236        Nagaoka Hideki  135  488  445  43  101  19   1   3  131   35   4   2   7   2   57   29    5   5   11  0.227  0.281  0.294  0.575    69  0.067  0.253   11.7%   5.9%  0.51  -0.0    16.4%   30.2%   90.6%   51.5%   8.2%   18.2%  21    6  L     Yakult Swallows     CL
237        Nakamura Yuhei  106  376  310  24   70  14   0   4   96   33   0   1  21   4   59   33    0   8    6  0.226  0.313  0.310  0.623    83  0.084  0.263   15.7%   8.8%  0.56  -0.4    13.8%   14.4%   93.0%   37.5%   5.0%   25.5%  33    2  R     Yakult Swallows     CL
238       Namiki Hidetaka   82  174  161  37   39   3   1   1   47    7  15   2   4   0   33    8    0   1    2  0.242  0.282  0.292  0.574    69  0.050  0.299   19.0%   4.6%  0.24   1.9     4.5%   25.0%   87.0%   43.6%   9.3%   24.1%  24    8  R     Yakult Swallows     CL
240       Nishida Akihisa    8    8    8   1    1   0   0   0    1    0   0   0   0   0    3    0    0   0    0  0.125  0.125  0.125  0.250   -23  0.000  0.200   37.5%   0.0%  0.00  -0.0     0.0%   60.0%   80.0%   61.3%  19.4%   37.5%  31    2  R     Yakult Swallows     CL
241       Nishimura Ruito    1    1    1   0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -94  0.000         100.0%   0.0%  0.00   0.0             0.0%    0.0%   40.0%  40.0%  100.0%  18       L     Yakult Swallows     CL
242     Nishiura Naomichi    6   12   12   1    2   0   0   0    2    1   0   0   0   0    5    0    0   0    0  0.167  0.167  0.167  0.334     1  0.000  0.286   41.7%   0.0%  0.00  -0.0     0.0%   42.1%   78.9%   64.3%  23.8%   41.7%  32    4  R     Yakult Swallows     CL
243        Ogawa Yasuhiro   23   49   37   1    4   2   0   0    6    5   0   0  11   0   23    1    0   0    0  0.108  0.132  0.162  0.294   -11  0.054  0.286   46.9%   2.0%  0.04  -0.0     4.0%   32.5%   76.9%   46.4%  17.5%   49.0%  33    1  R     Yakult Swallows     CL
244        Ohnishi Hiroki   46    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000   -94  0.000  0.000    0.0%   0.0%         0.0     0.0%          100.0%   50.0%   0.0%    0.0%  25    1  R     Yakult Swallows     CL
245            Ohta Kengo   20   42   41   1    8   0   0   0    8    1   0   0   0   0   11    1    0   0    1  0.195  0.214  0.195  0.409    23  0.000  0.267   26.2%   2.4%  0.09  -0.0    13.3%   27.8%   83.6%   48.5%  11.1%   28.6%  26    8  L     Yakult Swallows     CL
246      Okumura Nobuyuki    3    5    4   2    2   1   0   0    3    1   0   0   0   1    2    0    0   0    0  0.500  0.400  0.750  1.150   225  0.250  0.667   40.0%   0.0%  0.00  -0.0     0.0%   27.3%   83.3%   45.0%  15.0%   40.0%  28    4  L     Yakult Swallows     CL
247            Onaka Yuya   11    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000   -94  0.000  0.000    0.0%   0.0%         0.0     0.0%    0.0%  100.0%   40.0%   0.0%    0.0%  28    1  L     Yakult Swallows     CL
248            Osuna Jose  134  543  501  49  127  23   0  23  219   71   2   4   0   2   79   39    5   1   13  0.253  0.308  0.437  0.745   115  0.184  0.259   14.5%   7.2%  0.49  -1.0    19.3%   24.8%   87.9%   46.5%  10.1%   26.0%  30    3  R     Yakult Swallows     CL
249         Peters Dillon   18   34   30   1    0   0   0   0    0    0   0   0   1   0   21    3    0   0    0  0.000  0.091  0.000  0.091   -66  0.000  0.000   61.8%   8.8%  0.14  -0.0     0.0%   12.3%   77.5%   30.7%   9.2%   70.6%  30    1  L     Yakult Swallows     CL
250       Rodriguez Elvin    7    9    9   0    0   0   0   0    0    0   0   0   0   0    6    0    0   0    0  0.000  0.000  0.000  0.000   -94  0.000  0.000   66.7%   0.0%  0.00   0.0     0.0%   57.1%   75.0%   38.7%  22.6%   66.7%        1        Yakult Swallows     CL
252       Santana Domingo  136  516  467  52  140  32   0  18  226   66   2   0   0   3  114   44    1   2   17  0.300  0.360  0.484  0.844   143  0.184  0.361   22.1%   8.5%  0.39   0.3    10.4%   23.1%   83.6%   46.5%  12.1%   34.1%  30    9  R     Yakult Swallows     CL
253             Sawai Ren   16   37   32   3    5   0   1   0    7    1   0   0   0   0   11    0    0   5    0  0.156  0.270  0.219  0.489    46  0.063  0.238   29.7%   0.0%  0.00  -0.0    28.6%   43.1%   65.3%   62.7%  26.3%   29.7%  23    7  L     Yakult Swallows     CL
255       Shiomi Yasutaka   51  209  186  33   56   9   2   8   93   31   1   2   0   1   40   19    1   3    3  0.301  0.373  0.500  0.873   151  0.199  0.345   19.1%   9.1%  0.47  -0.5    11.7%   19.2%   82.5%   41.0%   9.4%   32.1%  30    8  R     Yakult Swallows     CL
256              Sneed Cy   23   41   36   4    4   1   0   1    8    4   0   0   3   0   14    2    0   0    1  0.111  0.158  0.222  0.380    13  0.111  0.143   34.1%   4.9%  0.14  -0.0     8.0%   32.3%   84.8%   41.0%   8.7%   41.5%  30    1  R     Yakult Swallows     CL
258       Takahashi Keiji   20   29   23   0    1   0   0   0    1    0   0   0   6   0    8    0    0   0    0  0.043  0.043  0.043  0.086   -69  0.000  0.067   27.6%   0.0%  0.00  -0.0     0.0%   29.7%   84.8%   44.9%  10.2%   27.6%  26    1  L     Yakult Swallows     CL
259   Takanashi Hirotoshi   15   12   11   0    1   0   0   0    1    0   0   0   1   0    8    0    0   0    0  0.091  0.091  0.091  0.182   -42  0.000  0.333   66.7%   0.0%  0.00  -0.0     0.0%   35.3%   42.9%   44.4%  31.1%   66.7%  32    1  R     Yakult Swallows     CL
260        Takeoka Ryusei   84  178  160  18   35   3   2   1   45    8   3   1   9   1   47    8    1   0    4  0.219  0.254  0.281  0.535    57  0.062  0.301   26.4%   4.5%  0.17   0.2     8.9%   30.2%   81.2%   50.1%  14.8%   31.5%  22    4  L     Yakult Swallows     CL
261        Uchiyama Souma   94  269  240  20   55  12   1   6   87   27   3   0   7   1   37   19    0   2    7  0.229  0.290  0.363  0.653    90  0.134  0.247   13.8%   7.1%  0.51   0.5    20.0%   23.1%   86.7%   47.1%   9.2%   23.0%  21    2  R     Yakult Swallows     CL
263        Yamada Tetsuto  105  422  376  43   87  21   3  14  156   40   4   0   0   4  102   39    0   3    8  0.231  0.306  0.415  0.721   108  0.184  0.277   24.2%   9.2%  0.38   0.6    21.8%   21.8%   83.1%   44.8%  12.7%   36.7%  30    4  R     Yakult Swallows     CL
264        Yamamoto Daiki   42    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000   -94  0.000  0.000    0.0%   0.0%         0.0     0.0%          100.0%  100.0%   0.0%    0.0%  27    1  L     Yakult Swallows     CL
265         Yamano Taichi    5   10   10   0    1   0   0   0    1    0   0   0   0   0    3    0    0   0    0  0.100  0.100  0.100  0.200   -37  0.000  0.143   30.0%   0.0%  0.00  -0.0     0.0%   63.0%  100.0%   60.0%   8.9%   30.0%  24    1  L     Yakult Swallows     CL
266       Yamasaki Kotaro   64  153  137  17   33   2   0   0   35    3   9   1   6   0   33   10    0   0    2  0.241  0.293  0.255  0.548    62  0.014  0.317   21.6%   6.5%  0.30   1.2     7.3%   23.1%   79.9%   46.8%  11.3%   28.1%  29    7  L     Yakult Swallows     CL
267      Yoshimura Kojiro   12   19   16   1    1   0   0   0    1    1   0   0   2   1    8    0    0   0    0  0.063  0.059  0.063  0.122   -59  0.000  0.111   42.1%   0.0%  0.00  -0.0     0.0%   56.2%   72.4%   58.8%  18.8%   42.1%  25    1  R     Yakult Swallows     CL
268         Almonte Zoilo   28   54   53   3   10   1   0   1   14    2   0   0   0   0   18    1    0   0    2  0.189  0.204  0.264  0.468    43  0.075  0.265   33.3%   1.9%  0.06  -0.0    20.0%   43.5%   72.1%   57.3%  18.9%   37.0%  34    7  S    Chunichi Dragons     CL
269      Aquino Aristides   20   68   65   2   10   4   0   1   17    6   0   1   0   1   32    2    0   0    0  0.154  0.176  0.262  0.438    32  0.108  0.273   47.1%   2.9%  0.06  -0.3                                           51.5%  29    7  R    Chunichi Dragons     CL
270          Bright Kenta   33   68   58   6   14   0   2   0   18    4   2   0   3   0   20    6    0   1    0  0.241  0.323  0.310  0.633    98  0.069  0.368   29.4%   8.8%  0.30   0.3     9.8%   28.7%   77.8%   50.2%  16.4%   38.2%  24    7  R    Chunichi Dragons     CL
271       Calixte Orlando   47  172  163  13   38   8   0   5   61   13   0   2   2   0   36    7    0   0    7  0.233  0.265  0.374  0.639    97  0.141  0.270   20.9%   4.1%  0.19  -0.7    15.5%   27.3%   86.8%   46.8%  10.5%   27.9%  31    6  R    Chunichi Dragons     CL
272       Donoue Naomichi   12   10    9   0    2   1   0   0    3    0   0   0   0   0    1    1    0   0    1  0.222  0.300  0.333  0.633    97  0.111  0.250   10.0%  10.0%  1.00  -0.0    12.5%   23.1%  100.0%   54.3%   2.9%   20.0%  34  UTL  R    Chunichi Dragons     CL
276       Fukuda Nobumasa   19   26   20   3    3   0   0   1    6    1   0   0   0   0    4    5    2   1    0  0.150  0.346  0.300  0.646   103  0.150  0.133   15.4%  19.2%  1.25  -0.0     0.0%   30.4%   76.9%   54.6%  15.5%   38.5%  34    3  R    Chunichi Dragons     CL
277       Fukunaga Hiroki   97  325  291  30   70  16   1   2   94   15   2   2   7   5   62   20    2   2    9  0.241  0.289  0.323  0.612    90  0.082  0.293   19.1%   6.2%  0.32  -0.4     9.1%   23.2%   92.0%   43.5%   8.7%   25.8%  26    4  R    Chunichi Dragons     CL
279         Fukutani Koji   14   15   14   0    2   0   0   0    2    1   0   0   0   0    2    0    0   1    0  0.143  0.200  0.143  0.343     5  0.000  0.167   13.3%   0.0%  0.00  -0.0     8.3%   45.0%   93.8%   53.2%   6.4%   13.3%  32    1  R    Chunichi Dragons     CL
280          Gotoh Shunta   52   51   44   3    8   3   0   0   11    6   0   0   1   1   18    5    0   0    0  0.182  0.260  0.250  0.510    58  0.068  0.296   35.3%   9.8%  0.28  -0.0    17.9%   24.5%   84.7%   48.7%  12.6%   45.1%  30    9  L    Chunichi Dragons     CL
281            Gunji Yuya    1    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000    0.0%   0.0%         0.0     0.0%   50.0%           33.3%   0.0%    0.0%  25   DH  R    Chunichi Dragons     CL
283        Higuchi Seishu    7    3    3   1    0   0   0   0    0    0   0   1   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000   33.3%   0.0%  0.00  -0.3     0.0%    0.0%   50.0%   50.0%  25.0%   33.3%  24    4  L    Chunichi Dragons     CL
284        Hosokawa Seiya  140  576  518  62  131  30   1  24  235   78   0   0   0   1  161   49    3   8   17  0.253  0.326  0.454  0.780   142  0.201  0.320   28.0%   8.5%  0.30  -0.1    16.1%   29.2%   80.7%   48.2%  15.2%   40.6%  24    9  R    Chunichi Dragons     CL
285        Ishibashi Kota   39   77   70   7   18   6   0   2   30    9   0   0   6   0    7    1    0   0    0  0.257  0.268  0.429  0.697   114  0.172  0.262    9.1%   1.3%  0.14  -0.0    15.9%   40.4%   94.4%   52.4%   9.2%   13.0%  22    2  R    Chunichi Dragons     CL
286       Ishigaki Masami   22   26   23   1    2   0   0   0    2    0   0   0   1   0    6    2    0   0    0  0.087  0.160  0.087  0.247   -25  0.000  0.118   23.1%   7.7%  0.33  -0.0    11.1%   41.1%   87.2%   56.6%  16.4%   30.8%  24    4  R    Chunichi Dragons     CL
287       Ishikawa Takaya  121  464  434  32  105  27   0  13  171   45   0   0   0   4   69   22    2   4   10  0.242  0.282  0.394  0.676   109  0.152  0.258   14.9%   4.7%  0.32  -0.0    13.3%   23.6%   91.8%   47.1%   6.7%   22.4%  22    5  R    Chunichi Dragons     CL
288           Itoh Kosuke   34   22   20   2    3   0   0   0    3    0   1   1   2   0    3    0    0   0    1  0.150  0.150  0.150  0.300   -10  0.000  0.176   13.6%   0.0%  0.00  -0.2     5.3%   38.6%   86.7%   50.5%   7.5%   13.6%  23    7  R    Chunichi Dragons     CL
289          Katoh Shohei   59   45   40   6    9   0   0   0    9    4   2   2   2   0    8    2    0   1    0  0.225  0.279  0.225  0.504    57  0.000  0.281   17.8%   4.4%  0.25  -0.3    20.6%   35.2%   82.8%   56.8%  14.4%   22.2%  32    7  S    Chunichi Dragons     CL
290          Katoh Takuma   10    8    8   0    0   0   0   0    0    0   0   0   0   0    3    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000   37.5%   0.0%  0.00   0.0     0.0%   36.8%   77.8%   45.7%  14.3%   37.5%  31    2  R    Chunichi Dragons     CL
291      Katsuno Akiyoshi   50    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000    0.0%   0.0%         0.0     0.0%    0.0%  100.0%   44.4%   0.0%    0.0%  26    1  R    Chunichi Dragons     CL
292         Kawagoe Seiji   18   36   33   3    7   1   0   0    8    1   0   0   0   0    8    3    0   0    1  0.212  0.278  0.242  0.520    62  0.030  0.280   22.2%   8.3%  0.38  -0.0    20.0%   25.0%   85.5%   44.3%  10.8%   30.6%  30    9  L    Chunichi Dragons     CL
293      Kinoshita Takuya   89  315  278  19   66  15   0   5   96   26   0   0   5   1   55   30    2   1    4  0.237  0.313  0.345  0.658   105  0.108  0.279   17.5%   9.5%  0.55  -0.0    15.2%   24.7%   88.6%   43.9%   8.0%   28.6%  31    2  R    Chunichi Dragons     CL
