                 Pitcher   G  W  L  SV  CG  SHO   BF     IP    H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-   Diff    HR%     K%    BB%   K-BB%                Team League
24      Okadome Hidetaka  31  2  1   3   0    0  127   34.1   20   1  41   6    0   1   0   5   5   1.31   2.23   2.04  0.76  274   53     54  -0.92   0.8%  32.3%   4.7%   27.6%      Hanshin Tigers     WL
25        Oyokawa Masaki  10  2  0   0   0    0   66   16.2   13   1  22   5    0   0   1   3   3   1.62   2.67   2.22  1.08  222   64     59  -1.05   1.5%  33.3%   7.6%   25.7%      Hanshin Tigers     WL
26          Saiki Hiroto   5  1  0   0   0    0   47   15.0    1   0  21   0    0   0   0   0   0   0.00   0.83   0.33  0.07  999   20      9  -0.83   0.0%  44.7%   0.0%   44.7%      Hanshin Tigers     WL
27             Satoh Ren  19  0  0   0   0    0  109   22.1    9   0  27  27    0   4   7  20  15   6.04   5.38   4.80  1.61   60  129    128   0.66   0.0%  24.8%  24.8%    0.0%      Hanshin Tigers     WL
28      Shimamoto Hiroya  14  0  1   1   0    0   56   12.1   18   1   6   3    0   0   0   7   7   5.11   4.44   4.26  1.70   70  106    113   0.67   1.8%  10.7%   5.4%    5.3%      Hanshin Tigers     WL
29           Suzuki Yuto  21  5  2   0   2    0  331   75.2   57   5  48  51    0   3  10  32  31   3.69   5.36   4.89  1.43   97  128    130  -1.67   1.5%  14.5%  15.4%   -0.9%      Hanshin Tigers     WL
30            Tomida Ren  14  5  2   0   0    0  298   71.1   63   5  60  17    0   1   1  20  14   1.77   3.61   3.36  1.12  203   86     89  -1.84   1.7%  20.1%   5.7%   14.4%      Hanshin Tigers     WL
31         Watanabe Yuta  30  1  2   0   0    0  109   24.2   23   1  34  10    0   3   0  11  11   4.01   2.98   2.60  1.34   90   71     69   1.03   0.9%  31.2%   9.2%   22.0%      Hanshin Tigers     WL
32          Yuasa Atsuki   7  0  0   2   0    0   24    7.0    4   0   4   0    0   0   1   2   2   2.57   2.49   3.13  0.57  140   60     83   0.08   0.0%  16.7%   0.0%   16.7%      Hanshin Tigers     WL
33          Aduwa Makoto  18  2  1   3   0    0   84   20.1   19   0  21   4    0   1   1   6   5   2.21   2.30   2.78  1.13  155   58     74  -0.09   0.0%  25.0%   4.8%   20.2%      Hiroshima Carp     WL
34         Anderson Drew   8  1  2   0   0    0   88   22.0   12   0  27   9    0   0   0   4   3   1.23   2.40   2.75  0.95  279   60     73  -1.17   0.0%  30.7%  10.2%   20.5%      Hiroshima Carp     WL
35        Corniel Robert  12  3  4   0   0    0  238   57.1   51   0  55  20    0   2   1  20  13   2.04   2.86   3.33  1.24  168   72     89  -0.82   0.0%  23.1%   8.4%   14.7%      Hiroshima Carp     WL
36         Endoh Atsushi  13  4  3   0   0    0  260   63.0   57   4  51  22    0   1   0  21  20   2.86   3.93   3.68  1.25  120   98     98  -1.07   1.5%  19.6%   8.5%   11.1%      Hiroshima Carp     WL
37           Fujii Reira  25  1  2   2   0    0  114   25.0   20   3  21  17    1   1   4  14  11   3.96   5.67   4.45  1.48   87  142    118  -1.71   2.6%  18.4%  14.9%    3.5%      Hiroshima Carp     WL
38          Hasebe Ginji  39  2  3   3   0    0  197   41.2   44   3  33  30    1   3   6  26  26   5.62   5.36   4.65  1.78   61  134    124   0.26   1.5%  16.8%  15.2%    1.6%      Hiroshima Carp     WL
39          Horie Atsuya  24  1  1   1   0    0  107   24.0   32   1  28   5    0   2   0  14  14   5.25   2.71   2.65  1.54   65   68     70   2.54   0.9%  26.2%   4.7%   21.5%      Hiroshima Carp     WL
40         Ichioka Ryuji  24  1  3   0   0    0  108   23.1   30   3   9  10    1   1   2  19  17   6.56   5.94   4.89  1.71   52  149    130   0.62   2.8%   8.3%   9.3%   -1.0%      Hiroshima Carp     WL
41            Kawano Kei  19  4  3   4   0    0  162   40.0   33   3  28   5    0   4   1  18  12   2.70   3.88   3.38  0.95  127   97     90  -1.18   1.9%  17.3%   3.1%   14.2%      Hiroshima Carp     WL
42          Kemna Makoto   2  0  0   0   0    0   14    3.0    3   0   2   2    0   0   0   1   1   3.00   4.30   4.80  1.67  115  108    128  -1.30   0.0%  14.3%  14.3%    0.0%      Hiroshima Carp     WL
43     Kobayashi Tatsuto  16  3  3   0   0    0  329   79.1   66   2  51  29    0   3   2  31  26   2.95   3.88   4.13  1.20  116   97    110  -0.93   0.6%  15.5%   8.8%    6.7%      Hiroshima Carp     WL
44             Kuri Aren   1  0  1   0   0    0   12    3.0    3   0   2   0    0   0   0   2   1   3.00   2.30   3.13  1.00  115   58     83   0.70   0.0%  16.7%   0.0%   16.7%      Hiroshima Carp     WL
45     Kuribayashi Ryoji   1  0  0   1   0    0    4    1.0    1   0   0   0    0   0   0   0   0   0.00   3.63   4.80  1.00  999   91    128  -3.63   0.0%   0.0%   0.0%    0.0%      Hiroshima Carp     WL
46       Kurohara Takumi  17  6  1   0   0    0  357   90.2   76   3  81  17    0   4   8  26  26   2.58   2.97   3.01  1.03  133   74     80  -0.39   0.8%  22.7%   4.8%   17.9%      Hiroshima Carp     WL
47       Masuda Takehisa  22  0  4   0   0    0  217   46.1   52   1  33  32    0   1   2  29  24   4.66   4.62   4.75  1.81   74  116    126   0.04   0.5%  15.2%  14.7%    0.5%      Hiroshima Carp     WL
48       Matsumoto Ryuya  23  0  0   4   0    0  101   23.2   26   1  19   6    0   0   1  13  12   4.56   3.33   3.51  1.35   75   83     93   1.23   1.0%  18.8%   5.9%   12.9%      Hiroshima Carp     WL
49           Mori Shohei  10  4  2   0   0    0  177   44.0   32   2  50  16    0   2   0  11   9   1.84   3.17   2.88  1.09  187   79     77  -1.33   1.1%  28.2%   9.0%   19.2%      Hiroshima Carp     WL
50      Morishita Masato   5  1  1   1   0    0   69   18.0   16   2  14   5    0   0   0   5   5   2.50   4.35   3.50  1.17  137  109     93  -1.85   2.9%  20.3%   7.2%   13.1%      Hiroshima Carp     WL
51       Moriura Daisuke  25  0  2   3   0    0  108   24.2   20   0  46   8    1   4   1   8   5   1.82   1.36   1.28  1.14  189   34     34   0.46   0.0%  42.6%   7.4%   35.2%      Hiroshima Carp     WL
52       Nakamura Raisei   5  1  0   0   0    0   20    3.1    7   0   2   5    0   0   0   4   4  10.80   6.93   6.30  3.60   32  174    168   3.87   0.0%  10.0%  25.0%  -15.0%      Hiroshima Carp     WL
53         Nakamura Yuta  28  2  1   1   0    0  129   33.1   21   1  35   8    0   2   1   6   4   1.08   2.82   2.71  0.87  318   71     72  -1.74   0.8%  27.1%   6.2%   20.9%      Hiroshima Carp     WL
54        Nakazaki Shota   7  1  0   2   0    0   30    7.2    5   0   7   3    0   0   0   0   0   0.00   2.98   3.47  1.04  999   75     92  -2.98   0.0%  23.3%  10.0%   13.3%      Hiroshima Carp     WL
