                  Team    TZR TZR/143   RngR    ARM   DPR   ErrR Framing Blocking League
0       Hanshin Tigers    6.5     0.9   18.0   -8.2  -3.2    0.3     8.5     -1.9     WL
1       Hiroshima Carp  -17.7    -2.7  -10.2    2.0   0.3  -10.6    -2.7      1.5     WL
2       SoftBank Hawks   25.1     3.3   10.9    9.6  -0.6    3.9     9.2      0.5     WL
3     Chunichi Dragons  -24.8    -3.6  -17.8   -6.3   0.9   -2.3    -3.7      0.1     WL
4       Yomiuri Giants   17.6     2.3    2.8    0.6   4.4    9.0    -0.3      0.5     EL
5          Seibu Lions   63.6     8.2   45.5    3.6  11.8    1.3    -1.6      1.8     EL
6      Yakult Swallows  -57.9    -7.8  -45.5  -11.8  -0.6   -0.5   -10.8     -2.4     EL
7   Nipponham Fighters  -34.0    -4.3  -15.8   -3.6  -7.5   -6.7    -6.4     -0.6     EL
8        Lotte Marines  -35.6    -4.7  -11.4   -5.0  -4.9  -13.9    -2.0     -0.8     EL
9        DeNA BayStars   -2.5    -0.3   -5.2    6.3  -0.6   -3.9     1.8     -1.2     EL
10      Rakuten Eagles   30.9     3.9    3.8   11.6   1.2   14.0     2.9      0.8     EL
11      ORIX Buffaloes   30.1     4.0   24.7    1.2  -2.3    5.8     5.3      1.7     WL
