Team,G,W,L,T,PCT,GB,Home,Road,vsE,vsM,vsG,vsS,vsL,vsF,vsDB,Int,
Tohoku RakutenGolden Eagles,114,69,42,3,.622,--,38-20(2),31-22(1),--,11-8,8-8(2),9-8,17-4,9-9(1),14-5,1-0,
Chiba LotteMarines,109,61,45,3,.575,5.5,34-18(2),27-27(1),8-11,--,12-7(1),11-7,7-12(2),12-3,11-5,--,
YomiuriGiants,125,63,52,10,.548,8.0,35-26(5),28-26(5),8-8(2),7-12(1),--,11-7,10-8(3),10-6(3),14-7(1),3-4,
Tokyo YakultSwallows,111,54,56,1,.491,14.5,29-22(1),25-34,8-9,7-11,7-11,--,10-10,9-10,11-5(1),2-0,
Saitama SeibuLions,111,47,58,6,.448,19.0,23-25(3),24-33(3),4-17,12-7(2),8-10(3),10-10,--,7-4(1),6-10,--,
Hokkaido Nippon-HamFighters,99,38,55,6,.409,22.0,18-33(3),20-22(3),9-9(1),3-12,6-10(3),10-9,4-7(1),--,5-7(1),1-1,
YOKOHAMA DeNABAYSTARS,105,40,62,3,.392,24.5,26-27,14-35(3),5-14,5-11,7-14(1),5-11(1),10-6,7-5(1),--,1-1,
