Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Kuri Aren,1,1,0,0,0,0,1.000,23,7,,2,0,2,0,1,5,0,0,0,0,0.00,Hiroshima Carp,
Matsumoto Ryuya,3,0,0,1,0,0,.000,13,4,,1,0,1,0,0,4,0,0,0,0,0.00,Hiroshima Carp,
Mori Shohei,13,4,3,0,0,0,.571,313,75,.1,65,4,26,0,2,61,8,0,24,23,2.75,Hiroshima Carp,
Moriura Daisuke,9,0,0,2,0,0,.000,32,9,,7,0,1,0,0,12,0,0,0,0,0.00,Hiroshima Carp,
Nakamura Raisei,3,0,0,0,0,0,.000,13,2,.2,4,0,1,0,0,2,0,0,4,4,13.50,Hiroshima Carp,
Nakamura Yuta,20,5,7,0,0,0,.417,434,100,,112,13,23,0,5,64,3,0,55,52,4.68,Hiroshima Carp,
Nakata Ren,33,1,3,1,0,0,.250,158,34,.2,41,4,12,0,1,25,3,0,22,17,4.41,Hiroshima Carp,
Nakazaki Shota,17,0,0,3,0,0,.000,70,17,.1,16,0,5,0,0,17,0,0,2,2,1.04,Hiroshima Carp,
Namiki Shun,18,0,3,1,0,0,.000,110,25,.2,23,2,14,1,0,14,3,1,14,10,3.51,Hiroshima Carp,
Nomura Yusuke,14,2,2,1,1,0,.500,272,64,,69,3,15,0,0,30,1,0,23,22,3.09,Hiroshima Carp,
Ohmichi Haruki,16,2,8,0,0,0,.200,287,68,,64,4,26,0,2,52,6,0,37,33,4.37,Hiroshima Carp,
Sakata Rei,9,0,1,0,0,0,.000,49,8,.2,8,0,16,0,2,5,2,0,12,8,8.31,Hiroshima Carp,
Shimauchi Sotaro,20,0,1,2,0,0,.000,103,26,,18,1,10,0,0,29,2,0,8,7,2.42,Hiroshima Carp,
Shinya Soh,4,1,0,0,0,0,1.000,20,4,,4,0,4,0,0,3,1,0,2,2,4.50,Hiroshima Carp,
Takahashi Koya,12,4,2,0,0,0,.667,260,59,.2,55,2,25,0,0,41,1,0,28,15,2.26,Hiroshima Carp,
