Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,,Team,League
,Okoye Louis,6,20,19,1,3,1,0,0,4,0,0,0,1,0,9,0,0,0,0,0.158,0.158,0.211,0.368,14,0.053,0.300,45.0%,45.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Austin Tyler,13,54,43,4,11,4,0,3,24,7,0,0,0,0,16,10,0,1,1,0.256,0.407,0.558,0.966,193,0.302,0.333,53.7%,29.6%,18.5%,0.62,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Griffin Foster,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Kay Anthony,2,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Jackson Andre,4,5,4,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0.250,0.250,0.250,0.500,55,0.000,0.500,40.0%,40.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Soto Neftali,3,12,10,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0.000,0.167,0.000,0.167,-43,0.000,0.000,41.7%,25.0%,16.7%,0.67,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Downs Jeter,6,16,14,1,3,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0.214,0.312,0.214,0.527,65,0.000,0.273,31.2%,18.8%,12.5%,0.67,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Ford Mike,12,17,15,1,5,1,0,1,9,2,0,0,0,0,2,1,0,1,0,0.333,0.412,0.600,1.012,206,0.267,0.333,23.5%,11.8%,5.9%,0.50,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Hernandez Elier,3,11,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,27.3%,27.3%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Polanco Gregory,3,12,12,1,2,0,0,1,5,1,0,0,0,0,4,0,0,0,0,0.167,0.167,0.417,0.583,74,0.250,0.143,41.7%,33.3%,0.0%,0.00,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Martinez Ariel,4,12,11,0,1,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0.091,0.167,0.091,0.258,-17,0.000,0.143,41.7%,33.3%,8.3%,0.25,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Moinelo Livan,1,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,33.3%,33.3%,0.0%,0.00,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Montes Coco,1,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Reyes Franmil,6,24,22,2,7,0,0,1,10,1,0,0,0,0,10,2,0,0,0,0.318,0.375,0.455,0.830,152,0.136,0.545,54.2%,41.7%,8.3%,0.20,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Mannami Chusei,6,24,22,2,7,1,0,1,11,3,0,0,0,0,7,2,0,0,0,0.318,0.375,0.500,0.875,164,0.182,0.429,41.7%,29.2%,8.3%,0.29,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Kamikawabata Daigo,6,13,12,1,2,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0.167,0.231,0.167,0.397,25,0.000,0.182,7.7%,7.7%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Nakayama Raito,6,19,19,1,5,0,0,1,8,1,0,0,0,0,4,0,0,0,0,0.263,0.263,0.421,0.684,110,0.158,0.286,26.3%,21.1%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Nakashima Takuya,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Nakagawa Hayate,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Nakamura Shogo,2,8,7,2,2,0,0,1,5,1,0,0,0,0,2,0,0,1,0,0.286,0.375,0.714,1.089,225,0.429,0.250,37.5%,25.0%,0.0%,0.00,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Nakamura Akira,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Nakano Takumu,2,9,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.111,0.111,0.111,0.222,-32,0.000,0.125,11.1%,11.1%,0.0%,0.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Maru Yoshihiro,6,25,24,0,5,1,0,0,6,0,0,1,0,0,4,1,0,0,1,0.208,0.240,0.250,0.490,53,0.042,0.250,20.0%,16.0%,4.0%,0.25,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Inoue Haruto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Imamiya Kenta,9,37,34,4,14,4,0,1,21,3,0,0,2,0,6,1,0,0,0,0.412,0.429,0.618,1.046,217,0.206,0.481,21.6%,16.2%,2.7%,0.17,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Itoh Hikaru,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.000,0.250,0.000,0.250,-15,0.000,0.000,25.0%,0.0%,25.0%,1.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Fushimi Torai,4,10,9,1,2,0,0,1,5,1,0,0,1,0,1,0,0,0,0,0.222,0.222,0.556,0.778,130,0.333,0.143,20.0%,10.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Sasaki Shunsuke,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Sato Teruaki,2,8,8,0,1,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0.125,0.125,0.250,0.375,14,0.125,0.333,62.5%,62.5%,0.0%,0.00,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
