Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Araki Fumiya,37,130,120,7,31,3,0,0,34,7,7,4,2,1,7,0,0,18,1,.258,.283,.297,Hanshin Tigers,
Baba Kosuke,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Bour Justin,3,10,6,1,2,1,0,0,3,2,0,0,0,0,4,0,0,2,0,.333,.500,.600,Hanshin Tigers,
Edwards Jon,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Egoshi Taiga,21,90,80,12,24,4,3,3,43,14,4,2,0,1,7,0,2,20,0,.300,.538,.367,Hanshin Tigers,
Endo Jo,62,178,159,15,25,6,0,1,34,7,3,5,4,0,14,0,1,62,2,.157,.214,.230,Hanshin Tigers,
Fujikawa Kyuji,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Fujikawa Shunsuke,45,125,115,7,29,3,0,1,35,7,0,2,0,0,10,0,0,19,4,.252,.304,.312,Hanshin Tigers,
Fujinami Shintaro,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Fujita Kento,36,81,73,4,13,2,0,0,15,5,0,1,0,1,5,0,2,18,1,.178,.205,.247,Hanshin Tigers,
Fujitani Kosuke,43,114,102,7,22,3,0,3,34,9,1,2,1,0,8,0,3,40,4,.216,.333,.292,Hanshin Tigers,
Fukudome Kosuke,12,37,29,3,6,1,0,1,10,5,1,0,0,1,6,0,1,11,1,.207,.345,.351,Hanshin Tigers,
Fukunaga Shungo,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Garcia Onelki,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Gunkel Joe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Hamachi Masumi,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,24,91,83,9,30,10,0,2,46,6,0,1,0,0,6,0,2,11,1,.361,.554,.418,Hanshin Tigers,
Hojoh Fumiya,24,98,80,8,16,1,0,1,20,7,2,1,1,1,16,0,0,17,1,.200,.250,.330,Hanshin Tigers,
Iida Yuya,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Inoue Kouta,69,280,248,26,56,14,0,9,97,36,0,1,0,2,29,0,1,96,2,.226,.391,.307,Hanshin Tigers,
Ishii Masaki,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itayama Yutaro,72,260,231,21,60,15,0,3,84,23,1,4,1,1,27,0,0,39,4,.260,.364,.336,Hanshin Tigers,
Itoh Hayata,46,117,102,7,19,11,0,1,33,14,0,1,0,0,15,1,0,16,3,.186,.324,.291,Hanshin Tigers,
Itoh Kazuo,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itohara Kento,3,11,8,1,3,1,0,0,4,1,0,0,0,1,2,0,0,1,0,.375,.500,.455,Hanshin Tigers,
Iwata Minoru,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwazaki Suguru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Katayama Yuya,55,152,132,14,29,3,0,2,38,19,4,0,1,0,17,0,1,17,3,.220,.288,.313,Hanshin Tigers,
Kawahara Riku,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kinami Seiya,11,46,42,4,10,6,1,0,18,8,1,0,1,0,3,0,0,8,1,.238,.429,.289,Hanshin Tigers,
Kobayashi Keisuke,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kumagai Takahiro,39,139,126,10,22,2,5,0,34,9,5,2,4,0,7,0,2,27,4,.175,.270,.230,Hanshin Tigers,
Kuwahara Kentaro,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Lu Yen-Ching,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Maki Johichiro,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Marte Jefry,22,70,58,8,15,4,0,1,22,6,0,0,0,1,11,0,0,14,0,.259,.379,.371,Hanshin Tigers,
Mochizuki Atsushi,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Moriya Kouki,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Nagasaka Kenya,39,109,94,11,19,3,1,3,33,6,1,1,2,2,10,0,1,28,4,.202,.351,.280,Hanshin Tigers,
Nakata Kenichi,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Nakatani Masahiro,16,58,52,7,13,3,0,3,25,5,0,2,0,0,6,0,0,13,4,.250,.481,.328,Hanshin Tigers,
Nishi Junya,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Nohmi Atsushi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Obata Ryuhei,32,116,104,12,30,1,1,0,33,2,9,3,2,1,8,0,1,19,3,.288,.317,.342,Hanshin Tigers,
Ogawa Ippei,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Okazaki Taichi,29,32,24,3,3,1,0,0,4,2,1,0,0,1,7,0,0,5,1,.125,.167,.313,Hanshin Tigers,
Okuyama Kouta,17,12,11,2,1,0,0,0,1,1,1,0,0,0,1,0,0,5,0,.091,.091,.167,Hanshin Tigers,
Onaka Yuya,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Ono Taiki,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Onodera Dan,44,144,129,7,30,5,0,0,35,9,0,0,3,1,10,0,1,23,3,.233,.271,.291,Hanshin Tigers,
Oyokawa Masaki,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Saiki Hiroto,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Saitoh Yukiya,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Sakamoto Seishiro,3,12,9,2,4,1,0,0,5,1,0,1,1,0,2,0,0,2,0,.444,.556,.545,Hanshin Tigers,
Sands Jerry,2,7,4,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,.250,.250,.571,Hanshin Tigers,
Shimada Kairi,48,178,161,15,32,1,2,1,40,5,5,5,4,2,11,0,0,34,0,.199,.248,.247,Hanshin Tigers,
Shimamoto Hiroya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Takahashi Haruto,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Takano Keisuke,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Takayama Shun,42,169,153,21,38,12,0,2,56,11,1,3,0,0,15,0,1,28,3,.248,.366,.320,Hanshin Tigers,
Tanigawa Masaki,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Ueda Kai,3,11,8,1,1,1,0,0,2,1,1,0,1,0,2,0,0,4,0,.125,.250,.300,Hanshin Tigers,
Uemoto Hiroki,37,129,107,15,27,4,2,2,41,19,3,3,3,5,14,0,0,19,1,.252,.383,.325,Hanshin Tigers,
Umeno Ryutaro,1,3,3,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,Hanshin Tigers,
Yohkawa Naomasa,6,23,17,4,4,0,0,1,7,3,0,0,0,0,6,0,0,4,0,.235,.412,.435,Hanshin Tigers,
Yokoyama Yuya,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Abe Tomohiro,18,48,41,5,11,2,2,1,20,5,0,1,0,1,5,0,1,12,0,.268,.488,.354,Hiroshima Carp,
Aduwa Makoto,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
Corniel Robert,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Fujii Kouya,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
Fujii Reira,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Hatsuki Ryutaro,49,165,149,19,52,1,3,0,59,11,17,6,4,1,11,0,0,35,2,.349,.396,.391,Hiroshima Carp,
Hayashi Kouta,69,288,259,29,69,16,0,9,112,40,3,1,0,3,23,1,3,52,9,.266,.432,.330,Hiroshima Carp,
Hiraoka Takato,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ichioka Ryuji,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Imamura Takeru,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ishihara Tomoki,34,102,84,9,17,2,1,4,33,8,0,0,7,0,10,0,1,15,4,.202,.393,.295,Hiroshima Carp,
Ishihara Yoshiyuki,3,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,Hiroshima Carp,
Isomura Yoshitaka,15,47,42,5,12,2,0,1,17,5,0,0,0,0,4,0,1,2,2,.286,.405,.362,Hiroshima Carp,
Johnson DJ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Johnson Kris,8,8,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,.250,.250,.250,Hiroshima Carp,
Kemna Makoto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Kinoshita Motohide,60,201,189,14,34,6,0,7,61,26,0,0,0,1,10,0,1,41,3,.180,.323,.224,Hiroshima Carp,
