Team,G,W,L,T,PCT,GB,Home,Road,vsH,vsD,vsB,vsC,vsT,Int,
Fukuoka SoftBankHawks,75,43,26,6,.623,--,29-13(4),14-13(2),--,8-7(3),10-8(1),10-6,15-5(2),--,
ChunichiDragons,77,37,32,8,.536,6.0,20-11(2),17-21(6),7-8(3),--,9-11(1),11-6(3),10-7(1),--,
ORIXBuffaloes,86,42,38,6,.525,6.5,20-18(3),22-20(3),8-10(1),11-9(1),--,12-9,10-9(4),1-1,
Hiroshima ToyoCarp,76,30,42,4,.417,14.5,16-19(4),14-23,6-10,6-11(3),9-12,--,9-9(1),--,
HanshinTigers,82,30,44,8,.405,15.5,16-21(3),14-23(5),5-15(2),7-10(1),9-10(4),9-9(1),--,--,
