Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,18,46,38,3,5,2,0,0,7,1,0,0,6,0,2,0,0,23,0,.132,.184,.175,Hanshin Tigers,
Aoyagi Koyo,21,39,31,1,1,0,0,0,1,0,0,0,7,0,1,0,0,19,0,.032,.032,.063,Hanshin Tigers,
Araki Fumiya,16,11,11,2,1,0,0,0,1,0,2,1,0,0,0,0,0,4,0,.091,.091,.091,Hanshin Tigers,
Baba Kosuke,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Bour Justin,99,379,329,27,80,8,0,17,139,45,1,1,0,2,45,5,3,88,13,.243,.422,.338,Hanshin Tigers,
Chikamoto Koji,120,519,474,81,139,21,5,9,197,45,31,8,7,1,30,2,7,61,4,.293,.416,.344,Hanshin Tigers,
Edwards Jon,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Egoshi Taiga,45,13,10,11,0,0,0,0,0,1,3,1,0,1,2,0,0,6,0,.000,.000,.154,Hanshin Tigers,
Fujikawa Kyuji,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Fujikawa Shunsuke,9,8,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,.125,.125,.125,Hanshin Tigers,
Fujinami Shintaro,24,19,16,1,1,0,0,0,1,1,0,0,3,0,0,0,0,11,0,.063,.063,.063,Hanshin Tigers,
Fukudome Kosuke,43,92,78,3,12,2,0,1,17,12,0,0,0,3,11,0,0,31,4,.154,.218,.250,Hanshin Tigers,
Fukunaga Shungo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Garcia Onelki,14,23,22,0,2,0,0,0,2,0,0,0,1,0,0,0,0,8,0,.091,.091,.091,Hanshin Tigers,
Gunkel Joe,28,13,11,0,3,1,0,0,4,0,0,0,1,0,0,0,1,5,0,.273,.364,.333,Hanshin Tigers,
Hamachi Masumi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,48,78,72,5,20,3,0,3,32,19,0,0,0,0,5,1,1,16,2,.278,.444,.333,Hanshin Tigers,
Hojoh Fumiya,40,112,99,10,19,4,0,2,29,7,2,0,3,0,9,0,1,23,2,.192,.293,.266,Hanshin Tigers,
Inoue Kouta,6,11,11,0,1,1,0,0,2,1,0,0,0,0,0,0,0,5,0,.091,.182,.091,Hanshin Tigers,
Ishii Masaki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itayama Yutaro,5,14,12,1,2,0,0,0,2,0,1,0,0,0,2,0,0,3,0,.167,.167,.286,Hanshin Tigers,
Itoh Kazuo,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itohara Kento,63,244,218,32,64,5,2,3,82,20,1,2,3,1,19,0,3,33,3,.294,.376,.357,Hanshin Tigers,
Itoi Yoshio,86,311,269,25,72,16,1,2,96,28,2,1,0,1,38,0,3,50,5,.268,.357,.363,Hanshin Tigers,
Iwasada Yuta,38,15,13,0,2,0,0,0,2,0,0,0,2,0,0,0,0,8,0,.154,.154,.154,Hanshin Tigers,
Iwata Minoru,5,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,.000,.000,.000,Hanshin Tigers,
Iwazaki Suguru,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Kinami Seiya,92,334,297,42,74,20,1,3,105,25,2,1,8,3,24,3,2,54,1,.249,.354,.307,Hanshin Tigers,
Kobayashi Keisuke,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kumagai Takahiro,38,17,16,6,5,2,0,0,7,3,3,2,0,0,1,0,0,5,0,.313,.438,.353,Hanshin Tigers,
