#,,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,4383,3887,420,909,159,30,60,1308,381,109,68,67,21,864,365,2,41,60,0.234,0.305,0.337,0.641,87,0.103,0.285,29.4%,19.7%,8.3%,0.42,-1.5,WL
,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,4427,3969,451,995,181,32,78,1474,410,127,77,64,30,812,324,10,40,75,0.251,0.311,0.371,0.683,100,0.121,0.295,27.4%,18.3%,7.3%,0.40,-1.5,WL
,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,4787,4200,543,1070,180,34,112,1654,517,71,45,62,25,983,449,7,50,96,0.255,0.332,0.394,0.726,114,0.139,0.306,32.3%,20.5%,9.4%,0.46,-0.0,EL
,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,4775,4183,568,1101,206,25,81,1600,527,122,99,44,44,935,454,1,50,94,0.263,0.339,0.383,0.722,109,0.119,0.318,30.8%,19.6%,9.5%,0.49,-9.0,EL
,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,5020,4345,554,1106,174,22,78,1558,505,121,59,107,28,783,486,3,53,102,0.255,0.335,0.359,0.693,102,0.104,0.293,26.8%,15.6%,9.7%,0.62,4.2,EL
,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,4393,3994,444,1000,176,35,59,1423,406,80,46,44,23,817,291,2,41,85,0.250,0.306,0.356,0.663,87,0.106,0.300,26.6%,18.6%,6.6%,0.36,0.8,WL
,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,4228,3747,394,877,149,26,54,1240,357,113,66,58,21,832,368,3,34,94,0.234,0.307,0.331,0.638,90,0.097,0.286,29.7%,19.7%,8.7%,0.44,-0.2,WL
,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,4824,4138,566,1048,170,20,112,1594,532,88,49,98,31,940,506,3,51,95,0.253,0.340,0.385,0.725,106,0.132,0.300,32.3%,19.5%,10.5%,0.54,1.7,EL
,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,4375,3892,509,1036,182,55,75,1553,473,113,55,67,27,749,348,2,41,73,0.266,0.331,0.399,0.730,112,0.133,0.311,26.8%,17.1%,8.0%,0.46,3.5,WL
,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,4666,4021,539,986,188,25,86,1482,489,99,50,77,40,939,463,3,65,77,0.245,0.330,0.369,0.698,104,0.123,0.296,31.9%,20.1%,9.9%,0.49,3.0,EL
,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,4369,3915,456,942,134,32,80,1380,415,108,59,45,23,867,345,3,41,77,0.241,0.307,0.352,0.660,89,0.112,0.288,29.6%,19.8%,7.9%,0.40,1.3,EL
,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,4828,4253,466,1000,191,18,95,1512,438,66,49,76,17,1162,407,0,75,81,0.235,0.312,0.356,0.667,93,0.120,0.300,34.5%,24.1%,8.4%,0.35,-2.3,EL
,,League Average,4590,4045,492,1006,174,30,81,1482,454,101,60,67,28,890,400,3,48,84,0.249,0.322,0.366,0.688,100,0.118,0.298,29.8%,19.4%,8.7%,0.45,-0.0,
