#,,Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs H,vs B,vs T,vs D,vs C,Inter
,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,117,62,46,9,0.574,--,509,440,69,0.566,34-21(4),28-25(5),--,8-14(2),14-15(2),19-5(2),21-11(2),0-1(1)
,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,117,55,53,9,0.509,7.0,394,389,5,0.506,30-23(7),25-30(2),14-8(2),--,13-14(2),14-13(3),10-16(1),4-2(1)
,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,120,57,58,5,0.496,8.5,420,439,-19,0.480,33-25(1),24-33(4),15-14(2),14-13(2),--,11-15(1),13-13,4-3
,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,119,51,58,10,0.468,11.5,444,475,-31,0.469,28-23(5),23-35(5),5-19(2),13-14(3),15-11(1),--,18-13(3),0-1(1)
,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,121,53,62,6,0.461,12.5,451,486,-35,0.466,33-26(3),20-36(3),11-21(2),16-10(1),13-13,13-18(3),--,--
