#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/51255157.html>Tomida Ren</a>,3,0,1,0,0,0,36,7.1,13,1,3,1,0,0,0,6,5,6.14,4.98,4.24,1.91,46,138,113,1.16,2.8%,8.3%,2.8%,5.6%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,24,L,W
,<a href=https://npb.jp/bis/eng/players/11415159.html>Tsuda Junya</a>,4,0,0,2,0,0,15,3.2,2,0,4,1,0,0,0,0,0,0.00,2.26,2.80,0.82,999,63,74,-2.26,0.0%,26.7%,6.7%,20.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/31135134.html>Aduwa Makoto</a>,2,0,0,0,0,0,12,2.1,4,0,0,1,0,0,0,1,1,3.86,4.91,5.63,2.14,76,129,149,-1.05,0.0%,0.0%,8.3%,-8.3%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,27,R,W
,<a href=https://npb.jp/bis/eng/players/63965152.html>Aria Develson</a>,2,0,1,0,0,0,11,1.2,4,0,0,4,0,0,0,5,5,27.00,10.82,8.44,4.80,11,285,224,16.18,0.0%,0.0%,36.4%,-36.4%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,25,L,W
,<a href=https://npb.jp/bis/eng/players/71375136.html>Endoh Atsushi</a>,1,0,1,0,0,0,21,4.0,6,0,0,3,0,0,0,4,4,9.00,5.87,6.23,2.25,33,154,165,3.13,0.0%,0.0%,14.3%,-14.3%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,27,R,W
,<a href=https://npb.jp/bis/eng/players/51655157.html>Hasebe Ginji</a>,4,0,1,0,0,0,19,4.0,7,0,4,1,0,0,0,3,2,4.50,2.37,3.22,2.00,66,62,85,2.13,0.0%,21.1%,5.3%,15.8%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,27,L,W
,<a href=https://npb.jp/bis/eng/players/41645157.html>Hidaka Atsumi</a>,2,0,0,0,0,0,9,2.0,2,1,3,1,0,0,0,2,2,9.00,8.62,2.58,1.50,33,227,68,0.38,11.1%,33.3%,11.1%,22.2%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,21,R,W
,<a href=https://npb.jp/bis/eng/players/21625130.html>Horie Atsuya</a>,4,0,1,0,0,0,35,8.2,6,0,8,2,0,0,0,3,1,1.04,2.47,3.09,0.92,284,65,82,-1.43,0.0%,22.9%,5.7%,17.1%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,29,L,W
,<a href=https://npb.jp/bis/eng/players/71575157.html>Kawano Kei</a>,4,0,0,0,0,0,41,10.0,11,0,5,3,0,0,0,1,1,0.90,3.52,4.31,1.40,328,93,114,-2.62,0.0%,12.2%,7.3%,4.9%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/71775136.html>Kemna Makoto</a>,5,1,1,0,0,0,26,7.0,6,0,3,2,0,1,0,2,2,2.57,4.05,4.42,1.14,115,107,117,-1.48,0.0%,11.5%,7.7%,3.8%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,31,R,W
,<a href=https://npb.jp/bis/eng/players/91795150.html>Kikuchi Harun</a>,6,0,0,0,0,0,24,6.0,5,0,3,3,0,0,0,2,1,1.50,4.12,4.80,1.33,197,108,127,-2.62,0.0%,12.5%,12.5%,0.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,19,R,W
,<a href=https://npb.jp/bis/eng/players/73175155.html>Matsumoto Ryuya</a>,4,0,0,0,0,0,13,4.0,1,0,2,1,0,0,0,0,0,0.00,3.37,4.03,0.50,999,89,107,-3.37,0.0%,15.4%,7.7%,7.7%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/93395155.html>Mori Shohei</a>,1,0,1,0,0,0,18,4.0,5,1,2,1,0,0,0,4,3,6.75,6.62,4.24,1.50,44,174,113,0.13,5.6%,11.1%,5.6%,5.6%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,28,L,W
,<a href=https://npb.jp/bis/eng/players/53155151.html>Morishita Masato</a>,1,0,0,0,0,0,12,3.0,3,1,3,0,0,0,0,1,1,3.00,5.95,2.30,1.00,98,157,61,-2.95,8.3%,25.0%,0.0%,25.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,28,R,W
,<a href=https://npb.jp/bis/eng/players/61365139.html>Ohsera Daichi</a>,1,0,0,0,0,0,17,4.0,5,0,5,0,0,0,0,2,2,4.50,1.12,1.86,1.25,66,29,49,3.38,0.0%,29.4%,0.0%,29.4%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,35,R,W
,<a href=https://npb.jp/bis/eng/players/91595150.html>Okamoto Shun</a>,1,0,0,0,0,0,11,3.0,1,0,2,0,0,1,0,0,0,0.00,3.29,2.98,0.33,999,86,79,-3.29,0.0%,18.2%,0.0%,18.2%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/61765157.html>Saitoh Yuta</a>,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,95,127,-3.62,0.0%,0.0%,0.0%,0.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,22,R,W
