Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%
Miyazaki Hayato,Lotte,L,1.0,3,93.4,0.0,0.0,0.0,55.55555556,75.0,40.0,80.0,100.0,50.0,11.11111111,20.0,22.22222222,66.66666667,33.33333333,33.33333333,0.0,66.66666667,33.33333333,66.66666667,0.0,33.33333333,33.33333333,66.66666667,0.0,0.0,66.66666667,33.33333333,0.0,66.66666667,44.44444444,22.22222222,77.77777778,55.55555556,44.44444444,0.0,0.0,11.11111111
Kutani Ryu,Rakuten,R,1.0,4,89.3,0.0,25.0,-25.0,37.5,57.14285714,22.22222222,50.0,75.0,0.0,18.75,50.0,37.5,56.25,43.75,50.0,0.0,56.25,33.33333333,66.66666667,0.0,66.66666667,0.0,66.66666667,0.0,0.0,0.0,33.33333333,66.66666667,0.0,43.75,68.75,31.25,18.75,81.25,0.0,25.0,50.0
Nakagawa Hayate,DeNA,R,1.0,5,83.9,0.0,0.0,0.0,50.0,75.0,16.66666667,100.0,100.0,100.0,0.0,0.0,14.28571429,64.28571429,35.71428571,60.0,0.0,42.85714286,40.0,20.0,40.0,20.0,0.0,60.0,0.0,0.0,40.0,60.0,0.0,0.0,57.14285714,35.71428571,64.28571429,14.28571429,85.71428571,0.0,7.142857143,57.14285714
Sakamoto Yuya,DeNA,L,1.0,4,90.5,0.0,0.0,0.0,52.94117647,75.0,0.0,100.0,100.0,,0.0,0.0,17.64705882,70.58823529,29.41176471,50.0,0.0,64.70588235,75.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,50.0,50.0,0.0,70.58823529,41.17647059,58.82352941,35.29411765,64.70588235,0.0,11.76470588,41.17647059
Hamaya Shota,Seibu,L,1.0,4,89.7,50.0,0.0,50.0,27.77777778,44.44444444,11.11111111,60.0,50.0,100.0,11.11111111,40.0,38.88888889,55.55555556,44.44444444,25.0,100.0,50.0,0.0,50.0,50.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,50.0,61.11111111,38.88888889,16.66666667,33.33333333,38.88888889
Miyagi Daita,DeNA,R,1.0,5,91.9,40.0,0.0,40.0,56.25,55.55555556,57.14285714,66.66666667,80.0,50.0,18.75,33.33333333,43.75,81.25,18.75,80.0,40.0,68.75,33.33333333,33.33333333,33.33333333,33.33333333,0.0,66.66666667,0.0,0.0,66.66666667,0.0,33.33333333,66.66666667,56.25,56.25,43.75,37.5,62.5,0.0,0.0,68.75
Hirano Yoshihisa,ORIX,R,1.0,4,85.9,25.0,0.0,25.0,50.0,57.14285714,44.44444444,62.5,75.0,50.0,18.75,37.5,37.5,68.75,31.25,75.0,20.0,62.5,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,25.0,100.0,66.66666667,33.33333333,0.0,0.0,43.75,68.75,31.25,18.75,81.25,6.25,6.25,50.0
Fujihira Shoma,Rakuten,R,1.0,5,93.6,40.0,20.0,20.0,54.54545455,77.77777778,38.46153846,66.66666667,100.0,20.0,18.18181818,33.33333333,27.27272727,63.63636364,36.36363636,60.0,22.22222222,59.09090909,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,40.90909091,77.27272727,22.72727273,54.54545455,45.45454545,0.0,9.090909091,45.45454545
Shimauchi Sotaro,Hiroshima,R,0.6666666667,4,93.7,25.0,25.0,0.0,35.29411765,57.14285714,20.0,66.66666667,100.0,0.0,11.76470588,33.33333333,23.52941176,52.94117647,47.05882353,75.0,25.0,47.05882353,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,50.0,0.0,0.0,41.17647059,52.94117647,47.05882353,47.05882353,52.94117647,11.76470588,23.52941176,17.64705882
Tsuji Taiga,Hiroshima,L,0.6666666667,3,91.2,33.33333333,33.33333333,0.0,43.75,60.0,36.36363636,71.42857143,66.66666667,75.0,12.5,28.57142857,25.0,56.25,43.75,66.66666667,20.0,56.25,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,31.25,37.5,62.5,68.75,31.25,0.0,25.0,18.75
Fujishima Kento,Chunichi,R,0.6666666667,2,88.9,0.0,0.0,0.0,44.44444444,50.0,40.0,75.0,100.0,50.0,11.11111111,25.0,33.33333333,66.66666667,33.33333333,0.0,0.0,66.66666667,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,44.44444444,44.44444444,55.55555556,66.66666667,33.33333333,11.11111111,11.11111111,55.55555556
Gu Lin Ruei-Yang,Nipponham,R,0.6666666667,6,95.4,16.66666667,33.33333333,-16.66666667,37.5,63.63636364,15.38461538,77.77777778,100.0,0.0,8.333333333,22.22222222,20.83333333,54.16666667,45.83333333,83.33333333,11.11111111,45.83333333,0.0,66.66666667,33.33333333,33.33333333,33.33333333,100.0,0.0,0.0,33.33333333,33.33333333,33.33333333,33.33333333,45.83333333,50.0,50.0,50.0,50.0,0.0,4.166666667,37.5
