Team,G,W,L,T,PCT,GB,Home,Road,vs S,vs T,vs G,vs C,vs DB,vs D,Int,
Tokyo Yakult Swallows,15,11,4,0,.733,--,5-1,6-3,--,1-2,2-1,2-0,4-0,2-1,--,
Hanshin Tigers,16,11,5,0,.688,0.5,4-3,7-2,2-1,--,2-2,2-1,2-1,3-0,--,
Yomiuri Giants,15,8,7,0,.533,3.0,4-5,4-2,1-2,2-2,--,1-1,2-1,2-1,--,
Hiroshima Toyo Carp,13,5,8,0,.385,5.0,5-3,0-5,0-2,1-2,1-1,--,0-2,3-1,--,
YOKOHAMA DeNA BAYSTARS,14,5,9,0,.357,5.5,3-4,2-5,0-4,1-2,1-2,2-0,--,1-1,--,
Chunichi Dragons,15,4,11,0,.267,7.0,2-5,2-6,1-2,0-3,1-2,1-3,1-1,--,--,
