PlayerNum,enPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
22,Fujikawa Kyuji,Jul. 21 1980,,,Hanshin Tigers
98,Dolis Rafael,https://npb.jp/bis/eng/players/03505132.html,Jan. 10 1988,196,106,R,R,,Hanshin Tigers
36,Hatake Seishu,https://npb.jp/bis/eng/players/31635134.html,May 31 1994,186,94,R,L,,Hanshin Tigers
51,Hayakawa Daiki,https://npb.jp/bis/eng/players/57955159.html,Dec. 18 1999,186,93,R,R,,Hanshin Tigers
44,Hayase Saku,https://npb.jp/bis/eng/players/31635152.html,Aug. 30 2007,185,79,R,L,,Hanshin Tigers
48,Ibaragi Hidetoshi,https://npb.jp/bis/eng/players/81185157.html,Jun. 8 2004,183,87,R,R,,Hanshin Tigers
18,Ihara Takato,https://npb.jp/bis/eng/players/71375150.html,Aug. 7 2000,170,75,L,L,,Hanshin Tigers
63,Ishiguro Yuya,https://npb.jp/bis/eng/players/01105159.html,Jun. 20 2001,180,86,R,R,,Hanshin Tigers
69,Ishii Daichi,https://npb.jp/bis/eng/players/41145153.html,Jul. 29 1997,175,79,R,R,,Hanshin Tigers
27,Itoh Masashi,https://npb.jp/bis/eng/players/71375153.html,May 8 1996,179,83,L,L,,Hanshin Tigers
14,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,86,L,L,,Hanshin Tigers
13,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,92,L,L,,Hanshin Tigers
28,Kesamaru Yuki,https://npb.jp/bis/eng/players/31935150.html,Jun. 2 2006,188,75,R,R,,Hanshin Tigers
54,Kinoshita Rito,https://npb.jp/bis/eng/players/41745150.html,Jan. 27 2001,183,89,R,R,,Hanshin Tigers
47,Kirishiki Takuma,https://npb.jp/bis/eng/players/01705155.html,Jun. 20 1999,179,92,L,L,,Hanshin Tigers
49,Kudo Taisei,https://npb.jp/bis/eng/players/81785150.html,Nov. 19 2001,177,82,R,L,,Hanshin Tigers
42,Lucas Easton,https://npb.jp/bis/eng/players/73975152.html,Sep. 23 1996,191,94,L,L,,Hanshin Tigers
30,Mombetsu Keito,https://npb.jp/bis/eng/players/53355157.html,Jul. 10 2004,183,86,L,L,,Hanshin Tigers
99,Moreta Dauri,https://npb.jp/bis/eng/players/03705152.html,Apr. 15 1996,188,102,R,R,,Hanshin Tigers
41,Murakami Shoki,https://npb.jp/bis/eng/players/13315153.html,Jun. 25 1998,175,84,R,L,,Hanshin Tigers
16,Nishi Yuki,https://npb.jp/bis/eng/players/71275118.html,Nov. 10 1990,181,83,R,R,,Hanshin Tigers
55,Noto Syuto,https://npb.jp/bis/eng/players/17915159.html,Sep. 29 2001,184,88,R,R,,Hanshin Tigers
21,Ohtake Koutaro,https://npb.jp/bis/eng/players/41345136.html,Jun. 29 1995,184,87,L,L,,Hanshin Tigers
64,Okadome Hidetaka,https://npb.jp/bis/eng/players/11515155.html,Nov. 7 1999,181,96,R,R,,Hanshin Tigers
37,Oyokawa Masaki,https://npb.jp/bis/eng/players/91795151.html,Apr. 18 2001,184,86,L,L,,Hanshin Tigers
46,Ragsdale Carson,https://npb.jp/bis/eng/players/63765152.html,May 25 1998,203,106,R,R,,Hanshin Tigers
35,Saiki Hiroto,https://npb.jp/bis/eng/players/41745134.html,Nov. 7 1998,189,90,R,R,,Hanshin Tigers
26,Shiiba Tsuyoshi,https://npb.jp/bis/eng/players/21925159.html,Mar. 18 2002,183,92,R,R,,Hanshin Tigers
19,Shimomura Kaito,https://npb.jp/bis/eng/players/61965159.html,Mar. 27 2002,174,70,R,R,,Hanshin Tigers
29,Takahashi Haruto,https://npb.jp/bis/eng/players/91095136.html,Nov. 7 1995,181,82,L,L,,Hanshin Tigers
50,Tomida Ren,https://npb.jp/bis/eng/players/51255157.html,Sep. 6 2001,176,78,L,L,,Hanshin Tigers
66,Tsuda Junya,https://npb.jp/bis/eng/players/11415159.html,Aug. 27 2001,179,82,R,R,,Hanshin Tigers
65,Yuasa Atsuki,https://npb.jp/bis/eng/players/41845138.html,Jul. 17 1999,183,86,R,R,,Hanshin Tigers
59,Fujita Kento,https://npb.jp/bis/eng/players/91695151.html,Oct. 18 2001,173,78,R,R,,Hanshin Tigers
17,Fushimi Torai,https://npb.jp/bis/eng/players/61065137.html,May 12 1990,182,89,R,R,,Hanshin Tigers
43,Machida Hayato,https://npb.jp/bis/eng/players/41845150.html,Apr. 3 2003,186,86,R,R,,Hanshin Tigers
57,Nagasaka Kenya,https://npb.jp/bis/eng/players/91495134.html,Apr. 28 1994,173,84,R,R,,Hanshin Tigers
68,Nakagawa Hayato,https://npb.jp/bis/eng/players/51455155.html,Jan. 27 2004,172,76,R,R,,Hanshin Tigers
39,Sakaeda Yuki,https://npb.jp/bis/eng/players/51055153.html,May 16 1998,180,84,R,R,,Hanshin Tigers
12,Sakamoto Seishiro,https://npb.jp/bis/eng/players/11915132.html,Nov. 10 1993,176,79,R,R,,Hanshin Tigers
85,Shimamura Rinshiro,https://npb.jp/bis/eng/players/31235150.html,Jul. 13 2003,177,90,R,L,Registered(developmental player ->) (Mar. 11).,Hanshin Tigers
2,Umeno Ryutaro,https://npb.jp/bis/eng/players/21325139.html,Jun. 17 1991,173,75,R,R,,Hanshin Tigers
24,Devanney Cam,https://npb.jp/bis/eng/players/83585152.html,Apr. 13 1997,185,88,R,R,,Hanshin Tigers
33,Itohara Kento,https://npb.jp/bis/eng/players/81185134.html,Nov. 11 1992,175,80,R,L,,Hanshin Tigers
0,Kinami Seiya,https://npb.jp/bis/eng/players/31735138.html,Jun. 15 1994,179,81,R,L,,Hanshin Tigers
4,Kumagai Takahiro,https://npb.jp/bis/eng/players/81585136.html,Nov. 10 1995,175,69,R,R,,Hanshin Tigers
56,Momosaki Aoi,https://npb.jp/bis/eng/players/23325159.html,Sep. 11 2005,179,77,R,R,,Hanshin Tigers
00,Motoyama Hiyu,https://npb.jp/bis/eng/players/33335153.html,Dec. 4 1998,181,82,R,L,,Hanshin Tigers
7,Nakano Takumu,https://npb.jp/bis/eng/players/41445153.html,Jun. 28 1996,172,68,R,L,,Hanshin Tigers
38,Obata Ryuhei,https://npb.jp/bis/eng/players/31535138.html,Sep. 21 2000,184,78,R,L,,Hanshin Tigers
3,Ohyama Yusuke,https://npb.jp/bis/eng/players/21325134.html,Dec. 19 1994,181,96,R,R,,Hanshin Tigers
45,Sano Taiyo,https://npb.jp/bis/eng/players/91095150.html,Feb. 14 2002,178,79,R,R,,Hanshin Tigers
8,Sato Teruaki,https://npb.jp/bis/eng/players/41045153.html,Mar. 13 1999,187,96,R,L,,Hanshin Tigers
67,Takatera Nozomu,https://npb.jp/bis/eng/players/41245153.html,Oct. 17 2002,178,78,R,L,,Hanshin Tigers
25,Tanihata Shogo,https://npb.jp/bis/eng/players/01205152.html,Mar. 17 2004,178,80,R,R,,Hanshin Tigers
9,Tateishi Masahiro,https://npb.jp/bis/eng/players/91295152.html,Nov. 1 2003,180,87,R,R,,Hanshin Tigers
62,Ueda Kai,https://npb.jp/bis/eng/players/01305130.html,Apr. 19 1996,175,69,R,S,,Hanshin Tigers
52,Yamada Shuya,https://npb.jp/bis/eng/players/63365159.html,Aug. 20 2005,177,72,R,R,,Hanshin Tigers
5,Chikamoto Koji,https://npb.jp/bis/eng/players/71075138.html,Nov. 9 1994,171,71,L,L,,Hanshin Tigers
32,Hamada Taiki,https://npb.jp/bis/eng/players/91495138.html,Sep. 4 2000,177,81,R,R,,Hanshin Tigers
40,Itsubo Hinase,https://npb.jp/bis/eng/players/41145157.html,Mar. 17 2005,177,89,R,R,,Hanshin Tigers
58,Maegawa Ukyo,https://npb.jp/bis/eng/players/21825155.html,May 18 2003,176,92,L,L,,Hanshin Tigers
1,Morishita Shota,https://npb.jp/bis/eng/players/43145157.html,Aug. 14 2000,182,93,R,R,,Hanshin Tigers
34,Okashiro Kaisei,https://npb.jp/bis/eng/players/91595152.html,Jun. 23 2003,183,83,R,R,,Hanshin Tigers
60,Onodera Dan,https://npb.jp/bis/eng/players/71775151.html,Mar. 17 1998,183,81,R,R,,Hanshin Tigers
53,Shimada Kairi,https://npb.jp/bis/eng/players/91995136.html,Feb. 6 1996,176,74,R,L,,Hanshin Tigers
61,Toyoda Hiroshi,https://npb.jp/bis/eng/players/31435155.html,Apr. 28 1997,178,87,R,R,,Hanshin Tigers
125,Itoh Ryo,https://npb.jp/bis/eng/players/31335155.html,Nov. 8 1999,178,88,L,L,,Hanshin Tigers
127,Jingu Ryosuke,https://npb.jp/bis/eng/players/71075152.html,May 27 2003,178,81,R,R,,Hanshin Tigers
132,Martinez Anthony,https://npb.jp/bis/eng/players/13215159.html,Jan. 10 2000,190,96,R,R,,Hanshin Tigers
123,Matsubara Kai,https://npb.jp/bis/eng/players/93195159.html,Aug. 24 1999,180,93,R,R,,Hanshin Tigers
122,Ogawa Ippei,https://npb.jp/bis/eng/players/11715151.html,Jun. 3 1997,183,86,R,R,,Hanshin Tigers
133,Arnaez Jean,https://npb.jp/bis/eng/players/33535150.html,Aug. 22 2002,176,87,R,R,,Hanshin Tigers
130,Kawasaki Toshiaki,https://npb.jp/bis/eng/players/51755150.html,May 2 2001,174,72,R,L,,Hanshin Tigers
121,Toi Reiji,https://npb.jp/bis/eng/players/11215157.html,Jan. 18 2005,181,80,R,R,,Hanshin Tigers
134,Consuegra Stanley,https://npb.jp/bis/eng/players/03505150.html,Sep. 24 2000,190,93,R,R,,Hanshin Tigers
126,Fukushima Kein,https://npb.jp/bis/eng/players/11815159.html,Oct. 6 2001,171,69,R,L,,Hanshin Tigers
120,Nishi Junya,https://npb.jp/bis/eng/players/91495151.html,Sep. 13 2001,184,99,R,R,,Hanshin Tigers
129,Yamasaki Shoei,https://npb.jp/bis/eng/players/03105152.html,Dec. 1 2002,174,67,R,L,,Hanshin Tigers
25,Arai Takahiro,Jan. 30 1977,,,Hiroshima Carp
48,Aduwa Makoto,https://npb.jp/bis/eng/players/31135134.html,Oct. 2 1998,196,80,R,R,,Hiroshima Carp
38,Akagi Seiya,https://npb.jp/bis/eng/players/31135152.html,Oct. 5 2003,191,86,R,R,,Hiroshima Carp
66,Endoh Atsushi,https://npb.jp/bis/eng/players/71375136.html,Apr. 8 1999,186,90,R,R,,Hiroshima Carp
