Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%
Kotajima Seiryu,ORIX,R,3.333333333,22,91.3,18.18181818,13.63636364,4.54545455,51.51515152,62.0,40.0,80.39215686,93.5483871,60.0,10.1010101,19.60784314,29.29292929,71.71717172,28.28282828,76.19047619,10.81081081,63.63636364,61.53846154,38.46153846,0.0,30.76923077,7.692307692,38.46153846,4.545454545,20.0,46.15384615,23.07692308,30.76923077,7.142857143,50.505050505050505,66.0,34.0,48.0,52.0,2.0,6.0,49.494949494949495
Fujishima Kento,Chunichi,R,3.333333333,18,88.7,0.0,16.66666667,-16.66666667,35.44303797,58.82352941,17.77777778,85.71428571,95.0,62.5,5.063291139,14.28571429,21.51898734,54.43037975,45.56962025,44.44444444,0.0,48.10126582,28.57142857,64.28571429,7.142857143,50.0,14.28571429,71.42857143,0.0,0.0,42.85714286,28.57142857,28.57142857,28.57142857,43.03797468354431,50.63291139240506,49.36708860759494,51.89873417721519,48.10126582278481,2.5316455696202533,15.18987341772152,60.75949367088608
Nakachi Reia,Chunichi,R,3.0,14,90.9,28.57142857,7.14285714,21.42857143,42.62295082,62.5,20.68965517,76.92307692,85.0,50.0,9.836065574,23.07692308,29.50819672,62.29508197,37.70491803,50.0,20.0,55.73770492,77.77777778,22.22222222,0.0,11.11111111,11.11111111,22.22222222,7.142857143,50.0,33.33333333,33.33333333,33.33333333,11.11111111,52.459016393442624,55.73770491803278,44.26229508196721,24.59016393442623,75.40983606557377,13.114754098360656,6.557377049180328,39.34426229508197
Itoh Yusuke,SoftBank,R,3.0,15,92.5,13.33333333,13.33333333,0.0,36.66666667,57.57575758,11.11111111,86.36363636,89.47368421,66.66666667,5.0,13.63636364,28.33333333,61.66666667,38.33333333,53.33333333,15.38461538,55.0,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,10.0,60.0,30.0,10.0,55.00000000000001,46.66666666666666,53.333333333333336,45.0,55.00000000000001,1.6666666666666667,15.0,21.666666666666668
Saito Taichi,Hiroshima,R,3.0,13,94.0,7.69230769,7.69230769,0.0,54.0,74.07407407,30.43478261,77.77777778,75.0,85.71428571,12.0,22.22222222,24.0,68.0,32.0,69.23076923,5.882352941,60.0,72.72727273,27.27272727,0.0,27.27272727,0.0,27.27272727,0.0,0.0,18.18181818,45.45454545,36.36363636,0.0,54.0,66.0,34.0,50.0,50.0,8.0,12.0,14.000000000000002
Taguchi Kazuto,Yakult,L,3.0,18,88.3,22.22222222,11.11111111,11.11111111,42.62295082,60.0,25.0,73.07692308,88.88888889,37.5,11.47540984,26.92307692,31.14754098,62.29508197,37.70491803,70.58823529,26.66666667,52.45901639,54.54545455,45.45454545,0.0,36.36363636,9.090909091,45.45454545,0.0,0.0,0.0,72.72727273,27.27272727,0.0,49.18032786885246,45.16129032258064,54.83870967741935,48.38709677419355,51.61290322580645,6.451612903225806,14.516129032258066,50.81967213114754
Saitoh Kohki,Chunichi,L,3.0,13,85.6,15.38461538,7.69230769,7.69230769,41.17647059,63.33333333,9.52380952,90.47619048,89.47368421,100.0,3.921568627,9.523809524,25.49019608,64.70588235,35.29411765,76.92307692,14.28571429,58.82352941,66.66666667,33.33333333,0.0,11.11111111,22.22222222,33.33333333,0.0,0.0,55.55555556,44.44444444,0.0,11.11111111,58.82352941176471,29.411764705882355,70.58823529411765,41.17647058823529,58.82352941176471,0.0,15.68627450980392,52.94117647058824
Hirohata Atsuya,Lotte,R,3.0,16,92.2,12.5,0.0,12.5,50.94339623,70.0,26.08695652,81.48148148,85.71428571,66.66666667,9.433962264,18.51851852,26.41509434,67.9245283,32.0754717,50.0,16.66666667,54.71698113,57.14285714,35.71428571,7.142857143,35.71428571,0.0,42.85714286,12.5,40.0,21.42857143,42.85714286,35.71428571,7.142857143,56.60377358490566,50.943396226415096,49.0566037735849,16.9811320754717,83.01886792452831,1.8867924528301887,5.660377358490567,30.18867924528302
Kondo Ren,Chunichi,L,3.0,15,88.7,20.0,20.0,0.0,42.37288136,57.69230769,30.3030303,64.0,66.66666667,60.0,15.25423729,36.0,33.89830508,61.01694915,38.98305085,66.66666667,16.66666667,55.93220339,44.44444444,55.55555556,0.0,55.55555556,0.0,55.55555556,0.0,0.0,44.44444444,33.33333333,22.22222222,33.33333333,44.06779661016949,32.20338983050847,67.79661016949152,23.728813559322035,76.27118644067797,10.16949152542373,10.16949152542373,38.983050847457626
Hashimoto Yuki,Chunichi,L,3.0,12,93.2,33.33333333,0.0,33.33333333,48.97959184,60.0,37.5,70.83333333,86.66666667,44.44444444,14.28571429,29.16666667,34.69387755,69.3877551,30.6122449,58.33333333,28.57142857,63.26530612,50.0,50.0,0.0,25.0,25.0,50.0,0.0,0.0,25.0,50.0,25.0,0.0,51.02040816326531,24.489795918367346,75.51020408163265,44.89795918367347,55.10204081632652,6.122448979591836,14.285714285714285,63.26530612244898
Shimamoto Hiroya,Nipponham,L,2.666666667,11,89.0,27.27272727,9.09090909,18.18181818,46.51162791,63.63636364,28.57142857,85.0,100.0,50.0,6.976744186,15.0,25.58139535,65.11627907,34.88372093,50.0,60.0,60.46511628,50.0,33.33333333,16.66666667,16.66666667,16.66666667,50.0,0.0,0.0,66.66666667,0.0,33.33333333,14.28571429,51.16279069767442,53.48837209302325,46.51162790697674,39.53488372093023,60.46511627906976,2.3255813953488373,11.627906976744184,58.13953488372093
Shinohara Hibiki,Seibu,R,2.666666667,14,93.3,28.57142857,7.14285714,21.42857143,40.0,50.0,33.33333333,75.0,87.5,62.5,10.0,25.0,27.5,62.5,37.5,57.14285714,57.14285714,50.0,37.5,50.0,12.5,37.5,12.5,62.5,0.0,0.0,12.5,62.5,25.0,12.5,40.0,40.0,60.0,42.5,57.49999999999999,0.0,10.0,25.0
Yamamoto Takumi,Nipponham,R,2.666666667,13,92.9,15.38461538,7.69230769,7.69230769,54.34782609,79.16666667,27.27272727,72.0,89.47368421,16.66666667,15.2173913,28.0,23.91304348,67.39130435,32.60869565,61.53846154,14.28571429,60.86956522,25.0,75.0,0.0,25.0,50.0,75.0,7.692307692,16.66666667,37.5,37.5,25.0,11.11111111,52.17391304347826,43.47826086956522,56.52173913043478,34.78260869565217,65.21739130434783,2.1739130434782608,8.695652173913043,10.869565217391305
Hada Shinnosuke,Seibu,L,2.666666667,15,96.1,13.33333333,20.0,-6.66666667,41.37931034,68.0,21.21212121,70.83333333,76.47058824,57.14285714,12.06896552,29.16666667,25.86206897,56.89655172,43.10344828,60.0,13.33333333,50.0,55.55555556,44.44444444,0.0,22.22222222,22.22222222,44.44444444,0.0,0.0,33.33333333,33.33333333,33.33333333,33.33333333,43.103448275862064,44.82758620689656,55.172413793103445,53.44827586206896,46.55172413793103,3.4482758620689653,12.06896551724138,27.58620689655172
Itoh Masashi,Hanshin,L,2.333333333,13,87.7,7.69230769,7.69230769,0.0,33.33333333,57.14285714,5.55555556,92.30769231,100.0,0.0,2.564102564,7.692307692,25.64102564,56.41025641,43.58974359,69.23076923,50.0,41.02564103,45.45454545,27.27272727,27.27272727,27.27272727,0.0,54.54545455,0.0,0.0,27.27272727,36.36363636,36.36363636,0.0,53.84615384615385,43.58974358974359,56.41025641025641,46.15384615384615,53.84615384615385,5.128205128205128,20.51282051282051,15.384615384615383
Matsuyama Shinya,Chunichi,R,2.333333333,14,94.4,21.42857143,14.28571429,7.14285714,43.1372549,61.11111111,33.33333333,63.63636364,100.0,27.27272727,15.68627451,36.36363636,29.41176471,56.8627451,43.1372549,50.0,21.42857143,47.05882353,44.44444444,33.33333333,22.22222222,22.22222222,11.11111111,55.55555556,0.0,0.0,66.66666667,33.33333333,0.0,44.44444444,35.294117647058826,49.01960784313725,50.98039215686274,33.33333333333333,66.66666666666666,5.88235294117647,13.725490196078432,43.13725490196079
Kuroda Masaya,Seibu,R,2.333333333,8,92.2,37.5,0.0,37.5,46.15384615,61.9047619,27.77777778,83.33333333,100.0,40.0,7.692307692,16.66666667,28.20512821,66.66666667,33.33333333,62.5,20.0,64.1025641,80.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,60.0,20.0,0.0,53.84615384615385,46.15384615384615,53.84615384615385,38.46153846153847,61.53846153846154,5.128205128205128,5.128205128205128,38.46153846153847
