Pitcher,G,W,L,SV,CG,SHO,NBBG,PCT,BF,IP,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Tsumori Yuki,2,0,0,1,0,0,0,.000,11,3,0,0,1,0,1,4,0,0,0,0,0.00,SoftBank Hawks,
Zhang Jun-Wei,3,0,0,0,0,0,0,.000,24,6.1,4,0,0,0,1,6,0,0,0,0,0.00,SoftBank Hawks,
Ehara Masahiro,3,0,0,0,0,0,0,.000,11,3,1,0,1,0,0,2,0,0,0,0,0.00,Rakuten Eagles,
Fujii Masaru,3,2,1,0,0,0,0,.667,61,16,13,0,4,0,0,9,0,0,2,2,1.13,Rakuten Eagles,
Hayakawa Takahisa,2,1,1,0,1,0,0,.500,52,14.1,9,0,1,0,0,15,0,0,3,1,0.63,Rakuten Eagles,
Hayashi Yuki,4,0,0,0,0,0,0,.000,14,3.2,4,1,0,0,0,2,0,0,3,3,7.36,Rakuten Eagles,
Hinata Naoki,5,1,0,3,0,0,0,1.000,21,5,2,0,3,0,1,7,0,0,0,0,0.00,Rakuten Eagles,
Itoh Taisei,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,Rakuten Eagles,
Itoh Tatsuki,2,0,0,0,0,0,0,.000,46,10,10,0,6,0,1,6,0,0,3,3,2.70,Rakuten Eagles,
Kishi Takayuki,2,0,0,0,0,0,0,.000,24,6,4,0,2,0,0,3,0,0,0,0,0.00,Rakuten Eagles,
Koga Kosei,2,0,0,0,0,0,0,.000,41,9,10,2,4,0,0,11,0,0,7,7,7.00,Rakuten Eagles,
Koja Tatsuki,1,1,0,0,0,0,0,1.000,20,5,2,0,2,0,0,3,0,0,1,0,0.00,Rakuten Eagles,
Konno Ryuta,4,0,0,0,0,0,0,.000,17,4,6,0,1,0,0,4,0,0,1,0,0.00,Rakuten Eagles,
Maeda Kenta,1,0,1,0,0,0,0,.000,14,2.1,6,0,1,0,0,2,0,0,6,6,23.14,Rakuten Eagles,
Matsuda Takuma,2,0,1,0,0,0,0,.000,17,4,4,0,1,0,0,2,0,0,2,2,4.50,Rakuten Eagles,
Nakagomi Haruto,4,0,1,0,0,0,0,.000,14,3.2,2,0,0,0,0,4,0,0,1,0,0.00,Rakuten Eagles,
Nakazawa Takuma,3,1,0,1,0,0,0,1.000,10,2.2,2,1,0,0,0,2,0,0,2,2,6.75,Rakuten Eagles,
Ohuchi Seiya,2,1,0,0,0,0,0,1.000,39,10,9,1,4,0,0,6,2,0,3,3,2.70,Rakuten Eagles,
Sakai Haruto,2,0,0,0,0,0,0,.000,31,8,2,0,5,0,0,8,0,0,0,0,0.00,Rakuten Eagles,
Sakai Tomohito,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,Rakuten Eagles,
Shibata Daichi,2,0,0,0,0,0,0,.000,8,2,3,0,0,0,0,1,0,0,2,1,4.50,Rakuten Eagles,
Sung Chia-Hao,1,0,0,0,0,0,0,.000,3,1,0,0,1,0,0,0,0,0,0,0,0.00,Rakuten Eagles,
Urena Jose,1,0,0,0,0,0,0,.000,18,5,2,0,2,0,0,8,1,0,1,1,1.80,Rakuten Eagles,
Watanabe Shota,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,Rakuten Eagles,
Aoyama Minato,3,0,0,0,0,0,0,.000,20,4,5,2,3,0,0,4,0,0,5,4,9.00,Seibu Lions,
Gonzalez Jorge,2,0,0,0,0,0,0,.000,8,2,0,0,2,0,0,2,1,0,1,1,4.50,Seibu Lions,
Hada Shinnosuke,5,0,0,1,0,0,0,.000,19,5,1,1,3,0,0,5,0,0,4,4,7.20,Seibu Lions,
Hamaya Shota,1,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,1,0,0,0,0,0.00,Seibu Lions,
Kariu Shoma,1,0,0,0,0,0,0,.000,24,5,6,0,3,0,0,2,1,1,2,1,1.80,Seibu Lions,
Kawashimo Masahiro,2,1,1,0,0,0,0,.500,45,10,12,1,4,0,1,7,0,0,7,7,6.30,Seibu Lions,
Mameda Taishi,4,0,0,0,0,0,0,.000,17,5,1,0,1,0,0,3,0,0,0,0,0.00,Seibu Lions,
Matsumoto Wataru,2,0,2,0,0,0,0,.000,49,8,18,3,4,0,2,8,1,0,16,14,15.75,Seibu Lions,
Miura Daiki,3,0,0,0,0,0,0,.000,17,3,6,0,3,0,0,2,0,0,5,5,15.00,Seibu Lions,
Miyazawa Taisei,5,0,0,0,0,0,0,.000,19,4.1,2,0,2,0,2,2,0,0,1,1,2.08,Seibu Lions,
Moriwaki Ryosuke,5,0,1,0,0,0,0,.000,21,4.1,2,0,3,1,0,5,0,0,2,0,0.00,Seibu Lions,
Nakamura Yuta,3,0,0,3,0,0,0,.000,11,3,1,0,1,0,0,3,0,0,0,0,0.00,Seibu Lions,
Narita Haruse,3,0,0,0,0,0,0,.000,11,3,1,0,2,0,1,2,0,0,0,0,0.00,Seibu Lions,
Sato Shunsuke,2,0,0,0,0,0,0,.000,6,2,0,0,0,0,0,2,0,0,0,0,0.00,Seibu Lions,
Satoh Sou,2,2,0,0,0,0,0,1.000,49,11,9,0,5,0,0,6,0,0,2,2,1.64,Seibu Lions,
Sugai Shinya,2,0,1,0,0,0,0,.000,44,10,9,0,6,0,0,5,0,0,4,3,2.70,Seibu Lions,
Sugiyama Haruki,1,1,0,0,0,0,0,1.000,19,5,3,0,1,0,1,2,0,0,0,0,0.00,Seibu Lions,
Takahashi Kona,1,0,1,0,0,0,0,.000,23,5,8,0,0,0,0,4,0,0,3,3,5.40,Seibu Lions,
Takahashi Rei,4,0,0,0,0,0,0,.000,16,5,2,0,0,0,0,1,0,0,0,0,0.00,Seibu Lions,
Ueda Taiga,3,2,1,0,0,0,0,.667,73,18.2,18,2,3,0,0,20,0,0,5,5,2.41,Seibu Lions,
Asari Tamon,2,0,1,0,0,0,0,.000,41,10,5,0,6,0,0,6,2,0,3,3,2.70,Nipponham Fighters,
Fujita Ryusei,2,0,0,0,0,0,0,.000,21,6,1,0,2,0,1,8,1,0,0,0,0.00,Nipponham Fighters,
Fukuda Suguru,3,1,0,0,0,0,0,1.000,25,6.1,3,0,2,0,0,8,0,0,0,0,0.00,Nipponham Fighters,
Fukushima Ren,2,0,1,0,0,0,0,.000,37,9,9,0,1,0,1,8,0,0,2,2,2.00,Nipponham Fighters,
Hori Mizuki,5,1,1,0,0,0,0,.500,20,5.1,3,0,1,0,0,8,0,0,1,1,1.69,Nipponham Fighters,
Kanemura Shoma,1,1,0,0,0,0,0,1.000,26,6,5,0,3,0,0,5,0,0,2,2,3.00,Nipponham Fighters,
Kawakatsu Sorato,2,0,0,0,0,0,0,.000,16,2.2,4,0,3,0,0,2,0,0,4,1,3.38,Nipponham Fighters,
Kawano Ryusei,3,0,0,0,0,0,0,.000,9,3,0,0,0,0,0,2,0,0,0,0,0.00,Nipponham Fighters,
Kikuchi Taiki,4,0,0,0,0,0,0,.000,27,5.2,7,1,2,0,0,6,0,0,4,3,4.76,Nipponham Fighters,
Kuroyanagi Kyosuke,1,0,0,0,0,0,0,.000,7,2,1,0,1,0,0,0,0,0,0,0,0.00,Nipponham Fighters,
Matsumoto Ryodai,2,0,0,0,0,0,0,.000,46,11,9,0,3,0,2,6,0,0,2,2,1.64,Nipponham Fighters,
Matsuoka Koki,4,2,0,0,0,0,0,1.000,29,6.1,8,0,2,0,0,13,2,0,2,2,2.84,Nipponham Fighters,
Miyanishi Naoki,4,0,0,0,0,0,0,.000,14,4,1,1,1,0,0,5,0,0,1,1,2.25,Nipponham Fighters,
Miyauchi Haruki,2,1,0,0,0,0,0,1.000,11,3,2,0,1,0,0,4,1,0,0,0,0.00,Nipponham Fighters,
Nabatame Tsubasa,3,0,0,0,0,0,0,.000,15,3,5,0,0,0,0,3,0,0,3,0,0.00,Nipponham Fighters,
Ohkawa Jey,3,1,0,0,0,0,0,1.000,23,5,3,0,4,0,1,2,0,0,1,1,1.80,Nipponham Fighters,
Saito Yukiya,1,0,0,0,0,0,0,.000,7,,6,0,1,0,0,0,0,0,4,4,----,Nipponham Fighters,
Seimiya Kotaro,1,0,0,0,0,0,0,.000,6,0.1,1,0,2,0,1,0,0,0,5,4,108.00,Nipponham Fighters,
Shibata Reo,2,0,0,0,0,0,0,.000,9,2,1,0,2,0,0,5,0,0,1,1,4.50,Nipponham Fighters,
Shibuya Junki,2,0,0,0,0,0,0,.000,13,4,1,0,2,0,0,3,0,0,1,0,0.00,Nipponham Fighters,
Shimizu Daiki,2,0,0,0,0,0,0,.000,19,4,2,0,4,0,0,5,2,0,2,2,4.50,Nipponham Fighters,
Sugiura Toshihiro,5,0,0,1,0,0,0,.000,22,6,3,0,2,0,1,3,0,0,0,0,0.00,Nipponham Fighters,
Sun Yi-Lei,2,0,1,0,0,0,0,.000,31,7.1,7,0,1,0,0,11,0,0,3,1,1.23,Nipponham Fighters,
Tamai Taisho,4,1,0,1,0,0,0,1.000,15,5,1,0,0,0,0,3,0,0,0,0,0.00,Nipponham Fighters,
Ajiro Kenta,3,0,0,0,0,0,0,.000,47,9,19,2,2,0,1,6,0,0,14,12,12.00,Oisix Albirex,
Hosoya Ryo,2,0,0,0,0,0,0,.000,11,3,1,0,1,0,0,2,1,0,0,0,0.00,Oisix Albirex,
Imai Ryota,1,0,0,0,0,0,0,.000,8,1,3,1,1,0,1,1,0,0,5,5,45.00,Oisix Albirex,
Irei Kaito,4,0,0,0,0,0,0,.000,17,4,2,0,1,0,2,5,0,0,0,0,0.00,Oisix Albirex,
Ishikawa Naoya,2,0,0,0,0,0,0,.000,6,2,1,0,0,0,0,0,0,0,0,0,0.00,Oisix Albirex,
Kasahara Shotaro,2,1,1,0,0,0,0,.500,49,12.1,11,1,1,0,1,5,0,0,3,3,2.19,Oisix Albirex,
Miyamori Satoshi,2,0,1,0,0,0,0,.000,44,10.2,7,0,5,0,0,6,2,0,3,2,1.69,Oisix Albirex,
Namba Shu,5,0,1,0,0,0,0,.000,32,5.2,13,1,1,0,1,2,0,0,7,5,7.94,Oisix Albirex,
Nishimura Riku,4,0,0,0,0,0,0,.000,13,2.2,5,0,1,0,0,0,0,0,2,2,6.75,Oisix Albirex,
Suzuki Hayato,4,0,0,0,0,0,0,.000,21,4,6,1,3,0,2,4,1,0,6,6,13.50,Oisix Albirex,
Takada Takuto,2,1,1,0,0,0,0,.500,41,10,12,1,1,0,0,2,0,0,7,4,3.60,Oisix Albirex,
Takano Yu,2,0,1,0,0,0,0,.000,49,10.2,11,0,10,0,0,7,1,0,3,3,2.53,Oisix Albirex,
Uemura Tomoki,4,0,1,1,0,0,0,.000,16,3.1,6,0,0,0,0,6,0,0,2,2,5.40,Oisix Albirex,
Yamada Taiga,2,0,2,0,0,0,0,.000,28,6,8,1,2,0,0,4,0,0,7,6,9.00,Oisix Albirex,
Gotoh Hibiki,1,0,0,0,0,0,0,.000,21,5,6,1,1,0,0,3,0,0,2,2,3.60,HAYATE Ventures,
Hamamoto Ken,3,0,0,0,0,0,0,.000,11,3,2,0,3,0,0,1,0,0,3,3,9.00,HAYATE Ventures,
Ikeya Sota,4,0,1,0,0,0,0,.000,10,2,3,0,0,0,0,2,0,0,2,1,4.50,HAYATE Ventures,
Kasashima Naoki,2,1,1,0,0,0,0,.500,46,10.2,12,0,0,0,0,8,2,0,6,4,3.38,HAYATE Ventures,
Nomura Yuki,4,0,0,0,0,0,0,.000,9,2.2,1,0,0,0,0,3,0,0,0,0,0.00,HAYATE Ventures,
Nozato Keishiro,2,1,1,0,0,0,0,.500,42,11,6,0,3,0,0,6,1,0,2,2,1.64,HAYATE Ventures,
Ohbae Koshi,4,0,0,2,0,0,0,.000,12,4,0,0,0,0,0,5,0,0,0,0,0.00,HAYATE Ventures,
Ohishi Wataru,5,0,0,0,0,0,0,.000,25,4.2,6,1,5,0,0,7,0,0,1,1,1.93,HAYATE Ventures,
Satoh Hiroki,3,0,2,0,0,0,0,.000,64,16,8,1,14,0,0,7,0,0,5,5,2.81,HAYATE Ventures,
Satoh Yuki,4,0,0,0,0,0,0,.000,19,4.2,3,0,3,0,1,5,1,0,1,1,1.93,HAYATE Ventures,
Takahashi Rei,4,1,0,0,0,0,0,1.000,21,3.2,3,0,6,0,1,3,0,0,3,3,7.36,HAYATE Ventures,
Takatori Shonosuke,1,1,0,0,0,0,0,1.000,27,6.2,8,0,1,0,0,4,0,0,1,1,1.35,HAYATE Ventures,
Yamada Ryu,3,0,0,0,0,0,0,.000,16,4,5,0,2,0,0,2,0,0,3,3,6.75,HAYATE Ventures,
