Team,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,sHPT,sST,sSeager,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Hanshin,599,21.20200333889817,8.681135225375627,12.520868113522535,42.85714285714285,61.389337641357024,23.777961888980943,76.6953199617956,85.0,54.70383275261324,9.987720016373313,23.304680038204392,28.81702824396234,34.19170243204578,54.761904761904766,20.57020232985899,56.69259107654523,51.71568627450981,38.725490196078425,9.558823529411764,30.392156862745097,8.333333333333332,48.28431372549019,1.8363939899833053,6.962025316455696,35.049019607843135,40.931372549019606,24.01960784313725,11.138014527845035
Lotte,587,22.14650766609881,7.666098807495741,14.480408858603068,48.02354920100925,66.16541353383458,29.610829103214893,75.83187390542906,85.1010101010101,54.85714285714286,11.606391925988223,24.16812609457093,28.301093355761143,32.74050121261116,51.231527093596064,18.491025880984907,59.9663582842725,46.76616915422886,46.26865671641791,6.965174129353234,35.82089552238806,10.44776119402985,53.233830845771145,1.192504258943782,3.763440860215054,34.32835820895522,40.79601990049751,24.875621890547265,14.285714285714285
SoftBank,585,20.0,8.717948717948717,11.282051282051285,43.62121876370013,63.55785837651122,23.04270462633452,74.67336683417085,85.7336956521739,43.24324324324324,11.047786058746164,25.326633165829143,29.0223586146427,32.78943278943279,54.02873204247346,21.239299253040677,56.07189829022359,44.82758620689656,46.05911330049261,9.113300492610838,36.206896551724135,9.852216748768472,55.172413793103445,2.564102564102564,8.02139037433155,42.61083743842365,36.69950738916256,20.689655172413797,19.901719901719904
Seibu,581,21.17039586919105,5.507745266781412,15.66265060240964,49.01960784313725,65.87374199451052,31.428571428571427,77.23809523809524,88.05555555555556,53.63636363636364,11.1577964519141,22.76190476190476,28.10457516339869,34.12625800548948,50.0,15.87374199451052,61.06442577030813,47.95180722891567,44.57831325301205,7.46987951807229,32.7710843373494,11.80722891566265,52.04819277108433,1.376936316695353,4.324324324324325,37.59036144578313,37.83132530120482,24.57831325301205,15.035799522673033
Nipponham,572,22.202797202797203,6.993006993006993,15.209790209790208,49.01433691756272,68.50678733031674,29.875886524822693,74.13162705667276,83.35535006605019,53.41246290801187,12.67921146953405,25.86837294332724,28.13620071684588,30.553116769095706,51.09819121447028,20.545074445374578,58.602150537634415,46.07329842931937,43.717277486911,10.209424083769632,35.86387434554974,7.853403141361256,53.92670157068064,4.72027972027972,16.16766467065868,40.05235602094241,36.12565445026178,23.82198952879581,14.175257731958762
Chunichi,566,21.908127208480565,6.007067137809187,15.90106007067138,46.9067405355494,61.987237921604375,31.28491620111732,75.98425196850394,85.1470588235294,57.44047619047619,11.265004616805172,24.015748031496063,29.963065558633428,36.103896103896105,52.04513399153738,15.941237887641268,60.15697137580794,47.72727272727273,43.68686868686869,8.585858585858585,34.84848484848485,8.83838383838384,52.27272727272727,1.413427561837456,4.624277456647398,32.323232323232325,43.43434343434344,24.24242424242424,13.432835820895525
Rakuten,554,22.563176895306857,7.761732851985561,14.8014440433213,45.23470839260313,63.62799263351749,25.633528265107213,73.58490566037736,82.34442836468887,50.57034220532319,11.948790896159316,26.41509433962264,30.014224751066852,34.11053540587219,52.47592847317745,18.36539306730525,58.27406353722143,51.08108108108108,40.81081081081081,8.108108108108109,33.24324324324324,7.567567567567568,48.91891891891892,1.263537906137184,4.635761589403973,37.567567567567565,42.972972972972975,19.45945945945946,14.666666666666666
ORIX,546,17.765567765567766,7.6923076923076925,10.073260073260071,47.03915950334289,65.36964980544747,29.33458294283037,75.53299492385787,84.67261904761905,55.91054313099042,11.509073543457497,24.467005076142133,28.08022922636103,32.072072072072075,52.87517531556802,20.80310324349595,57.97516714422159,47.0,43.75,9.25,30.75,13.0,53.0,1.6483516483516485,5.142857142857142,38.25,39.0,22.75,17.042606516290725
Yakult,538,23.234200743494423,7.24907063197026,15.985130111524166,46.56133828996282,63.18681318681318,29.433962264150946,75.94810379241517,84.78260869565217,56.41025641025641,11.198884758364311,24.05189620758483,29.60037174721189,34.95652173913044,52.01668984700974,17.0601681078793,59.20074349442379,53.80281690140845,38.309859154929576,7.887323943661972,29.01408450704225,9.295774647887324,46.19718309859155,1.858736059479554,7.352941176470589,41.12676056338028,34.36619718309859,24.507042253521128,15.945945945945947
Yomiuri,515,22.9126213592233,5.048543689320388,17.864077669902912,47.44637385086824,63.46534653465346,30.3477344573235,77.61033369214209,87.6755070202808,55.208333333333336,10.623084780388153,22.38966630785791,29.21348314606741,35.8252427184466,50.76804915514593,14.94280643669933,60.57201225740552,48.10810810810811,41.62162162162162,10.27027027027027,30.270270270270277,11.351351351351353,51.891891891891895,2.718446601941748,9.090909090909092,40.54054054054054,37.2972972972973,22.162162162162165,17.88617886178862
DeNA,514,22.17898832684825,7.587548638132295,14.591439688715951,44.6611409068747,61.40684410646388,26.973026973026972,78.60262008733623,86.8421052631579,58.88888888888889,9.55631399317406,21.397379912663755,29.10775231594344,35.708003518029905,53.086419753086425,17.37841623505652,58.65431496830814,46.83908045977012,45.689655172413794,7.471264367816093,34.195402298850574,11.494252873563218,53.16091954022988,1.7509727626459144,5.660377358490567,38.50574712643678,40.22988505747127,21.26436781609195,15.492957746478872
