Team,G,W,L,T,PCT,GB,Home,Road,vs H,vs E,vs F,vs B,vs L,vs M,Int,
Fukuoka SoftBank Hawks,15,10,5,0,.667,--,4-3,6-2,--,2-2,5-0,--,1-2,2-1,--,
Tohoku Rakuten Golden Eagles,15,8,6,1,.571,1.5,4-4,4-2(1),2-2,--,1-2,3-2,2-0(1),--,--,
Hokkaido Nippon-Ham Fighters,15,8,7,0,.533,2.0,5-3,3-4,0-5,2-1,--,3-0,--,3-1,--,
ORIX Buffaloes,15,8,7,0,.533,2.0,6-1,2-6,--,2-3,0-3,--,3-1,3-0,--,
Saitama Seibu Lions,16,6,9,1,.400,4.0,3-5(1),3-4,2-1,0-2(1),--,1-3,--,3-3,--,
Chiba Lotte Marines,16,5,11,0,.313,5.5,3-4,2-7,1-2,--,1-3,0-3,3-3,--,--,
