Team,G,W,L,T,PCT,GB,Home,Road,vs DB,vs G,vs L,vs D,vs V,Int,
YOKOHAMA DeNA BAYSTARS,18,13,3,2,.813,--,7-3,6-0(2),--,4-1,2-2,1-0,4-0,2-0(2),
Yomiuri Giants,19,10,9,0,.526,4.5,6-4,4-5,1-4,--,1-1,1-2,1-0,6-2,
Saitama Seibu Lions,19,8,11,0,.421,6.5,2-6,6-5,2-2,1-1,--,2-3,2-0,1-5,
Chunichi Dragons,19,7,12,0,.368,7.5,3-6,4-6,0-1,2-1,3-2,--,1-2,1-6,
HAYATE Ventures Shizuoka,16,4,12,0,.250,9.0,2-5,2-7,0-4,0-1,0-2,2-1,--,2-4,
