Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Tarnok Freddy,Hiroshima,R,2,50.0,0.0,50.0,66.66666667,33.33333333,100.0,50.0,100.0,33.33333333,33.33333333,50.0,66.66666667,83.33333333,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Takahashi Hiroto,Chunichi,R,2,0.0,0.0,0.0,57.14285714,50.0,66.66666667,100.0,100.0,100.0,0.0,0.0,28.57142857,85.71428571,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Maruyama Kazuya,Yakult,L,2,0.0,0.0,0.0,42.85714286,75.0,0.0,100.0,100.0,,0.0,0.0,14.28571429,57.14285714,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Ogoh Yuya,Rakuten,L,2,0.0,0.0,0.0,50.0,66.66666667,0.0,100.0,100.0,,0.0,0.0,25.0,50.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,0.0,50.0,50.0
Takanashi Hirotoshi,Yakult,R,2,100.0,0.0,100.0,42.85714286,40.0,50.0,33.33333333,50.0,0.0,28.57142857,66.66666667,71.42857143,85.71428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Itayama Yutaro,Chunichi,L,2,100.0,0.0,100.0,66.66666667,75.0,60.0,66.66666667,66.66666667,66.66666667,22.22222222,33.33333333,33.33333333,77.77777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Maru Yoshihiro,Yomiuri,L,2,0.0,0.0,0.0,33.33333333,75.0,0.0,66.66666667,66.66666667,,11.11111111,33.33333333,22.22222222,44.44444444,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Miyamoto Takeshi,Yakult,L,2,0.0,0.0,0.0,50.0,75.0,0.0,66.66666667,66.66666667,,16.66666667,33.33333333,33.33333333,33.33333333,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,0.0,50.0,50.0
Sakurai Yorinosuke,Chunichi,R,2,100.0,0.0,100.0,42.85714286,25.0,66.66666667,0.0,0.0,0.0,42.85714286,100.0,85.71428571,85.71428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Yamamoto Daito,Lotte,R,2,0.0,0.0,0.0,50.0,66.66666667,40.0,50.0,100.0,0.0,25.0,50.0,37.5,62.5,0.0,100.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,50.0,50.0,0.0
Itoh Hikaru,Rakuten,R,2,50.0,0.0,50.0,87.5,100.0,75.0,57.14285714,75.0,33.33333333,37.5,42.85714286,37.5,87.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.0,0.0
Watanabe Haruto,ORIX,L,1,0.0,0.0,0.0,50.0,50.0,,100.0,100.0,,0.0,0.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
Ohshiro Koji,ORIX,R,1,0.0,0.0,0.0,100.0,100.0,,50.0,50.0,,50.0,50.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Howard Spencer,Yomiuri,R,1,100.0,0.0,100.0,40.0,66.66666667,0.0,0.0,0.0,,40.0,100.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Shimizu Yushi,Nipponham,R,1,0.0,0.0,0.0,100.0,,100.0,100.0,,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Kishi Junichiro,Seibu,R,1,0.0,0.0,0.0,50.0,50.0,,0.0,0.0,,50.0,100.0,50.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
Yoshida Kengo,Nipponham,R,1,100.0,0.0,100.0,66.66666667,0.0,100.0,0.0,,0.0,66.66666667,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Wakabayashi Gakuto,Yomiuri,R,1,0.0,0.0,0.0,75.0,100.0,66.66666667,100.0,100.0,100.0,0.0,0.0,0.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Kumagai Takahiro,Hanshin,R,1,0.0,0.0,0.0,50.0,50.0,,100.0,100.0,,0.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.0,0.0
Takatera Nozomu,Hanshin,L,1,0.0,100.0,-100.0,42.85714286,100.0,20.0,66.66666667,50.0,100.0,14.28571429,33.33333333,14.28571429,42.85714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Nishikawa Haruki,Nipponham,L,1,0.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,0.0,50.0,50.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Irie Taisei,DeNA,R,1,0.0,0.0,0.0,33.33333333,50.0,0.0,100.0,100.0,,0.0,0.0,33.33333333,66.66666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Akahoshi Yuji,Yomiuri,R,1,0.0,0.0,0.0,25.0,33.33333333,0.0,100.0,100.0,,0.0,0.0,50.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Tanaka Haruto,Yakult,L,1,100.0,0.0,100.0,75.0,100.0,66.66666667,0.0,0.0,0.0,75.0,100.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Tokoda Hiroki,Hiroshima,L,1,0.0,0.0,0.0,57.14285714,75.0,33.33333333,75.0,66.66666667,100.0,14.28571429,25.0,28.57142857,57.14285714,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Kinami Seiya,Hanshin,L,1,0.0,0.0,0.0,50.0,100.0,25.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Mugitani Yusuke,ORIX,L,1,0.0,0.0,0.0,100.0,100.0,,100.0,100.0,,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Martinez Ariel,Nipponham,R,1,0.0,0.0,0.0,66.66666667,50.0,100.0,50.0,0.0,100.0,33.33333333,50.0,66.66666667,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,,0.0,0.0,100.0,0.0
Hayakawa Daiki,Hanshin,R,1,0.0,0.0,0.0,20.0,33.33333333,0.0,100.0,100.0,,0.0,0.0,40.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.0,0.0
Higuchi Seishu,Chunichi,L,1,0.0,0.0,0.0,60.0,66.66666667,50.0,100.0,100.0,100.0,0.0,0.0,20.0,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Itoh Masashi,Hanshin,L,1,0.0,0.0,0.0,16.66666667,33.33333333,0.0,100.0,100.0,,0.0,0.0,33.33333333,33.33333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.0,0.0
Noguchi Tomoya,ORIX,L,1,0.0,0.0,0.0,50.0,0.0,100.0,100.0,,100.0,0.0,0.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
Nomura Isami,SoftBank,R,1,0.0,0.0,0.0,50.0,50.0,,100.0,100.0,,0.0,0.0,50.0,50.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Irie Daiki,Rakuten,R,1,100.0,0.0,100.0,80.0,100.0,75.0,50.0,0.0,66.66666667,40.0,50.0,40.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Yamaguchi Koki,Lotte,R,1,100.0,0.0,100.0,50.0,50.0,50.0,50.0,0.0,100.0,25.0,50.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Miyazaki Ryusei,Lotte,L,1,0.0,0.0,0.0,100.0,100.0,,100.0,100.0,,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Oda Gouki,Chunichi,L,1,0.0,0.0,0.0,62.5,100.0,40.0,80.0,66.66666667,100.0,12.5,20.0,12.5,62.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Montero Elehuris,Hiroshima,R,1,0.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,,0.0,100.0,0.0,0.0
Futamata Shoichi,Hiroshima,R,1,100.0,0.0,100.0,50.0,66.66666667,33.33333333,66.66666667,100.0,0.0,16.66666667,33.33333333,33.33333333,66.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Kinoshita Takuya,Chunichi,R,1,100.0,0.0,100.0,33.33333333,0.0,100.0,0.0,,0.0,33.33333333,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Itohara Kento,Hanshin,L,1,0.0,0.0,0.0,66.66666667,100.0,50.0,50.0,100.0,0.0,33.33333333,50.0,33.33333333,66.66666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Ishikawa Takaya,Chunichi,R,1,0.0,100.0,-100.0,20.0,,20.0,100.0,,100.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
