Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Makihara Taisei,SoftBank,L,11,9.090909091,0.0,9.090909091,50.0,76.47058824,20.0,81.25,100.0,0.0,9.375,18.75,18.75,50.0,30.0,70.0,0.0,70.0,0.0,70.0,0.0,0.0,30.0,50.0,20.0,20.0
Sakamoto Hayato,Yomiuri,R,10,10.0,10.0,0.0,53.84615385,86.95652174,6.25,85.71428571,90.0,0.0,7.692307692,14.28571429,15.38461538,58.97435897,37.5,50.0,12.5,37.5,12.5,62.5,0.0,0.0,37.5,37.5,25.0,12.5
Sakakura Shogo,Hiroshima,L,10,20.0,30.0,-10.0,47.22222222,81.25,20.0,70.58823529,76.92307692,50.0,13.88888889,29.41176471,22.22222222,50.0,20.0,60.0,20.0,60.0,0.0,80.0,0.0,0.0,40.0,0.0,60.0,20.0
Soto Neftali,Lotte,R,10,10.0,0.0,10.0,48.48484848,68.42105263,21.42857143,75.0,84.61538462,33.33333333,12.12121212,25.0,30.3030303,54.54545455,22.22222222,77.77777778,0.0,77.77777778,0.0,77.77777778,10.0,14.28571429,22.22222222,55.55555556,22.22222222,22.22222222
Nakagawa Hayato,Hanshin,R,10,10.0,10.0,0.0,50.0,90.90909091,28.57142857,75.0,60.0,100.0,12.5,25.0,15.625,53.125,62.5,37.5,0.0,25.0,12.5,37.5,0.0,0.0,50.0,50.0,0.0,0.0
Nakayama Raito,Yomiuri,L,10,10.0,10.0,0.0,37.5,50.0,22.22222222,86.66666667,100.0,50.0,5.0,13.33333333,32.5,65.0,62.5,37.5,0.0,25.0,12.5,37.5,0.0,0.0,50.0,25.0,25.0,12.5
Ogawa Ryusei,Lotte,L,10,20.0,20.0,0.0,48.07692308,72.72727273,30.0,80.0,81.25,77.77777778,9.615384615,20.0,21.15384615,55.76923077,66.66666667,33.33333333,0.0,16.66666667,16.66666667,33.33333333,0.0,0.0,50.0,0.0,50.0,16.66666667
Takeoka Ryusei,Yakult,L,10,20.0,10.0,10.0,41.17647059,68.75,16.66666667,57.14285714,63.63636364,33.33333333,17.64705882,42.85714286,32.35294118,47.05882353,42.85714286,28.57142857,28.57142857,28.57142857,0.0,57.14285714,0.0,0.0,28.57142857,57.14285714,14.28571429,28.57142857
Mizuno Tatsuki,Nipponham,L,10,20.0,10.0,10.0,44.73684211,61.9047619,23.52941176,82.35294118,92.30769231,50.0,7.894736842,17.64705882,28.94736842,63.15789474,14.28571429,85.71428571,0.0,71.42857143,14.28571429,85.71428571,0.0,0.0,28.57142857,71.42857143,0.0,14.28571429
Yamamoto Yuudai,DeNA,R,9,22.22222222,11.11111111,11.11111111,24.44444444,42.10526316,11.53846154,81.81818182,100.0,33.33333333,4.444444444,18.18181818,28.88888889,44.44444444,40.0,60.0,0.0,40.0,20.0,60.0,0.0,0.0,20.0,40.0,40.0,0.0
