Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Endo Jo,112,331,296,42,80,10,6,2,108,37,10,7,9,1,68,21,0,4,3,0.270,0.326,0.365,0.691,100,0.095,0.344,27.5%,20.5%,6.3%,0.31,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Inoue Kouta,94,376,337,38,79,24,0,11,136,48,0,2,0,4,108,27,0,8,9,0.234,0.303,0.404,0.707,104,0.170,0.306,38.8%,28.7%,7.2%,0.25,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Futamata Shoichi,107,405,366,39,94,21,2,5,134,36,1,2,4,4,89,22,0,9,8,0.257,0.312,0.366,0.678,101,0.109,0.322,28.6%,22.0%,5.4%,0.25,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Hayashi Kota,87,343,308,30,73,13,4,10,124,41,3,1,0,5,75,26,2,4,7,0.237,0.300,0.403,0.703,108,0.166,0.276,32.4%,21.9%,7.6%,0.35,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Nakamura Takahiro,82,307,291,30,71,7,0,8,102,36,0,2,0,0,67,14,0,2,4,0.244,0.283,0.351,0.634,88,0.107,0.292,29.0%,21.8%,4.6%,0.21,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Katsumata Atsushi,105,364,342,30,93,17,2,6,132,30,0,4,5,3,67,10,1,4,10,0.272,0.298,0.386,0.684,102,0.114,0.320,22.8%,18.4%,2.7%,0.15,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Matsuo Shion,104,376,343,34,95,20,2,7,140,51,6,1,3,8,33,16,0,6,7,0.277,0.314,0.408,0.722,113,0.131,0.283,14.9%,8.8%,4.3%,0.48,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Murakawa Nagi,108,371,332,33,93,11,1,0,106,24,29,12,17,1,83,21,0,0,3,0.280,0.322,0.319,0.641,90,0.039,0.372,28.0%,22.4%,5.7%,0.25,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Nishimaki Kenji,100,370,310,46,77,12,6,2,107,23,16,5,7,1,59,48,0,4,3,0.248,0.355,0.345,0.700,109,0.097,0.300,29.5%,15.9%,13.0%,0.81,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Hagio Masaya,101,339,307,43,87,19,4,7,135,36,1,3,5,0,67,23,2,4,7,0.283,0.341,0.440,0.781,128,0.157,0.343,28.6%,19.8%,6.8%,0.34,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
