#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,Endo Jo,112,331,296,42,80,10,6,2,108,37,10,7,9,1,68,21,0,4,3,0.270,0.326,0.365,0.691,101,0.095,0.344,20.5%,6.3%,0.31,-0.5,27.5%,21,4,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Fujita Kento,50,98,85,16,18,0,0,1,21,10,0,2,3,1,19,7,0,2,2,0.212,0.284,0.247,0.531,56,0.035,0.258,19.4%,7.1%,0.37,-0.6,27.6%,21,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Haraguchi Fumihito,13,49,44,4,16,1,0,2,23,6,0,0,0,0,6,4,0,1,2,0.364,0.429,0.523,0.952,175,0.159,0.389,12.2%,8.2%,0.67,0.0,24.5%,31,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Hojoh Fumiya,78,242,214,19,50,10,1,2,68,19,0,0,1,3,37,24,0,0,1,0.234,0.307,0.318,0.625,82,0.084,0.270,15.3%,9.9%,0.65,0.1,26.0%,28,5,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Inoue Kouta,94,376,337,38,79,24,0,11,136,48,0,2,0,4,108,27,0,8,9,0.234,0.303,0.404,0.707,104,0.170,0.306,28.7%,7.2%,0.25,-0.6,38.8%,21,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Itayama Yutaro,72,216,193,21,44,7,1,2,59,15,0,0,1,2,40,20,1,0,2,0.228,0.298,0.306,0.604,76,0.078,0.275,18.5%,9.3%,0.50,0.0,28.7%,29,3,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Itoh Masashi,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,,100.0%,0.0%,0.00,0.0,100.0%,27,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Itohara Kento,7,29,24,3,7,1,0,0,8,2,0,0,0,0,3,5,0,0,0,0.292,0.414,0.333,0.747,119,0.041,0.333,10.3%,17.2%,1.67,0.0,27.6%,30,5,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Itsubo Hinase,93,242,226,33,56,16,0,3,81,34,4,5,0,1,43,11,0,4,9,0.248,0.293,0.358,0.651,89,0.110,0.293,17.8%,4.5%,0.26,-0.9,23.6%,18,8,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Katayama Yuya,79,188,163,17,47,9,2,0,60,15,1,1,3,0,21,22,0,0,1,0.288,0.373,0.368,0.741,116,0.080,0.331,11.2%,11.7%,1.05,-0.1,22.9%,29,3,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Kumagai Takahiro,41,98,84,22,16,1,0,0,17,5,3,1,3,1,20,9,0,1,1,0.190,0.274,0.202,0.476,40,0.012,0.246,20.4%,9.2%,0.45,0.2,29.6%,27,4,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Maegawa Ukyo,39,138,125,11,40,2,0,2,48,17,0,0,0,0,20,11,0,2,0,0.320,0.384,0.384,0.768,124,0.064,0.369,14.5%,8.0%,0.55,0.0,23.9%,20,9,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Mieses Johan,16,51,44,6,14,2,0,2,22,7,0,0,0,0,8,7,0,0,2,0.318,0.412,0.500,0.912,164,0.182,0.353,15.7%,13.7%,0.88,0.0,33.3%,27,DH,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
