Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs G,vs E,vs L,vs DB,vs F,vs S,vs M,Inter
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,124,74,44,6,0.627,--,571,416,155,0.641,45-18,29-26(6),--,13-9(1),11-10,14-6(2),10-9,14-5(1),12-5(2),--
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,129,78,48,3,0.619,0.0,615,473,142,0.618,41-22(2),37-26(1),9-13(1),--,12-8,12-11,12-7(1),16-5,16-2(1),1-2
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,124,71,49,4,0.592,4.0,588,484,104,0.588,34-24(2),37-25(2),10-11,8-12,--,15-4(1),13-10,11-8(1),13-4(2),1-0
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,132,59,66,7,0.472,18.5,521,531,-10,0.491,35-29(3),24-37(4),6-14(2),11-12,4-15(1),--,14-7(3),9-9(1),12-9,3-0
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,128,54,67,7,0.446,21.5,476,567,-91,0.421,29-30(6),25-37(1),9-10,7-12(1),10-13,7-14(3),--,14-4(1),7-13(1),0-1(1)
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,122,45,73,4,0.381,29.0,483,637,-154,0.376,26-31(3),19-42(1),5-14(1),5-16,8-11(1),9-9(1),4-14(1),--,14-9,--
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,124,43,75,6,0.364,31.0,400,541,-141,0.365,21-37(3),22-38(3),5-12(2),2-16(1),4-13(2),9-12,13-7(1),9-14,--,1-1
