#,Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,,Team,League
,Takayama Shun,30,7,140.0,-3.6,-33.1,-3.7,0.0,,0.1,-1.3,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Takayama Shun,30,8,16.0,-2.3,-185.0,-2.4,0.1,,0.0,0.1,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Takayama Shun,30,9,101.0,2.7,34.4,3.7,-1.0,,0.1,-0.4,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Takayama Shun,30,DH,320.0,,,,,,,-3.8,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Yano Masaya,24,4,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Yano Masaya,24,6,119.0,0.7,7.6,-1.0,,0.5,1.1,1.0,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Yano Masaya,24,8,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Yano Masaya,24,9,8.0,0.9,144.8,0.9,0.0,,0.0,0.0,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Kawamura Yuto,23,7,3.0,-0.2,-85.8,-0.2,0.0,,0.0,0.0,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Kawamura Yuto,23,8,303.0,-2.0,-8.5,-5.1,2.9,,0.2,1.0,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Kawamura Yuto,23,9,113.0,5.7,64.9,6.1,-0.5,,0.1,-0.4,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Kawamura Yuto,23,DH,12.0,,,,,,,-0.1,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Miyoshi Hironori,25,7,96.1,-0.9,-12.0,-2.1,1.2,,0.1,-0.9,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Miyoshi Hironori,25,8,250.1,-5.3,-27.3,-3.5,-2.0,,0.1,0.8,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Miyoshi Hironori,25,9,2.0,0.3,193.0,0.3,0.0,,0.0,0.0,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
