Team,G,W,L,T,PCT,GB,Home,Road,vsD,vsT,vsH,vsB,vsC,vsV,
ChunichiDragons,19,13,4,2,.765,--,7-3(1),6-1(1),--,3-2(1),4-1,1-1(1),2-0,3-0,
HanshinTigers,20,10,8,2,.556,3.5,6-4(1),4-4(1),2-3(1),--,2-1,1-1(1),3-2,2-1,
Fukuoka SoftBankHawks,19,10,9,0,.526,4.0,5-5,5-4,1-4,1-2,--,2-1,3-0,3-2,
ORIXBuffaloes,20,8,9,3,.471,5.0,5-3(1),3-6(2),1-1(1),1-1(1),1-2,--,1-4(1),4-1,
Hiroshima ToyoCarp,18,7,10,1,.412,6.0,4-6(1),3-4,0-2,2-3,0-3,4-1(1),--,1-1,
Kufu HAYATEVentures Shizuoka,18,5,13,0,.278,8.5,1-4,4-9,0-3,1-2,2-3,1-4,1-1,--,
