Team,G,W,L,T,PCT,GB,Home,Road,vsT,vsG,vsDB,vsC,vsS,vsD,
HanshinTigers,9,5,3,1,.625,--,0-2(1),5-1,--,3-0,0-2(1),2-1,--,--,
YomiuriGiants,9,5,4,0,.556,0.5,3-3,2-1,0-3,--,--,--,3-0,2-1,
YOKOHAMA DeNABAYSTARS,9,4,4,1,.500,1.0,2-1,2-3(1),2-0(1),--,--,0-3,--,2-1,
Hiroshima ToyoCarp,8,4,4,0,.500,1.0,4-2,0-2,1-2,--,3-0,--,0-2,--,
Tokyo YakultSwallows,8,3,4,1,.429,1.5,3-1(1),0-3,--,0-3,--,2-0,--,1-1(1),
ChunichiDragons,9,3,5,1,.375,2.0,1-2,2-3(1),--,1-2,1-2,--,1-1(1),--,
