Team,G,W,L,T,PCT,GB,Home,Road,vsM,vsG,vsF,vsL,vsE,vsS,vsA,vsDB,
Chiba LotteMarines,14,11,1,2,.917,--,6-1(1),5-0(1),--,1-0,0-0(1),2-0(1),3-0,1-0,2-0,2-1,
YomiuriGiants,16,11,5,0,.688,2.0,3-2,8-3,0-1,--,2-1,1-1,0-1,2-1,3-0,3-0,
Hokkaido Nippon-HamFighters,14,7,6,1,.538,4.5,5-3(1),2-3,0-0(1),1-2,--,1-1,--,2-1,0-2,3-0,
Saitama SeibuLions,16,7,8,1,.467,5.5,3-3,4-5(1),0-2(1),1-1,1-1,--,--,1-0,2-3,2-1,
Tohoku RakutenGolden Eagles,14,6,8,0,.429,6.0,4-5,2-3,0-3,1-0,--,--,--,2-3,2-1,1-1,
Tokyo YakultSwallows,14,5,8,1,.385,6.5,3-4,2-4(1),0-1,1-2,1-2,0-1,3-2,--,--,0-0(1),
Oisix NiigataAlbirex BC,16,6,10,0,.375,7.0,5-2,1-8,0-2,0-3,2-0,3-2,1-2,--,--,0-1,
YOKOHAMA DeNABAYSTARS,16,4,11,1,.267,8.5,2-6(1),2-5,1-2,0-3,0-3,1-2,1-1,0-0(1),1-0,--,
