Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Beasley Jeremy,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Chikamoto Koji,10,46,41,6,11,1,0,1,15,2,1,0,0,0,5,1,0,4,0,.268,.366,.348,Hanshin Tigers,
Duplantier Jon,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Guerra Javy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,.000,.000,.250,Hanshin Tigers,
Hernandez Ramon,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Ihara Takato,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Inoue Kouta,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Ishiguro Yuya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Ishii Daichi,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itoh Masashi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itohara Kento,5,5,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.250,.250,.400,Hanshin Tigers,
Iwazaki Suguru,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kinami Seiya,10,35,30,0,8,2,0,0,10,6,0,0,1,0,2,0,2,6,0,.267,.333,.353,Hanshin Tigers,
Kirishiki Takuma,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kudo Taisei,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Maegawa Ukyo,9,33,27,2,6,2,0,0,8,2,0,0,0,0,4,1,2,3,0,.222,.296,.364,Hanshin Tigers,
Mombetsu Keito,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Morishita Shota,10,43,39,6,11,2,0,1,16,4,0,0,0,1,3,1,0,4,1,.282,.410,.326,Hanshin Tigers,
Murakami Shoki,2,7,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,.000,.000,.000,Hanshin Tigers,
Nakano Takumu,10,44,38,5,6,0,0,0,6,0,3,0,2,0,4,0,0,5,0,.158,.158,.238,Hanshin Tigers,
Obata Ryuhei,3,7,4,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,.000,.000,.333,Hanshin Tigers,
Ohyama Yusuke,10,42,38,1,7,2,1,0,11,5,0,0,0,0,4,0,0,3,2,.184,.289,.262,Hanshin Tigers,
Oyokawa Masaki,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Saiki Hiroto,2,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,.000,.000,.250,Hanshin Tigers,
Sakaeda Yuki,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Sakamoto Seishiro,8,22,18,0,6,0,0,0,6,1,0,0,1,0,3,1,0,6,0,.333,.333,.429,Hanshin Tigers,
Sato Teruaki,10,40,38,7,8,1,0,4,21,8,0,0,0,0,2,0,0,18,0,.211,.553,.250,Hanshin Tigers,
Shimada Kairi,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Takatera Nozomu,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Tomida Ren,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Ueda Kai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Umeno Ryutaro,4,13,12,0,2,0,0,0,2,0,0,0,1,0,0,0,0,6,0,.167,.167,.167,Hanshin Tigers,
Urushihara Taisei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Watanabe Ryo,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Aizawa Tsubasa,5,11,8,1,1,0,0,0,1,0,0,0,1,0,0,0,2,3,0,.125,.125,.300,Hiroshima Carp,
Akiyama Shogo,3,10,9,1,4,0,0,0,4,0,0,0,0,0,1,0,0,3,0,.444,.444,.500,Hiroshima Carp,
Dohbayashi Shota,8,24,20,2,3,2,0,0,5,1,0,0,1,0,3,0,0,6,0,.150,.250,.261,Hiroshima Carp,
Dominguez Johan,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
Fabian Sandro,9,35,34,4,8,3,0,1,14,5,0,0,0,0,1,0,0,5,1,.235,.412,.257,Hiroshima Carp,
Futamata Shoichi,9,36,32,1,5,0,0,0,5,1,0,1,1,0,3,0,0,5,0,.156,.156,.229,Hiroshima Carp,
Hatsuki Ryutaro,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Hayashi Kota,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
Hearn Taylor,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Horie Atsuya,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ishihara Tomoki,7,21,19,0,3,1,0,0,4,1,0,0,2,0,0,0,0,1,1,.158,.211,.158,Hiroshima Carp,
Isomura Yoshitaka,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Kikuchi Ryosuke,8,32,30,2,6,1,0,0,7,3,0,0,1,1,0,0,0,5,0,.200,.233,.194,Hiroshima Carp,
Kozono Kaito,9,41,34,7,12,3,0,0,15,2,2,0,0,0,7,3,0,2,0,.353,.441,.463,Hiroshima Carp,
Kuribayashi Ryoji,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Montero Elehuris,3,12,11,0,1,0,0,0,1,1,0,0,0,0,1,0,0,4,1,.091,.091,.167,Hiroshima Carp,
Mori Shohei,2,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,.250,.250,.250,Hiroshima Carp,
Morishita Masato,2,6,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,.000,.000,.200,Hiroshima Carp,
Moriura Daisuke,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Nakazaki Shota,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Noma Takayoshi,8,16,13,1,4,0,0,0,4,3,1,0,0,0,3,0,0,4,0,.308,.308,.438,Hiroshima Carp,
Ohmori Minoru,6,4,3,1,2,1,0,0,3,0,0,0,0,0,1,0,0,1,0,.667,1.000,.750,Hiroshima Carp,
Ohsera Daichi,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Okamoto Shun,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Shimauchi Sotaro,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Suekane Shota,5,22,21,5,7,0,1,2,15,7,0,0,0,0,1,0,0,4,0,.333,.714,.364,Hiroshima Carp,
Suzuki Kenya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Tamamura Shogo,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Tamura Shunsuke,8,16,15,2,6,0,0,1,9,3,0,0,0,0,1,0,0,2,0,.400,.600,.438,Hiroshima Carp,
Tokoda Hiroki,2,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.250,.250,.250,Hiroshima Carp,
Yamaashi Tatsuya,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Yano Masaya,9,41,34,2,8,0,0,0,8,3,0,1,3,0,3,0,1,5,0,.235,.235,.316,Hiroshima Carp,
