Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Tomida Ren,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Toyoda Hiroshi,7,22,19,3,5,0,0,0,5,2,1,1,1,0,2,0,0,0,2,.263,.263,.333,Hanshin Tigers,
Tsuda Junya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Urushihara Taisei,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Watanabe Ryo,10,41,36,2,8,2,0,0,10,3,0,0,0,0,5,1,0,5,1,.222,.278,.317,Hanshin Tigers,
Yamada Shuya,14,42,36,2,7,1,0,2,14,5,0,0,1,0,5,0,0,3,0,.194,.389,.293,Hanshin Tigers,
Yuasa Atsuki,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Akatsuka Kento,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Dominguez Johan,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.000,.000,.000,Hiroshima Carp,
Endoh Atsushi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Hasebe Ginji,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Hatsuki Ryutaro,7,13,11,3,1,1,0,0,2,0,1,0,1,0,1,0,0,1,0,.091,.182,.167,Hiroshima Carp,
Hayashi Kota,5,14,11,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,.091,.091,.286,Hiroshima Carp,
Hidaka Atsumi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ishihara Tomoki,5,11,10,1,4,1,0,0,5,1,0,1,1,0,0,0,0,1,2,.400,.500,.400,Hiroshima Carp,
Isomura Yoshitaka,2,7,5,0,2,0,0,0,2,1,0,0,0,1,1,0,0,0,0,.400,.400,.429,Hiroshima Carp,
Kawano Kei,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Kemna Makoto,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Kobayashi Tatsuto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Kubo Shu,10,32,29,1,4,0,0,0,4,3,0,0,1,1,0,0,1,8,1,.138,.138,.161,Hiroshima Carp,
Maekawa Seita,6,8,6,1,4,1,0,0,5,1,0,1,0,0,2,0,0,0,1,.667,.833,.750,Hiroshima Carp,
Masuda Takehisa,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Matsumoto Ryuya,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Matsuyama Ryuhei,6,14,11,1,3,1,0,0,4,0,0,0,0,0,3,0,0,1,0,.273,.364,.429,Hiroshima Carp,
Mochimaru Taiki,5,11,9,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4,0,.000,.000,.182,Hiroshima Carp,
Nabara Norihiko,11,26,22,5,7,1,0,0,8,2,2,0,0,1,3,0,0,1,0,.318,.364,.385,Hiroshima Carp,
Nakada Yuto,9,34,32,2,5,1,0,0,6,1,0,0,0,0,2,0,0,7,2,.156,.188,.206,Hiroshima Carp,
Nakamura Kento,5,15,12,1,1,0,0,0,1,0,0,0,0,0,2,0,1,4,1,.083,.083,.267,Hiroshima Carp,
Nakamura Shosei,7,16,15,2,3,0,0,0,3,1,2,0,0,0,1,0,0,2,1,.200,.200,.250,Hiroshima Carp,
Nakamura Takahiro,1,2,2,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,.500,2.000,.500,Hiroshima Carp,
Nirasawa Yuya,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,Hiroshima Carp,
Noma Takayoshi,2,7,6,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,.167,.167,.286,Hiroshima Carp,
Ohmichi Haruki,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ohmori Minoru,6,23,23,1,2,0,0,0,2,2,1,1,0,0,0,0,0,5,0,.087,.087,.087,Hiroshima Carp,
Ohsera Daichi,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ramirez Moises,4,15,15,0,2,2,0,0,4,0,0,0,0,0,0,0,0,5,0,.133,.267,.133,Hiroshima Carp,
Roberto Nelson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Saitoh Yuta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Sato Keisuke,10,38,31,1,8,0,0,0,8,2,0,0,3,0,4,0,0,5,0,.258,.258,.343,Hiroshima Carp,
Sato Ryunosuke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Shimizu Kanato,5,14,14,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,.143,.143,.143,Hiroshima Carp,
Suekane Shota,2,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.125,.125,.125,Hiroshima Carp,
Sugihara Mirai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Sugita Takeru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Taka Taichi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Takagi Shoto,1,4,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.333,.333,.500,Hiroshima Carp,
Takahashi Kouya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Takita Kazuki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Tamamura Shogo,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
Tamura Shunsuke,2,8,5,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,1,.400,.400,.625,Hiroshima Carp,
Tanaka Kosuke,8,33,27,2,7,0,0,0,7,5,0,0,0,0,6,0,0,1,0,.259,.259,.394,Hiroshima Carp,
Tsuji Taiga,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Tsunehiro Hayato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Uchida Shodai,11,43,38,1,6,0,0,0,6,1,0,0,0,0,4,0,1,7,3,.158,.158,.256,Hiroshima Carp,
Uemoto Takashi,7,20,15,1,4,0,0,0,4,1,1,1,0,0,4,0,1,2,1,.267,.267,.450,Hiroshima Carp,
Ugusa Koki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Watanabe Yuto,10,31,29,2,5,1,0,0,6,0,0,0,0,0,1,0,1,3,2,.172,.207,.226,Hiroshima Carp,
Azuma Junpei,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,.000,.000,.250,DeNA BayStars,
Bauer Trevor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Chino Naoto,5,14,13,0,2,0,0,0,2,2,0,0,0,0,1,0,0,3,0,.154,.154,.214,DeNA BayStars,
Diaz Yofrec,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Hamachi Masumi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Hashimoto Tatsuya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Horioka Hayato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Irie Taisei,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Ishikami Taiki,9,37,33,2,10,2,0,0,12,3,1,1,0,0,3,0,1,6,1,.303,.364,.378,DeNA BayStars,
Itoh Hikaru,6,17,16,0,4,0,0,0,4,1,0,0,0,0,1,0,0,6,0,.250,.250,.294,DeNA BayStars,
Iwata Masaki,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Jackson Andre,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
Joko Ryota,4,7,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,.000,.000,.286,DeNA BayStars,
Kajiwara Kouki,3,13,13,3,3,0,0,1,6,1,2,0,0,0,0,0,0,3,0,.231,.462,.231,DeNA BayStars,
Kamizato Kazuki,4,18,15,1,3,0,0,0,3,0,1,0,0,0,3,0,0,5,1,.200,.200,.333,DeNA BayStars,
Kasaya Shunsuke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Kato Hibiki,10,42,40,2,9,2,0,0,11,2,1,0,0,0,2,0,0,9,0,.225,.275,.262,DeNA BayStars,
Katsumata Atsushi,10,39,38,4,11,0,1,1,16,3,1,0,0,0,0,0,1,6,1,.289,.421,.308,DeNA BayStars,
Konno Ryuto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Kozono Kenta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Kuki Ryuhei,8,26,20,1,6,1,0,0,7,1,1,0,0,0,6,0,0,7,0,.300,.350,.462,DeNA BayStars,
Kyoyama Masaya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Marcelino Hansel,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Mashiko Kyosuke,9,36,30,4,11,1,0,0,12,5,0,1,0,2,3,0,1,6,1,.367,.400,.417,DeNA BayStars,
Matsumoto Ryoto,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Matsumoto Ryunosuke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Matsuo Shion,4,13,12,1,5,1,0,0,6,3,0,0,0,0,1,0,0,0,0,.417,.500,.462,DeNA BayStars,
Mimori Masaki,1,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,.667,1.000,.667,DeNA BayStars,
Mishima Kazuki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Miyagi Daita,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Mori Keito,1,4,4,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,.500,.750,.500,DeNA BayStars,
Mori Yuito,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Morihara Kohei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Morishita Ryudai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Nakagawa Hayate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Nakagawa Koh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Nishimaki Kenji,3,11,10,0,3,0,0,0,3,1,1,1,0,0,1,0,0,3,1,.300,.300,.364,DeNA BayStars,
Ogasawara Sou,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Ohnuki Shinichi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
Sakamoto Yuya,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Sasaki Chihaya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Sekine Taiki,8,28,24,1,2,0,0,0,2,0,0,0,3,0,1,0,0,1,0,.083,.083,.120,DeNA BayStars,
Shoji Haruto,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Suzuki Ren,2,5,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,.250,.250,.400,DeNA BayStars,
Taira Kentaro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Takamizawa Ikumi,4,10,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.100,.100,.100,DeNA BayStars,
