Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Beasley Jeremy,2,0,0,0,0,0,.000,34,9,,7,0,1,0,0,14,0,0,0,0,0.00,Hanshin Tigers,
Betances Jose,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
Duplantier Jon,2,1,0,0,0,0,1.000,33,8,.2,6,0,2,0,0,14,0,0,0,0,0.00,Hanshin Tigers,
Hatake Seishu,4,0,0,0,0,0,.000,19,3,.1,7,1,3,1,0,2,2,0,4,3,8.10,Hanshin Tigers,
Hayakawa Daiki,2,0,0,0,0,0,.000,24,6,,5,0,3,0,0,2,0,0,2,2,3.00,Hanshin Tigers,
Ihara Takato,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Itoh Masashi,2,0,0,0,0,0,.000,45,11,,12,0,2,0,0,4,0,0,2,2,1.64,Hanshin Tigers,
Itoh Ryo,3,1,2,0,0,0,.333,51,12,.2,8,0,4,0,2,11,0,1,6,6,4.26,Hanshin Tigers,
Iwasada Yuta,6,1,0,0,0,0,1.000,24,6,,2,0,3,0,0,6,1,0,0,0,0.00,Hanshin Tigers,
Kawahara Riku,5,1,1,0,0,0,.500,14,4,,1,0,2,0,0,2,0,0,3,3,6.75,Hanshin Tigers,
Kesamaru Yuhki,1,0,0,0,0,0,.000,8,0,.2,3,0,1,0,0,0,0,0,3,1,13.50,Hanshin Tigers,
Kinoshita Rito,4,0,0,0,0,0,.000,14,4,,2,0,1,0,0,4,1,0,1,1,2.25,Hanshin Tigers,
Matsubara Kai,2,0,0,0,0,0,.000,14,2,.2,3,0,2,0,1,1,3,0,2,2,6.75,Hanshin Tigers,
Moriki Daichi,2,0,0,0,0,0,.000,17,1,.1,7,0,3,0,3,1,2,0,9,9,60.75,Hanshin Tigers,
Murakami Shoki,1,0,0,0,0,0,.000,18,5,,3,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Nishi Yuki,2,0,0,0,0,0,.000,36,9,,7,0,0,0,1,5,0,0,1,1,1.00,Hanshin Tigers,
Ohtake Koutaro,2,1,0,0,0,0,1.000,18,4,,6,0,0,0,0,1,0,0,2,2,4.50,Hanshin Tigers,
Saiki Hiroto,1,0,1,0,0,0,.000,21,5,,6,0,0,0,0,3,0,0,1,1,1.80,Hanshin Tigers,
Satoh Ren,5,1,1,0,0,0,.500,25,5,,2,0,8,0,0,7,0,0,1,1,1.80,Hanshin Tigers,
Shiiba Tsuyoshi,5,0,0,0,0,0,.000,14,3,.1,2,0,2,0,1,3,2,0,0,0,0.00,Hanshin Tigers,
Shimamoto Hiroya,6,0,0,0,0,0,.000,20,6,,2,0,0,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
Tomida Ren,1,0,0,0,0,0,.000,16,5,,1,0,0,0,0,5,0,0,0,0,0.00,Hanshin Tigers,
Tsuda Junya,1,0,0,0,0,0,.000,20,4,.1,4,1,5,0,0,4,0,0,5,4,8.31,Hanshin Tigers,
Urushihara Taisei,6,1,0,3,0,0,1.000,22,6,,1,0,2,0,0,4,0,0,2,0,0.00,Hanshin Tigers,
Yuasa Atsuki,3,0,1,0,0,0,.000,16,3,,3,0,3,0,0,3,0,0,3,1,3.00,Hanshin Tigers,
Akatsuka Kento,4,0,0,0,0,0,.000,18,4,,4,1,3,0,0,3,0,0,2,2,4.50,Hiroshima Carp,
Dominguez Johan,2,1,1,0,0,0,.500,38,9,.1,7,1,3,0,0,11,0,0,3,3,2.89,Hiroshima Carp,
Endoh Atsushi,4,0,0,0,0,0,.000,13,4,,0,0,2,0,0,4,0,0,0,0,0.00,Hiroshima Carp,
Hasebe Ginji,4,0,0,0,0,0,.000,15,4,,3,0,0,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
Hidaka Atsumi,1,1,0,0,0,0,1.000,20,6,,1,0,0,0,1,1,0,0,1,1,1.50,Hiroshima Carp,
Kawano Kei,2,0,0,0,0,0,.000,8,2,,1,0,1,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Kemna Makoto,3,0,0,1,0,0,.000,14,3,,3,0,2,0,1,2,0,0,1,1,3.00,Hiroshima Carp,
Kobayashi Tatsuto,3,0,0,1,0,0,.000,13,3,,2,0,2,0,0,2,0,0,2,2,6.00,Hiroshima Carp,
Masuda Takehisa,4,0,0,0,0,0,.000,13,4,,4,0,0,0,1,2,0,0,0,0,0.00,Hiroshima Carp,
Matsumoto Ryuya,3,0,0,0,0,0,.000,9,2,.1,1,0,0,0,0,0,1,0,0,0,0.00,Hiroshima Carp,
Ohmichi Haruki,2,0,0,0,0,0,.000,7,2,,0,0,2,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
Ohsera Daichi,1,0,1,0,0,0,.000,24,4,.1,10,1,0,0,0,5,0,0,8,8,16.62,Hiroshima Carp,
Saitoh Yuta,6,1,0,0,0,0,1.000,37,7,.2,7,0,5,0,1,6,2,1,4,2,2.35,Hiroshima Carp,
Sato Ryunosuke,1,0,1,0,0,0,.000,26,5,.2,6,0,2,0,0,3,0,0,3,3,4.76,Hiroshima Carp,
Sugihara Mirai,1,0,0,0,0,0,.000,6,0,.2,2,0,1,0,1,0,0,0,1,1,13.50,Hiroshima Carp,
Sugita Takeru,1,0,0,0,0,0,.000,27,6,,8,0,1,0,1,1,0,0,3,3,4.50,Hiroshima Carp,
Taka Taichi,2,0,1,0,0,0,.000,42,8,,11,1,3,0,2,7,1,0,11,10,11.25,Hiroshima Carp,
Takahashi Kouya,1,0,0,0,0,0,.000,7,2,,1,0,0,0,0,4,0,0,0,0,0.00,Hiroshima Carp,
