Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,85,53,45,131,10,6,5215,1288.0,1105,88,1009,315,17,42,22,424,381,2.66,3.19,3.47,1.10,119,90,95.8,-0.53,1.7%,19.3%,6.0%,13.3%,CL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,74,65,46,122,9,7,5357,1275.0,1187,109,975,400,29,43,32,508,454,3.20,3.66,3.73,1.24,97,105,102.9,-0.46,2.0%,18.2%,7.5%,10.7%,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,74,66,42,119,10,3,5361,1289.1,1206,118,1158,359,28,43,28,496,452,3.16,3.37,3.31,1.21,102,93,91.4,-0.21,2.2%,21.6%,6.7%,14.9%,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,71,70,31,120,8,3,5295,1276.1,1117,129,1075,401,17,64,27,507,482,3.40,3.76,3.53,1.19,94,105,97.4,-0.36,2.4%,20.3%,7.6%,12.7%,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,57,83,33,131,3,3,5336,1267.2,1215,143,953,382,41,63,33,567,516,3.66,4.05,3.73,1.26,92,107,103.0,-0.39,2.7%,17.9%,7.2%,10.7%,CL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,56,82,37,142,4,2,5385,1287.1,1127,76,1062,445,18,51,32,498,441,3.08,3.31,3.65,1.22,96,100,100.9,-0.23,1.4%,19.7%,8.3%,11.5%,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,86,53,46,117,5,4,5339,1290.0,1097,73,1155,405,8,54,36,428,391,2.73,3.05,3.40,1.16,113,88,93.8,-0.32,1.4%,21.6%,7.6%,14.0%,PL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,70,68,45,134,1,0,5366,1283.0,1194,101,1102,412,16,46,51,524,485,3.40,3.41,3.51,1.25,97,92,97.1,-0.01,1.9%,20.5%,7.7%,12.9%,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,71,69,33,129,4,3,5361,1279.2,1121,111,1068,451,15,62,19,507,465,3.27,3.70,3.65,1.23,98,103,100.8,-0.43,2.1%,19.9%,8.4%,11.5%,PL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,70,71,42,121,1,1,5409,1268.2,1206,101,921,440,15,39,52,556,496,3.52,3.75,3.91,1.30,88,108,108.0,-0.23,1.9%,17.0%,8.1%,8.9%,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,65,77,35,98,10,5,5310,1270.0,1056,95,1010,511,13,59,40,465,415,2.94,3.77,3.86,1.23,107,107,106.6,-0.82,1.8%,19.0%,9.6%,9.4%,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,60,82,29,99,8,4,5309,1268.2,1189,106,942,363,14,50,34,496,434,3.08,3.61,3.71,1.22,102,103,102.5,-0.54,2.0%,17.7%,6.8%,10.9%,PL
League Average,70,70,39,122,6,3,5337,1279.0,1152,104,1036,407,19,51,34,498,451,3.17,3.55,3.62,1.22,100,100,100.0,-0.37,1.9%,19.4%,7.6%,11.8%,
