Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Chikamoto Koji,129,585,501,83,143,24,12,8,215,54,28,3,0,5,71,67,2,12,6,0.285,0.379,0.429,0.808,144,0.144,0.316,25.0%,12.1%,11.5%,0.94,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kinami Seiya,127,470,408,41,109,22,1,1,136,41,0,0,20,7,103,31,12,4,13,0.267,0.320,0.333,0.653,97,0.066,0.347,28.7%,21.9%,6.6%,0.30,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nakano Takumu,143,660,575,80,164,17,5,2,197,40,20,12,21,5,107,57,2,2,5,0.285,0.349,0.343,0.692,110,0.058,0.344,25.2%,16.2%,8.6%,0.53,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Neuse Sheldon,133,516,475,42,114,13,1,9,156,56,0,0,0,3,85,36,0,2,13,0.240,0.295,0.328,0.623,88,0.088,0.273,25.2%,16.5%,7.0%,0.42,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ohyama Yusuke,143,625,513,80,148,29,0,19,234,78,3,3,0,8,120,99,5,5,13,0.288,0.403,0.456,0.859,159,0.168,0.338,38.1%,19.2%,15.8%,0.82,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Sato Teruaki,132,548,486,70,128,30,6,24,242,92,7,5,0,4,139,54,5,4,4,0.263,0.339,0.498,0.837,150,0.235,0.318,39.6%,25.4%,9.9%,0.39,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Akiyama Shogo,115,483,434,48,119,20,6,4,163,38,8,3,9,1,81,35,3,4,12,0.274,0.333,0.376,0.709,115,0.102,0.329,24.8%,16.8%,7.2%,0.43,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kikuchi Ryosuke,120,485,442,51,114,17,0,5,146,27,7,5,8,1,68,32,1,2,6,0.258,0.310,0.330,0.640,95,0.072,0.295,21.6%,14.0%,6.6%,0.47,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nishikawa Ryoma,109,443,416,48,127,20,1,9,176,56,7,6,1,4,52,21,4,1,10,0.305,0.337,0.423,0.760,131,0.118,0.329,18.5%,11.7%,4.7%,0.40,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Sakakura Shogo,120,448,395,48,105,19,1,12,162,44,3,0,1,2,67,47,6,3,9,0.266,0.347,0.410,0.757,130,0.144,0.292,28.1%,15.0%,10.5%,0.70,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
