Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs B,vs M,vs H,vs E,vs L,vs F,Inter
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,143,86,53,4,0.619,--,508,428,80,0.578,41-28(3),45-25(1),--,15-8(2),13-11(1),15-10,17-8,15-9(1),11-7
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,143,70,68,5,0.507,15.5,505,524,-19,0.483,42-28(2),28-40(3),8-15(2),--,12-12(1),13-12,16-9,14-11,7-9(2)
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,143,71,69,3,0.507,15.5,536,507,29,0.525,39-32,32-37(3),11-13(1),12-12(1),--,10-14(1),13-12,14-11,11-7
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,143,70,71,2,0.496,17.0,513,556,-43,0.463,38-33(1),32-38(1),10-15,12-13,14-10(1),--,10-14(1),15-10,9-9
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,143,65,77,1,0.458,22.5,435,465,-30,0.470,33-37(1),32-40,8-17,9-16,12-13,14-10(1),--,16-9,6-12
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,143,60,82,1,0.423,27.5,464,496,-32,0.470,31-40,29-42(1),9-15(1),11-14,11-14,10-15,9-16,--,10-8
