#,Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,,Team,League
,Matsumoto Go,29,7,856.1,16.4,24.6,11.6,4.4,,0.4,-8.1,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Matsumoto Go,29,8,181.2,3.0,21.2,3.3,-0.3,,0.0,0.6,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Matsumoto Go,29,DH,95.0,,,,,,,-1.1,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Tatsumi Ryosuke,26,8,1068.1,2.5,3.0,6.0,-3.6,,0.1,3.5,,,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,Okoye Louis,25,7,78.0,0.3,4.9,0.9,-0.6,,0.0,-0.7,,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Okoye Louis,25,8,99.0,-1.1,-14.3,-1.1,0.0,,0.0,0.3,,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Okoye Louis,25,9,74.0,0.5,8.7,1.0,-0.5,,0.0,-0.3,,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Okabayashi Yuki,21,8,1113.1,-10.8,-12.5,-8.2,-2.7,,0.1,3.7,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,Okabayashi Yuki,21,9,174.0,0.9,6.7,0.6,0.3,,0.1,-0.7,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,Hamada Taiki,22,7,311.0,-3.0,-12.4,-3.2,0.1,,0.1,-3.0,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Hamada Taiki,22,8,140.0,-1.9,-17.5,-1.3,-0.6,,0.0,0.5,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Hamada Taiki,22,9,11.0,0.5,58.5,0.5,0.0,,0.0,0.0,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Kozono Kaito,23,4,93.0,1.1,15.2,1.3,,0.8,-1.0,0.3,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kozono Kaito,23,5,84.2,0.2,3.0,-0.6,,0.0,0.7,-0.3,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kozono Kaito,23,6,460.0,2.9,8.1,3.5,,0.0,-0.7,3.7,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Namiki Hidetaka,24,7,61.2,0.9,18.8,0.8,0.0,,0.0,-0.6,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Namiki Hidetaka,24,8,291.2,2.1,9.3,0.4,1.7,,0.0,1.0,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Namiki Hidetaka,24,9,45.1,-1.3,-36.9,-0.5,0.0,,-0.8,-0.2,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Chikamoto Koji,28,8,1113.1,9.7,11.2,9.0,0.6,,0.1,3.7,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Sano Keita,28,3,365.2,-1.0,-3.5,-1.6,,0.1,0.5,-4.1,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Sano Keita,28,7,848.1,-22.8,-34.6,-21.7,-0.5,,-0.6,-8.1,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Payton Mark,31,7,288.1,-0.5,-2.2,0.5,-1.1,,0.1,-2.7,,,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,Payton Mark,31,8,161.0,-2.2,-17.6,-2.0,-0.2,,0.0,0.5,,,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,Payton Mark,31,DH,9.0,,,,,,,-0.1,,,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,Noguchi Tomoya,23,5,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Noguchi Tomoya,23,6,119.1,-4.1,-44.2,-3.5,,-0.4,-0.1,1.0,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Noguchi Tomoya,23,7,4.0,-0.6,-193.0,-0.6,0.0,,0.0,0.0,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Noguchi Tomoya,23,8,131.2,-0.2,-2.0,0.2,-0.4,,0.0,0.4,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Noguchi Tomoya,23,9,338.1,-0.1,-0.4,1.0,-1.2,,0.2,-1.3,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Makihara Taisei,30,4,333.0,0.4,1.5,0.6,,-0.3,0.1,0.9,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Makihara Taisei,30,5,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Makihara Taisei,30,6,5.0,-0.1,-25.7,-0.2,,0.1,0.1,0.0,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Makihara Taisei,30,8,440.1,2.8,8.2,2.9,-0.1,,0.0,1.5,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Ogino Takashi,37,9,375.0,-3.8,-13.0,-3.6,-0.4,,0.2,-1.5,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Kajitani Takayuki,34,7,172.0,-0.3,-2.2,0.7,-1.0,,0.1,-1.6,,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Kajitani Takayuki,34,8,36.1,1.6,56.7,2.1,-0.5,,0.0,0.1,,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Kajitani Takayuki,34,9,311.1,-1.0,-4.1,-0.5,-0.6,,0.1,-1.2,,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Kikuchi Ryosuke,33,4,965.0,-0.5,-0.7,-4.7,,1.5,2.7,2.6,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kamizato Kazuki,29,7,3.2,0.4,139.1,0.0,0.4,,0.0,0.0,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kamizato Kazuki,29,8,23.0,-2.5,-139.9,-1.7,-0.8,,0.0,0.1,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kamizato Kazuki,29,9,133.0,1.8,17.4,3.1,-1.4,,0.1,-0.5,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Yazawa Kota,22,7,25.0,0.0,0.0,0.0,0.0,,0.0,-0.2,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
