Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,13,10,2,0,0,0,.833,303,77,.2,71,9,10,0,2,58,2,0,26,23,2.67,Hanshin Tigers,
Aoyagi Koyo,1,1,0,0,0,0,1.000,25,6,,5,0,2,0,0,3,1,0,0,0,0.00,Hanshin Tigers,
Baba Kosuke,19,5,7,0,0,0,.417,421,102,.1,89,7,30,1,1,88,9,1,44,36,3.17,Hanshin Tigers,
Dolis Rafael,2,0,0,0,0,0,.000,9,2,,2,0,1,0,1,2,2,0,3,3,13.50,Hanshin Tigers,
Fujikawa Kyuji,1,0,0,0,0,0,.000,4,1,,1,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Fujinami Shintaro,14,3,6,0,1,0,.333,322,75,,75,2,27,0,7,72,3,0,35,32,3.84,Hanshin Tigers,
Fukunaga Shungo,44,1,3,7,0,0,.250,198,46,.2,51,1,13,0,1,42,4,0,22,20,3.86,Hanshin Tigers,
Garcia Onelki,5,3,0,0,1,1,1.000,120,33,,18,0,6,0,0,22,0,0,3,3,0.82,Hanshin Tigers,
Hamachi Masumi,12,0,1,1,0,0,.000,124,29,.1,28,1,10,0,0,24,0,0,10,8,2.45,Hanshin Tigers,
Iida Yuya,42,3,3,5,0,0,.500,165,38,.2,30,2,17,1,1,35,2,0,14,12,2.79,Hanshin Tigers,
Ishii Masaki,48,2,2,1,0,0,.500,178,41,.2,37,5,18,2,0,21,8,1,17,16,3.46,Hanshin Tigers,
Ishizaki Tsuyoshi,18,0,1,1,0,0,.000,63,16,.1,13,0,4,0,0,23,1,0,2,2,1.10,Hanshin Tigers,
Ito Kazuo,2,1,0,1,0,0,1.000,14,3,,5,0,1,0,0,5,0,0,1,1,3.00,Hanshin Tigers,
Iwasada Yuta,6,2,2,0,0,0,.500,108,27,,22,1,7,0,1,21,0,0,9,9,3.00,Hanshin Tigers,
Iwata Minoru,9,2,2,0,0,0,.500,147,37,,35,1,5,0,2,21,2,0,12,9,2.19,Hanshin Tigers,
Iwazaki Suguru,6,1,0,1,0,0,1.000,56,14,,10,3,5,0,1,12,0,0,5,5,3.21,Hanshin Tigers,
Lu Yen-Ching,22,1,7,0,0,0,.125,259,56,.2,60,5,32,1,5,53,3,0,31,30,4.76,Hanshin Tigers,
Maki Joichiro,15,0,1,0,0,0,.000,112,24,.2,24,3,13,0,1,18,0,0,18,18,6.57,Hanshin Tigers,
Messenger Randy,2,0,1,0,0,0,.000,36,9,,7,2,3,0,0,3,0,0,7,7,7.00,Hanshin Tigers,
Mochizuki Atsushi,16,6,4,0,0,0,.600,343,84,.2,73,6,27,0,4,67,5,1,27,24,2.55,Hanshin Tigers,
Moriya Koki,1,0,0,0,0,0,.000,5,1,,1,0,1,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
Nomi Atsushi,2,0,0,0,0,0,.000,6,2,,0,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Okamoto Yosuke,25,1,3,1,0,0,.250,106,24,,27,3,8,1,1,23,2,0,12,12,4.50,Hanshin Tigers,
Onaka Yuya,43,0,2,3,0,0,.000,186,42,.1,43,4,18,1,1,53,6,0,24,20,4.25,Hanshin Tigers,
Ono Taiki,5,1,1,0,0,0,.500,69,16,,12,1,11,0,0,12,1,0,8,8,4.50,Hanshin Tigers,
Saiki Hiroto,6,3,1,0,0,0,.750,93,23,.1,17,3,8,0,0,21,1,1,6,6,2.31,Hanshin Tigers,
Saito Yukiya,33,1,2,8,0,0,.333,151,33,,36,5,15,0,5,29,7,1,19,14,3.82,Hanshin Tigers,
Saiuchi Hiroaki,34,1,2,0,0,0,.333,150,36,,39,4,11,0,0,25,2,0,21,16,4.00,Hanshin Tigers,
Takahashi Akifumi,16,1,1,0,0,0,.500,65,15,,19,2,4,0,0,10,1,0,12,11,6.60,Hanshin Tigers,
Takahashi Haruto,6,2,0,0,0,0,1.000,123,32,,24,4,7,0,0,27,0,0,8,8,2.25,Hanshin Tigers,
Takano Keisuke,13,0,0,6,0,0,.000,47,12,,6,0,3,0,2,11,1,0,5,5,3.75,Hanshin Tigers,
Tanigawa Masaki,24,4,1,0,0,0,.800,168,41,.2,41,7,7,0,1,34,2,0,20,15,3.24,Hanshin Tigers,
Yokoyama Yuya,8,1,1,0,0,0,.500,115,28,.1,24,1,8,0,3,17,0,0,9,9,2.86,Hanshin Tigers,
Yuasa Atsuki,5,1,2,1,0,0,.333,76,19,,19,1,4,1,1,6,0,0,9,9,4.26,Hanshin Tigers,
Aduwa Makoto,10,5,3,0,3,1,.625,278,70,,62,3,15,0,1,20,5,0,18,17,2.19,Hiroshima Carp,
Endo Atsushi,14,3,1,0,1,0,.750,235,58,.2,46,6,16,0,3,51,2,1,21,20,3.07,Hiroshima Carp,
Franzua Geronimo,2,0,0,0,0,0,.000,7,2,,1,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Fujii Koya,26,2,0,6,0,0,1.000,93,27,,12,1,4,0,0,23,1,0,1,1,0.33,Hiroshima Carp,
Fujii Reira,8,0,1,0,0,0,.000,45,10,.2,10,2,5,0,1,8,0,1,9,7,5.91,Hiroshima Carp,
Hellweg Johnny,30,2,1,3,0,0,.667,118,29,.1,15,0,16,1,2,24,2,0,16,11,3.38,Hiroshima Carp,
Hiraoka Takato,31,1,1,1,0,0,.500,155,34,.2,35,1,18,0,1,19,3,0,18,18,4.67,Hiroshima Carp,
Horie Atsuya,21,1,1,2,0,0,.500,92,21,.2,18,1,9,0,2,22,2,0,9,7,2.91,Hiroshima Carp,
Ichioka Ryuji,3,0,0,0,0,0,.000,13,3,,5,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Iida Tetsuya,22,0,1,0,0,0,.000,64,13,.2,16,0,2,0,2,13,2,0,9,6,3.95,Hiroshima Carp,
Imamura Takeru,27,1,3,7,0,0,.250,120,26,.2,33,1,7,0,0,24,0,0,16,12,4.05,Hiroshima Carp,
