Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,10,4,3,0,0,0,0,.571,219,50,.2,56,5,12,0,1,35,2,0,27,24,4.26,Hanshin Tigers,
Aoyagi Koyo,25,9,9,0,0,1,1,.500,601,143,.1,145,14,42,3,12,100,0,1,56,50,3.14,Hanshin Tigers,
Baba Kosuke,2,0,0,0,0,0,0,.000,17,3,.1,7,3,1,0,0,4,0,1,4,4,10.80,Hanshin Tigers,
Dolis Rafael,56,5,4,19,10,0,0,.556,213,55,.1,36,1,11,2,1,50,7,0,16,13,2.11,Hanshin Tigers,
Fujikawa Kyuji,56,4,1,16,23,0,0,.800,226,56,,29,3,32,2,0,83,4,0,11,11,1.77,Hanshin Tigers,
Fujinami Shintaro,1,0,0,0,0,0,0,.000,23,4,.1,4,0,6,0,2,3,0,0,1,1,2.08,Hanshin Tigers,
Fukunaga Shungo,3,0,0,0,0,0,0,.000,13,2,,6,1,1,0,0,3,0,0,5,5,22.50,Hanshin Tigers,
Garcia Onelki,21,6,8,0,0,1,1,.429,473,103,.2,123,8,40,3,6,79,1,0,66,54,4.69,Hanshin Tigers,
Hamachi Masumi,21,2,1,0,0,0,0,.667,128,28,,35,4,8,2,0,27,0,0,21,19,6.11,Hanshin Tigers,
Iida Yuya,3,1,0,0,0,0,0,1.000,20,3,.1,5,0,5,0,0,6,0,0,4,4,10.80,Hanshin Tigers,
Ishizaki Tsuyoshi,2,0,0,0,0,0,0,.000,6,1,.1,2,0,1,0,0,0,0,0,1,1,6.75,Hanshin Tigers,
Iwasada Yuta,8,2,4,0,0,0,0,.333,173,40,.1,43,4,15,0,0,33,0,0,19,18,4.02,Hanshin Tigers,
Iwata Minoru,14,3,4,0,0,1,0,.429,336,77,.2,90,13,21,0,3,43,2,0,46,39,4.52,Hanshin Tigers,
Iwazaki Suguru,48,3,0,0,26,0,0,1.000,204,53,.2,24,5,17,1,3,58,1,0,11,6,1.01,Hanshin Tigers,
Johnson Pierce,58,2,3,0,40,0,0,.400,224,58,.2,34,2,13,1,1,91,4,0,12,9,1.38,Hanshin Tigers,
Kuwahara Kentaro,7,2,0,0,3,0,0,1.000,28,5,,10,1,3,0,1,6,0,0,9,5,9.00,Hanshin Tigers,
Messenger Randy,14,3,7,0,0,1,0,.300,336,79,,71,11,38,1,2,55,3,0,45,41,4.67,Hanshin Tigers,
Mochizuki Atsushi,8,1,1,0,0,0,0,.500,142,31,.1,33,4,16,2,3,26,3,0,15,14,4.02,Hanshin Tigers,
Moriya Koki,57,2,2,0,7,0,0,.500,217,54,,45,3,17,3,0,53,2,0,19,18,3.00,Hanshin Tigers,
Nishi Yuki,26,10,8,0,0,1,1,.556,702,172,.1,159,12,36,2,9,112,2,0,60,56,2.92,Hanshin Tigers,
Nomi Atsushi,51,1,2,0,18,0,0,.333,191,44,,37,5,24,3,1,41,2,0,21,21,4.30,Hanshin Tigers,
Okamoto Yosuke,3,0,0,0,0,0,0,.000,26,5,.1,6,2,3,0,1,4,0,0,5,5,8.44,Hanshin Tigers,
Onaka Yuya,5,0,0,0,0,0,0,.000,26,5,.2,6,1,5,0,1,6,0,0,4,4,6.35,Hanshin Tigers,
Ono Taiki,14,0,1,0,5,0,0,.000,58,11,.2,11,0,13,2,1,6,0,0,3,3,2.31,Hanshin Tigers,
Saiki Hiroto,3,2,1,0,0,0,0,.667,70,15,.1,20,0,5,0,0,14,0,0,8,8,4.70,Hanshin Tigers,
Saito Yukiya,1,0,0,0,0,0,0,.000,10,2,,1,0,3,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Shimamoto Hiroya,63,4,0,1,11,0,0,1.000,229,59,.1,42,4,14,0,4,60,0,0,13,11,1.67,Hanshin Tigers,
Takahashi Akifumi,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
Takahashi Haruto,19,3,9,0,1,0,0,.250,474,109,.2,115,9,38,2,0,125,4,0,56,46,3.78,Hanshin Tigers,
Takano Keisuke,4,0,0,0,1,0,0,.000,25,5,.2,6,0,1,0,1,6,0,0,4,3,4.76,Hanshin Tigers,
Tanigawa Masaki,4,0,0,0,0,0,0,.000,34,7,.1,8,0,3,0,0,4,2,0,4,3,3.68,Hanshin Tigers,
Aduwa Makoto,19,3,5,0,0,1,0,.375,404,91,.2,101,14,27,0,4,52,2,0,52,44,4.32,Hiroshima Carp,
Endo Atsushi,34,1,1,1,6,0,0,.500,188,42,.2,36,1,25,1,1,38,3,1,19,15,3.16,Hiroshima Carp,
Franzua Geronimo,67,8,6,12,18,0,0,.571,308,71,.2,55,8,32,5,7,94,1,0,29,22,2.76,Hiroshima Carp,
Fujii Koya,4,0,0,0,0,0,0,.000,41,6,.1,13,0,9,0,0,8,0,0,10,10,14.21,Hiroshima Carp,
Hellweg Johnny,5,1,0,0,1,0,0,1.000,13,3,.2,2,0,1,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
Horie Atsuya,11,0,1,0,0,0,0,.000,95,20,.2,20,4,14,0,1,23,0,0,14,14,6.10,Hiroshima Carp,
Ichioka Ryuji,33,0,0,0,16,0,0,.000,133,31,,29,1,10,0,2,18,2,0,11,10,2.90,Hiroshima Carp,
Imamura Takeru,27,3,1,1,4,0,0,.750,101,25,.1,18,2,9,1,1,17,0,0,10,10,3.55,Hiroshima Carp,
Johnson Kris,27,11,8,0,0,1,1,.579,650,156,.2,132,12,58,2,4,132,3,0,50,45,2.59,Hiroshima Carp,
Kemna Makoto,1,0,0,0,0,0,0,.000,5,1,,1,0,1,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
Kikuchi Yasunori,58,1,3,0,15,0,0,.250,240,61,,39,4,23,2,0,43,4,0,21,19,2.80,Hiroshima Carp,
Kuri Aren,27,8,8,0,3,1,1,.500,498,118,,107,11,41,0,4,96,1,0,50,46,3.51,Hiroshima Carp,
Lawrence Casey,1,0,1,0,0,0,0,.000,23,5,,4,1,4,1,0,3,0,0,6,6,10.80,Hiroshima Carp,
Montilla Emailin,2,0,2,0,0,0,0,.000,29,4,.1,11,1,4,0,0,8,1,0,8,7,14.54,Hiroshima Carp,
Nagakawa Katsuhiro,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Nakamura Kyohei,43,0,1,0,12,0,0,.000,181,44,.1,31,5,17,2,2,58,0,0,16,13,2.64,Hiroshima Carp,
Nakamura Yuta,2,0,0,0,0,0,0,.000,32,5,.2,11,3,5,0,0,4,1,0,8,8,12.71,Hiroshima Carp,
