Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,13,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Aoyagi Koyo,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Araki Fumiya,76,251,228,25,55,5,3,3,75,20,19,4,6,0,15,1,2,44,1,.241,.329,.294,Hanshin Tigers,
Baba Kosuke,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Dolis Rafael,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Egoshi Taiga,40,175,152,28,44,12,1,10,88,27,6,2,0,1,18,0,4,54,3,.289,.579,.377,Hanshin Tigers,
Fujikawa Kyuji,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Fujikawa Shunsuke,68,225,202,24,58,10,1,2,76,16,4,3,3,0,18,0,2,26,4,.287,.376,.351,Hanshin Tigers,
Fujinami Shintaro,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Fujitani Kosuke,65,181,156,22,29,5,2,5,53,20,0,0,0,2,20,0,3,68,0,.186,.340,.287,Hanshin Tigers,
Fukudome Kosuke,5,15,13,1,4,1,0,1,8,1,0,0,0,0,2,0,0,7,0,.308,.615,.400,Hanshin Tigers,
Fukunaga Shungo,44,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,Hanshin Tigers,
Garcia Onelki,5,9,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,.111,.111,.111,Hanshin Tigers,
Hamachi Masumi,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,18,53,46,3,9,2,0,1,14,7,0,1,0,0,4,0,3,5,1,.196,.304,.302,Hanshin Tigers,
