Team,G,W,L,T,PCT,GB,Home,Road,vsL,vsH,vsE,vsM,vsF,vsB,Int,
Saitama SeibuLions,143,80,62,1,.563,--,43-29,37-33(1),--,12-13,11-14,16-8(1),14-11,17-8,10-8,
Fukuoka SoftBankHawks,143,76,62,5,.551,2.0,42-27(3),34-35(2),13-12,--,13-12,8-17,15-9(1),16-7(2),11-5(2),
Tohoku RakutenGolden Eagles,143,71,68,4,.511,7.5,36-33(2),35-35(2),14-11,12-13,--,10-13(2),13-11(1),12-12(1),10-8,
Chiba LotteMarines,143,69,70,4,.496,9.5,37-32(2),32-38(2),8-16(1),17-8,13-10(2),--,14-11,9-15(1),8-10,
Hokkaido Nippon-HamFighters,143,65,73,5,.471,13.0,35-34(3),30-39(2),11-14,9-15(1),11-13(1),11-14,--,15-8(2),8-9(1),
ORIXBuffaloes,143,61,75,7,.449,16.0,32-34(5),29-41(2),8-17,7-16(2),12-12(1),15-9(1),8-15(2),--,11-6(1),
