Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,Unnamed: 12
塩見 泰隆,ヤ,RF,41.0,0.0,0.3,-,-0.3,0.0,-0.2,-,-,
北條 史也,神,3B,83.3,1.9,1.8,0.0,-,0.1,-0.3,-,-,
北條 史也,神,SS,313.7,-1.2,1.6,-0.2,-,-2.6,2.5,-,-,
長坂 拳弥,神,C,2.0,0.0,-,-,0.0,0.0,0.0,-,-,
荻野 貴司,ロ,LF,12.0,1.0,1.0,-,0.0,0.0,-0.1,-,-,
荻野 貴司,ロ,CF,1031.0,-3.8,-6.6,-,2.1,0.7,3.4,-,-,
荻野 貴司,ロ,RF,17.7,1.0,0.9,-,0.0,0.0,-0.1,-,-,
田村 龍弘,ロ,C,759.7,2.3,-,-,2.4,-0.1,10.7,-,-,
上本 博紀,神,1B,4.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
上本 博紀,神,2B,139.7,-3.2,-2.0,-0.5,-,-0.8,0.4,-,-,
ビヤヌエバ,巨,1B,14.3,-0.1,-0.1,-0.1,-,0.0,-0.2,-,-,
ビヤヌエバ,巨,2B,4.7,-0.5,0.2,0.0,-,-0.7,0.0,-,-,
ビヤヌエバ,巨,3B,459.0,-2.4,-3.1,0.3,-,0.3,-1.7,-,-,
神里 和毅,デ,LF,7.7,0.8,0.8,-,0.0,0.0,-0.1,-,-,
神里 和毅,デ,CF,855.3,3.0,2.4,-,0.9,-0.3,2.8,-,-,
神里 和毅,デ,RF,33.0,-1.8,-1.8,-,0.0,0.0,-0.1,-,-,
愛斗,西,LF,44.0,0.7,0.9,-,-0.2,0.0,-0.4,-,-,
愛斗,西,RF,106.3,2.7,1.3,-,1.3,0.1,-0.4,-,-,
愛斗,西,DH,6.0,-,-,-,-,-,-0.1,-,-,
近本 光司,神,LF,28.7,0.0,-0.3,-,0.3,0.0,-0.3,-,-,
近本 光司,神,CF,1206.3,-2.9,-10.0,-,8.2,-1.1,3.9,-,-,
熊代 聖人,西,1B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
熊代 聖人,西,2B,1.0,-0.1,0.0,-0.1,-,0.0,0.0,-,-,
熊代 聖人,西,3B,17.0,-0.6,-0.7,0.0,-,0.0,-0.1,-,-,
熊代 聖人,西,SS,10.0,0.5,0.6,-0.1,-,0.1,0.1,-,-,
熊代 聖人,西,LF,6.7,-0.4,-0.4,-,0.0,0.0,-0.1,-,-,
熊代 聖人,西,RF,9.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
熊代 聖人,西,DH,9.0,-,-,-,-,-,-0.1,-,-,
中村 悠平,ヤ,C,963.0,2.5,-,-,2.5,0.0,13.5,-,-,
植田 海,神,2B,80.3,-0.2,0.0,-0.6,-,0.3,0.2,-,-,
植田 海,神,SS,48.0,-2.3,-2.9,0.3,-,0.3,0.4,-,-,
植田 海,神,CF,28.3,0.8,0.7,-,0.1,0.0,0.1,-,-,
菅野 剛士,ロ,LF,104.0,0.2,1.0,-,-0.9,0.1,-1.0,-,-,
菅野 剛士,ロ,RF,46.0,0.2,0.5,-,-0.3,0.0,-0.2,-,-,
太田 賢吾,ヤ,1B,4.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
太田 賢吾,ヤ,2B,25.0,0.2,0.9,-0.1,-,-0.6,0.1,-,-,
太田 賢吾,ヤ,3B,498.3,-5.0,-2.9,-0.2,-,-1.9,-1.9,-,-,
太田 賢吾,ヤ,SS,116.0,-3.3,-0.9,-0.4,-,-2.0,0.9,-,-,
吉田 裕太,ロ,C,160.7,-1.4,-,-,-1.5,0.0,2.3,-,-,
京田 陽太,中,SS,1183.0,9.1,6.4,1.1,-,1.6,9.5,-,-,
田中 俊太,巨,2B,242.3,-0.3,-0.5,0.0,-,0.2,0.6,-,-,
田中 俊太,巨,3B,117.0,3.6,2.6,0.0,-,0.9,-0.4,-,-,
田中 俊太,巨,SS,1.0,0.1,0.0,0.1,-,0.0,0.0,-,-,
野間 峻祥,広,LF,69.0,-1.9,-1.5,-,-0.4,0.0,-0.6,-,-,
野間 峻祥,広,CF,636.7,-9.8,-7.4,-,-2.0,-0.5,2.1,-,-,
野間 峻祥,広,RF,4.0,-0.7,-0.5,-,-0.1,0.0,0.0,-,-,
亀井 善行,巨,1B,4.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
亀井 善行,巨,LF,178.3,5.8,3.5,-,2.2,0.1,-1.7,-,-,
亀井 善行,巨,RF,724.7,5.5,4.5,-,0.7,0.3,-2.8,-,-,
田代 将太郎,ヤ,LF,56.3,-2.5,-2.6,-,0.1,0.0,-0.5,-,-,
田代 将太郎,ヤ,CF,7.0,-1.1,-1.1,-,0.0,0.0,0.0,-,-,
田代 将太郎,ヤ,RF,7.0,-0.5,-0.5,-,0.0,0.0,0.0,-,-,
高谷 裕亮,ソ,C,155.3,-0.6,-,-,-0.7,0.0,2.2,-,-,
西浦 颯大,オ,LF,3.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
西浦 颯大,オ,CF,359.7,1.7,-1.2,-,2.7,0.3,1.2,-,-,
西浦 颯大,オ,RF,205.0,-2.6,-5.1,-,3.2,-0.8,-0.8,-,-,
西浦 颯大,オ,DH,1.0,-,-,-,-,-,0.0,-,-,
大城 卓三,巨,C,308.3,-1.3,-,-,-1.4,0.1,4.3,-,-,
