Team,G,W,L,T,PCT,GB,Home,Road,vsE,vsM,vsDB,vsG,vsS,vsL,vsF,Int,
Tohoku RakutenGolden Eagles,123,70,48,5,.593,--,38-20(2),32-28(3),--,10-10,9-10(1),10-7(1),14-6(1),13-6(1),14-6,0-3(1),
Chiba LotteMarines,125,66,52,7,.559,4.0,36-18(4),30-34(3),10-10,--,14-9,8-8(5),12-8,11-7(1),11-10(1),--,
YOKOHAMA DeNABAYSTARS,126,66,57,3,.537,6.5,34-28(2),32-29(1),10-9(1),9-14,--,8-11(1),10-11,14-6,15-6(1),--,
YomiuriGiants,126,62,54,10,.534,7.0,32-26(6),30-28(4),7-10(1),8-8(5),11-8(1),--,12-9,9-9(1),12-8,3-2(2),
Tokyo YakultSwallows,131,61,68,2,.473,14.5,37-33(1),24-35(1),6-14(1),8-12,11-10,9-12,--,11-9(1),12-10,4-1,
Saitama SeibuLions,119,49,66,4,.426,19.5,34-29,15-37(4),6-13(1),7-11(1),6-14,9-9(1),9-11(1),--,12-8,--,
Hokkaido Nippon-HamFighters,128,48,78,2,.381,26.0,25-34(1),23-44(1),6-14,10-11(1),6-15(1),8-12,10-12,8-12,--,0-2,
