Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,10,19,16,0,2,0,0,0,2,1,0,0,2,0,1,0,0,3,0,.125,.125,.176,Hanshin Tigers,
Aoyagi Koyo,25,43,37,0,0,0,0,0,0,1,0,0,4,1,1,0,0,19,3,.000,.000,.026,Hanshin Tigers,
Araki Fumiya,9,9,9,4,1,1,0,0,2,0,0,1,0,0,0,0,0,4,0,.111,.222,.111,Hanshin Tigers,
Baba Kosuke,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Chikamoto Koji,142,640,586,81,159,20,7,9,220,42,36,15,14,3,31,2,6,110,2,.271,.375,.313,Hanshin Tigers,
Dolis Rafael,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Egoshi Taiga,49,16,15,8,1,0,0,0,1,0,1,0,0,0,1,0,0,9,0,.067,.067,.125,Hanshin Tigers,
Fujikawa Kyuji,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Fujikawa Shunsuke,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Fujinami Shintaro,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Fukudome Kosuke,104,403,348,39,89,16,1,10,137,47,0,0,2,3,49,1,1,85,5,.256,.394,.347,Hanshin Tigers,
Fukunaga Shungo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Garcia Onelki,21,33,30,1,4,0,0,0,4,1,0,0,3,0,0,0,0,9,1,.133,.133,.133,Hanshin Tigers,
Hamachi Masumi,21,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,Hanshin Tigers,
Haraguchi Fumihito,43,94,87,8,24,4,0,1,31,11,0,0,0,2,4,0,1,23,3,.276,.356,.309,Hanshin Tigers,
Hojo Fumiya,82,211,174,18,43,7,0,5,65,20,2,0,13,0,23,0,1,40,3,.247,.374,.338,Hanshin Tigers,
Iida Yuya,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Ishizaki Tsuyoshi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
