Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Aoyagi Koyo,12,2,3,0,0,0,0,.400,269,61,,66,2,21,1,6,35,1,1,31,25,3.69,Hanshin Tigers,
Beasley Jeremy,14,8,3,0,0,1,0,.727,305,76,.2,53,6,24,0,5,75,4,0,23,21,2.47,Hanshin Tigers,
Guerra Javy,59,1,4,14,31,0,0,.200,226,58,,47,3,11,1,0,48,2,2,10,10,1.55,Hanshin Tigers,
Hamachi Masumi,18,0,0,0,0,0,0,.000,83,21,.1,17,2,2,1,0,9,1,0,6,5,2.11,Hanshin Tigers,
Ishiguro Yuya,3,0,0,0,0,0,0,.000,16,3,.1,6,0,1,0,0,3,0,0,2,2,5.40,Hanshin Tigers,
Ishii Daichi,56,4,1,1,30,0,0,.800,189,48,.2,34,0,14,4,0,58,5,0,12,8,1.48,Hanshin Tigers,
Itoh Masashi,18,4,5,0,0,1,0,.444,323,74,,90,5,16,0,2,33,1,0,46,38,4.62,Hanshin Tigers,
Iwasada Yuta,2,0,1,0,0,0,0,.000,9,1,.2,1,0,2,1,1,2,0,0,2,1,5.40,Hanshin Tigers,
Iwazaki Suguru,60,4,4,23,17,0,0,.500,231,57,.1,48,3,15,1,0,46,1,0,14,14,2.20,Hanshin Tigers,
Kajiya Ren,13,2,0,0,1,0,0,1.000,54,12,,11,0,7,1,1,12,2,0,8,6,4.50,Hanshin Tigers,
Kawahara Riku,1,0,0,0,0,0,0,.000,5,1,,1,0,1,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Kirishiki Takuma,70,3,1,0,40,0,0,.750,263,65,.1,48,0,18,5,4,60,1,0,14,13,1.79,Hanshin Tigers,
Mombetsu Keito,5,0,2,0,0,0,0,.000,54,12,,15,1,4,0,0,8,2,0,8,6,4.50,Hanshin Tigers,
Murakami Shoki,25,7,11,0,0,2,0,.389,635,153,.2,143,7,33,2,2,130,5,0,57,44,2.58,Hanshin Tigers,
Nishi Junya,4,0,1,0,0,0,0,.000,28,6,.2,5,0,3,1,0,0,0,0,2,2,2.70,Hanshin Tigers,
Nishi Yuki,21,6,7,0,0,1,1,.462,511,124,.2,113,5,23,2,5,71,0,0,39,31,2.24,Hanshin Tigers,
Ohtake Koutaro,24,11,7,0,0,0,0,.611,587,144,.2,134,8,33,1,1,91,1,0,47,45,2.80,Hanshin Tigers,
Okadome Hidetaka,35,1,0,1,6,0,0,1.000,163,38,,36,1,11,1,2,24,0,0,16,12,2.84,Hanshin Tigers,
Oyokawa Masaki,9,1,3,0,0,1,0,.250,121,29,.1,25,2,10,1,0,23,2,0,11,9,2.76,Hanshin Tigers,
