Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
居谷 匠真,ハ,C,166.0,-3.1,-,-,-3.5,0.4,2.3,-1.9,-1.3,
居谷 匠真,ハ,RF,23.0,0.9,0.3,-,0.6,0.0,-0.1,-,-,
渡部 遼人,オ,LF,32.0,1.5,0.5,-,1.0,0.0,-0.3,-,-,
渡部 遼人,オ,CF,145.3,7.3,6.5,-,0.7,0.1,0.5,-,-,
渡部 遼人,オ,RF,23.3,0.8,0.4,-,0.5,0.0,-0.1,-,-,
富山 太樹,ハ,1B,20.7,-0.8,-0.8,0.0,-,0.0,-0.2,-,-,
富山 太樹,ハ,LF,92.7,1.9,2.7,-,-0.8,0.1,-0.9,-,-,
富山 太樹,ハ,CF,17.0,1.6,1.1,-,0.5,0.0,0.1,-,-,
富山 太樹,ハ,RF,356.7,-1.0,1.7,-,-3.0,0.3,-1.4,-,-,
島田 海吏,神,LF,109.0,-4.7,-5.1,-,0.3,0.1,-1.0,-,-,
島田 海吏,神,CF,90.0,-2.6,-2.1,-,-0.5,0.0,0.3,-,-,
島田 海吏,神,RF,45.3,0.3,0.7,-,-0.5,0.0,-0.2,-,-,
島田 海吏,神,DH,31.0,-,-,-,-,-,-0.4,-,-,
羽月 隆太郎,広,2B,45.0,0.5,0.6,-0.5,-,0.4,0.1,-,-,
羽月 隆太郎,広,3B,4.0,0.0,-0.1,0.0,-,0.1,0.0,-,-,
羽月 隆太郎,広,SS,37.0,-0.3,0.0,-0.3,-,-0.1,0.3,-,-,
井坪 陽生,神,LF,49.3,-1.0,-1.0,-,0.0,0.0,-0.5,-,-,
井坪 陽生,神,CF,448.7,-5.7,-5.5,-,-0.4,0.3,1.5,-,-,
井坪 陽生,神,RF,146.0,-2.0,-0.5,-,-1.5,0.1,-0.6,-,-,
井坪 陽生,神,DH,7.0,-,-,-,-,-,-0.1,-,-,
佐藤 直樹,ソ,CF,234.0,2.4,0.9,-,1.4,0.1,0.8,-,-,
佐藤 直樹,ソ,RF,63.0,1.3,0.9,-,0.4,0.0,-0.3,-,-,
濱 将乃介,中,LF,18.0,1.0,0.6,-,0.4,0.0,-0.2,-,-,
濱 将乃介,中,CF,341.0,-1.4,-3.2,-,1.6,0.2,1.1,-,-,
濱 将乃介,中,RF,314.0,-2.7,-1.5,-,-1.5,0.2,-1.2,-,-,
濱 将乃介,中,DH,8.0,-,-,-,-,-,-0.1,-,-,
武岡 龍世,ヤ,2B,78.0,3.5,2.7,-0.3,-,1.0,0.2,-,-,
武岡 龍世,ヤ,SS,38.0,-0.3,-0.2,-0.4,-,0.3,0.3,-,-,
知念 大成,O,1B,1.0,0.2,0.2,-0.1,-,0.0,0.0,-,-,
知念 大成,O,LF,7.0,-0.4,0.0,-,-0.4,0.0,-0.1,-,-,
知念 大成,O,CF,734.3,-1.6,0.9,-,-3.1,0.6,2.4,-,-,
知念 大成,O,RF,92.0,-4.6,-1.4,-,-3.3,0.1,-0.4,-,-,
知念 大成,O,DH,9.0,-,-,-,-,-,-0.1,-,-,
山本 大斗,ロ,LF,129.7,-1.1,-2.2,-,1.0,0.1,-1.2,-,-,
山本 大斗,ロ,CF,172.0,-5.7,-3.8,-,-2.0,0.1,0.6,-,-,
山本 大斗,ロ,RF,605.0,5.2,1.9,-,2.8,0.4,-2.4,-,-,
山本 大斗,ロ,DH,28.0,-,-,-,-,-,-0.3,-,-,
桑原 将志,デ,CF,8.0,-0.2,0.1,-,-0.2,0.0,0.0,-,-,
蓮,デ,1B,139.0,-2.0,0.4,-0.3,-,-2.1,-1.6,-,-,
蓮,デ,2B,9.0,0.1,-0.1,0.1,-,0.1,0.0,-,-,
蓮,デ,3B,55.0,1.0,1.7,0.5,-,-1.2,-0.2,-,-,
蓮,デ,LF,7.0,1.0,-0.3,-,1.2,0.0,-0.1,-,-,
蓮,デ,RF,19.0,-1.2,-0.3,-,0.0,-0.8,-0.1,-,-,
蓮,デ,DH,28.0,-,-,-,-,-,-0.3,-,-,
長谷川 信哉,西,LF,117.0,0.3,0.7,-,-0.4,0.1,-1.1,-,-,
長谷川 信哉,西,CF,238.3,8.6,5.9,-,2.5,0.2,0.8,-,-,
長谷川 信哉,西,RF,32.0,0.7,0.9,-,-0.2,0.0,-0.1,-,-,
長谷川 信哉,西,DH,10.0,-,-,-,-,-,-0.1,-,-,
宮崎 一樹,日,LF,138.0,-0.2,1.0,-,-1.3,0.1,-1.3,-,-,
宮崎 一樹,日,CF,294.0,-8.0,-4.8,-,-2.6,-0.7,1.0,-,-,
宮崎 一樹,日,RF,99.3,-0.6,-0.9,-,0.2,0.1,-0.4,-,-,
浅野 翔吾,巨,CF,461.3,-3.7,-2.2,-,-1.8,0.2,1.5,-,-,
浅野 翔吾,巨,RF,22.3,-1.7,-1.5,-,-0.2,0.0,-0.1,-,-,
浅野 翔吾,巨,DH,68.0,-,-,-,-,-,-0.8,-,-,
平良 竜哉,楽,1B,4.0,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
平良 竜哉,楽,2B,4.0,-0.2,0.6,-0.1,-,-0.6,0.0,-,-,
平良 竜哉,楽,3B,327.0,-0.5,-1.5,0.0,-,1.1,-1.2,-,-,
平良 竜哉,楽,LF,169.3,0.3,0.0,-,0.2,0.1,-1.6,-,-,
平良 竜哉,楽,RF,22.0,-0.8,-1.4,-,0.7,0.0,-0.1,-,-,
瀬井 裕紀,ハ,2B,543.0,2.4,4.3,-0.9,-,-1.0,1.5,-,-,
瀬井 裕紀,ハ,LF,13.3,-3.7,-2.3,-,-0.6,-0.8,-0.1,-,-,
瀬井 裕紀,ハ,CF,9.7,0.3,0.4,-,-0.1,0.0,0.0,-,-,
瀬井 裕紀,ハ,RF,14.0,0.4,0.1,-,0.3,0.0,-0.1,-,-,
瀬井 裕紀,ハ,DH,3.0,-,-,-,-,-,0.0,-,-,
福田 周平,オ,2B,100.0,-2.1,-1.5,-0.1,-,-0.5,0.3,-,-,
福田 周平,オ,LF,53.3,-1.5,-0.6,-,-1.0,0.0,-0.5,-,-,
福田 周平,オ,CF,64.3,-4.3,-4.1,-,-0.2,0.0,0.2,-,-,
福田 周平,オ,RF,2.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
福田 周平,オ,DH,3.0,-,-,-,-,-,0.0,-,-,
野口 智哉,オ,2B,319.0,5.2,2.7,1.9,-,0.6,0.9,-,-,
野口 智哉,オ,SS,239.3,0.7,-0.4,0.6,-,0.4,2.0,-,-,
野口 智哉,オ,CF,29.0,-3.1,-2.9,-,-0.2,0.0,0.1,-,-,
野口 智哉,オ,RF,46.0,0.8,0.5,-,0.3,0.0,-0.2,-,-,
野口 智哉,オ,DH,17.0,-,-,-,-,-,-0.2,-,-,
野口 恭佑,神,LF,381.0,-3.5,-2.1,-,-1.6,0.2,-3.6,-,-,
野口 恭佑,神,RF,125.7,-5.4,-3.6,-,-1.9,0.1,-0.5,-,-,
野口 恭佑,神,DH,99.3,-,-,-,-,-,-1.2,-,-,
笹川 吉康,ソ,LF,114.3,-1.6,-0.5,-,-1.2,0.1,-1.1,-,-,
