Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Shimada Kairi,62,94,80,8,22,2,0,0,24,2,5,3,3,0,10,0,1,16,2,.275,.300,.363,Hanshin Tigers,
Shimamoto Hiroya,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Takahashi Haruto,5,12,9,0,2,0,0,0,2,0,0,0,2,0,1,0,0,5,0,.222,.222,.300,Hanshin Tigers,
Tomida Ren,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Toyoda Hiroshi,11,19,19,1,4,1,0,0,5,0,0,0,0,0,0,0,0,5,2,.211,.263,.211,Hanshin Tigers,
Ueda Kai,59,11,11,11,3,0,1,0,5,3,4,1,0,0,0,0,0,3,0,.273,.455,.273,Hanshin Tigers,
Umeno Ryutaro,95,318,268,18,56,9,0,0,65,15,0,1,17,2,30,3,1,84,6,.209,.243,.289,Hanshin Tigers,
Urushihara Taisei,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Watanabe Ryo,67,137,123,7,32,5,0,2,43,11,0,1,0,2,11,0,1,34,2,.260,.350,.321,Hanshin Tigers,
Aduwa Makoto,20,32,29,1,1,0,0,0,1,0,0,0,3,0,0,0,0,14,0,.034,.034,.034,Hiroshima Carp,
Aizawa Tsubasa,57,159,150,9,28,6,0,0,34,13,0,0,0,0,7,1,2,43,6,.187,.227,.233,Hiroshima Carp,
Akiyama Shogo,138,587,547,60,158,20,1,4,192,30,6,5,2,4,29,3,5,96,6,.289,.351,.328,Hiroshima Carp,
Corniel Robert,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Dohbayashi Shota,87,273,244,15,56,13,0,1,72,17,0,2,9,3,16,0,1,67,4,.230,.295,.277,Hiroshima Carp,
Endoh Atsushi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Futamata Shoichi,80,122,107,7,21,4,0,1,28,7,1,0,6,0,8,0,1,26,3,.196,.262,.259,Hiroshima Carp,
Hasebe Ginji,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Hatch Thomas,5,7,6,1,1,0,0,0,1,1,0,0,1,0,0,0,0,4,0,.167,.167,.167,Hiroshima Carp,
Hatsuki Ryutaro,53,25,22,12,5,1,0,0,6,1,12,7,2,0,1,0,0,8,0,.227,.273,.261,Hiroshima Carp,
Hayashi Kota,27,64,60,4,11,4,0,0,15,2,0,0,0,0,4,1,0,20,3,.183,.250,.234,Hiroshima Carp,
Hearn Taylor,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Horie Atsuya,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ishihara Tomoki,56,139,122,11,28,6,0,3,43,11,0,0,5,2,5,1,5,22,1,.230,.352,.284,Hiroshima Carp,
Isomura Yoshitaka,10,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,.000,.000,.100,Hiroshima Carp,
Kawano Kei,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
Kemna Makoto,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Kikuchi Ryosuke,136,497,453,27,109,19,0,9,155,38,2,2,17,1,25,3,1,69,9,.241,.342,.281,Hiroshima Carp,
Kozono Kaito,143,588,540,52,151,15,3,2,178,61,13,9,7,5,30,6,6,53,6,.280,.330,.322,Hiroshima Carp,
Kubo Shu,19,18,17,1,1,0,0,0,1,0,0,0,0,0,0,0,1,8,0,.059,.059,.111,Hiroshima Carp,
Kuri Aren,23,39,31,0,0,0,0,0,0,2,0,0,7,1,0,0,0,18,0,.000,.000,.000,Hiroshima Carp,
Kuribayashi Ryoji,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Kurohara Takumi,53,2,1,1,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1.000,3.000,1.000,Hiroshima Carp,
Masuda Takehisa,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Matsumoto Ryuya,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Matsuyama Ryuhei,65,78,73,2,13,4,0,1,20,10,0,0,0,1,4,3,0,12,5,.178,.274,.218,Hiroshima Carp,
Mori Shohei,5,8,6,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,.167,.167,.167,Hiroshima Carp,
Morishita Masato,23,52,47,5,11,1,0,0,12,3,0,0,3,0,1,0,1,12,0,.234,.255,.265,Hiroshima Carp,
Moriura Daisuke,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Nakada Yuto,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,Hiroshima Carp,
Nakamura Kento,12,24,24,1,2,0,0,1,5,2,0,0,0,0,0,0,0,8,0,.083,.208,.083,Hiroshima Carp,
Nakamura Shosei,30,70,69,4,10,2,0,0,12,1,0,1,0,0,1,0,0,13,1,.145,.174,.157,Hiroshima Carp,
Nakamura Takahiro,11,25,24,4,5,0,0,0,5,3,0,0,1,0,0,0,0,5,1,.208,.208,.208,Hiroshima Carp,
Nakazaki Shota,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Nirasawa Yuya,11,15,15,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,1,.133,.133,.133,Hiroshima Carp,
Noma Takayoshi,113,443,391,40,106,14,5,1,133,28,8,5,3,1,43,1,5,52,9,.271,.340,.350,Hiroshima Carp,
Nomura Yusuke,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hiroshima Carp,
Ohmichi Haruki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Ohmori Minoru,74,35,31,7,7,2,0,0,9,4,2,1,2,0,2,0,0,10,0,.226,.290,.273,Hiroshima Carp,
Ohsera Daichi,25,45,42,0,2,0,0,0,2,0,0,0,3,0,0,0,0,21,2,.048,.048,.048,Hiroshima Carp,
Reynolds Matt,2,6,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,.000,.000,.167,Hiroshima Carp,
Sakakura Shogo,121,462,427,43,119,19,1,12,176,44,3,2,1,2,31,3,1,80,7,.279,.412,.328,Hiroshima Carp,
Sato Keisuke,7,17,15,1,2,0,0,0,2,0,0,0,0,0,2,0,0,3,0,.133,.133,.235,Hiroshima Carp,
Scheiner Jake,12,31,30,1,4,1,0,1,8,5,0,0,0,0,1,0,0,9,1,.133,.267,.161,Hiroshima Carp,
Shimauchi Sotaro,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Suekane Shota,79,304,286,22,68,14,0,9,109,37,1,2,0,0,12,0,6,85,6,.238,.381,.283,Hiroshima Carp,
Taka Taichi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Takahashi Kouya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Takita Kazuki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hiroshima Carp,
Tamamura Shogo,15,19,18,1,3,0,0,0,3,2,0,0,1,0,0,0,0,9,1,.167,.167,.167,Hiroshima Carp,
Tamura Shunsuke,37,106,101,4,20,3,2,0,27,5,1,1,1,0,3,1,1,27,2,.198,.267,.229,Hiroshima Carp,
Tanaka Kosuke,66,108,96,5,15,2,0,2,23,7,1,1,0,2,9,0,1,26,2,.156,.240,.231,Hiroshima Carp,
Tokoda Hiroki,26,52,45,1,8,0,0,0,8,1,0,0,7,0,0,0,0,7,0,.178,.178,.178,Hiroshima Carp,
Tsunehiro Hayato,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,Hiroshima Carp,
Uchida Shodai,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,Hiroshima Carp,
Uemoto Takashi,62,146,129,16,27,2,0,0,29,7,0,2,9,0,4,0,4,24,3,.209,.225,.255,Hiroshima Carp,
Ugusa Koki,41,75,66,10,16,2,0,3,27,8,3,1,3,0,4,0,2,22,1,.242,.409,.306,Hiroshima Carp,
Yano Masaya,137,495,430,45,112,13,6,2,143,38,13,10,20,4,38,1,3,109,8,.260,.333,.322,Hiroshima Carp,
Yasaki Takuya,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hiroshima Carp,
Austin Tyler,106,445,396,66,125,34,2,25,238,69,0,1,0,4,45,2,0,88,12,.316,.601,.382,DeNA BayStars,
Azuma Junpei,3,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.500,1.000,.500,DeNA BayStars,
Azuma Katsuki,26,63,51,3,5,0,0,0,5,1,0,0,8,0,4,0,0,16,1,.098,.098,.164,DeNA BayStars,
Chino Naoto,24,22,18,3,2,1,0,0,3,2,1,0,0,0,4,0,0,4,1,.111,.167,.273,DeNA BayStars,
Diaz Yofrec,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Ebina Tatsuo,76,253,223,28,57,13,0,3,79,17,3,7,6,1,17,1,6,51,1,.256,.354,.324,DeNA BayStars,
Ford Mike,6,22,20,1,4,0,0,1,7,2,0,0,0,0,2,0,0,2,0,.200,.350,.273,DeNA BayStars,
Hamaguchi Haruhiro,11,15,14,1,3,0,0,0,3,0,0,0,0,0,1,0,0,7,0,.214,.214,.267,DeNA BayStars,
Hayashi Takuma,63,114,102,11,17,5,1,0,24,7,6,3,2,1,8,2,1,24,2,.167,.235,.232,DeNA BayStars,
Horioka Hayato,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Inoue Kento,25,48,42,2,8,5,0,0,13,4,1,0,2,0,2,1,2,8,1,.190,.310,.261,DeNA BayStars,
Ise Hiromu,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Ishida Kenta,6,13,12,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,0,.083,.083,.083,DeNA BayStars,
Ishida Yutaro,12,18,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,.000,.000,.000,DeNA BayStars,
Ishikami Taiki,26,79,71,3,13,4,0,0,17,3,2,0,2,0,6,2,0,17,3,.183,.239,.247,DeNA BayStars,
Ishikawa Tatsuya,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Itoh Hikaru,39,94,88,7,18,4,0,1,25,14,0,0,0,0,4,0,2,24,1,.205,.284,.255,DeNA BayStars,
Jackson Andre,25,51,41,1,4,0,0,0,4,1,0,0,8,0,2,0,0,28,1,.098,.098,.140,DeNA BayStars,
Kajiwara Kouki,91,351,339,49,99,16,3,4,133,30,16,2,1,0,7,3,4,98,2,.292,.392,.314,DeNA BayStars,
Kamichatani Taiga,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
Kamizato Kazuki,25,25,23,3,3,0,0,0,3,0,2,0,0,0,1,0,1,12,0,.130,.130,.200,DeNA BayStars,
Kay Anthony,24,46,38,1,0,0,0,0,0,1,0,0,5,0,3,0,0,22,0,.000,.000,.073,DeNA BayStars,
Kozono Kenta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,DeNA BayStars,
Kusumoto Taishi,18,31,29,0,5,1,0,0,6,5,0,0,0,0,1,0,1,5,0,.172,.207,.226,DeNA BayStars,
Kuwahara Masayuki,106,321,285,35,77,12,0,5,104,24,8,0,9,4,19,0,4,42,6,.270,.365,.321,DeNA BayStars,
Kyoda Yota,101,236,216,18,53,7,1,1,65,27,3,1,4,3,13,2,0,43,4,.245,.301,.284,DeNA BayStars,
Kyoyama Masaya,23,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.000,.000,DeNA BayStars,
