Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,19,3,6,0,1,0,.333,338,78,,105,9,8,0,3,38,2,0,40,40,4.62,Hanshin Tigers,
Aoyagi Koyo,11,5,3,1,0,0,.625,216,53,,44,1,18,0,3,43,1,0,13,13,2.21,Hanshin Tigers,
Beasley Jeremy,8,3,0,0,0,0,1.000,125,35,,15,0,11,0,0,33,0,0,2,2,0.51,Hanshin Tigers,
Betances Jose,25,1,2,0,0,0,.333,111,23,.2,23,1,18,0,2,27,3,1,17,11,4.18,Hanshin Tigers,
Guerra Javy,2,1,0,0,0,0,1.000,9,2,,2,0,2,0,0,1,0,0,2,2,9.00,Hanshin Tigers,
Hamachi Masumi,17,0,0,0,0,0,.000,66,16,.1,11,1,5,0,0,13,0,0,3,3,1.65,Hanshin Tigers,
Ibaragi Hidetoshi,22,7,4,0,1,0,.636,496,118,.2,103,6,50,0,5,74,10,0,50,48,3.64,Hanshin Tigers,
Ishiguro Yuya,40,4,4,10,0,0,.500,161,36,,37,3,14,1,1,39,4,0,20,14,3.50,Hanshin Tigers,
Ishii Daichi,9,0,0,0,0,0,.000,34,9,,8,0,0,0,0,10,1,0,1,1,1.00,Hanshin Tigers,
Itoh Masashi,7,2,3,0,0,0,.400,175,42,.2,47,1,8,0,2,29,2,0,11,11,2.32,Hanshin Tigers,
Itoh Ryo,7,0,1,0,0,0,.000,27,4,,10,1,4,0,0,4,0,0,11,9,20.25,Hanshin Tigers,
Iwasada Yuta,30,1,0,1,0,0,1.000,111,26,.1,26,1,7,0,3,23,1,0,9,8,2.73,Hanshin Tigers,
Iwata Masaki,46,1,2,0,0,0,.333,144,38,.1,28,2,5,0,0,29,0,0,12,9,2.11,Hanshin Tigers,
Kajiya Ren,29,2,1,2,0,0,.667,99,26,.1,19,0,7,0,0,26,2,0,3,2,0.68,Hanshin Tigers,
Kawahara Riku,50,2,1,1,0,0,.667,203,50,,42,2,20,0,0,38,2,0,10,9,1.62,Hanshin Tigers,
Martinez Anthony,17,6,1,0,0,0,.857,250,55,,63,4,28,0,5,38,5,0,30,24,3.93,Hanshin Tigers,
Matsubara Kai,33,0,1,0,0,0,.000,142,31,.1,27,0,22,0,3,21,7,0,19,15,4.31,Hanshin Tigers,
Mombetsu Keito,15,4,5,0,0,0,.444,323,77,.1,75,10,20,0,4,52,3,0,41,34,3.96,Hanshin Tigers,
Moriki Daichi,21,0,0,0,0,0,.000,117,20,.2,23,0,27,0,5,14,5,0,27,26,11.32,Hanshin Tigers,
Nishi Junya,17,5,6,1,0,0,.455,365,83,.2,91,5,31,0,6,74,4,0,33,30,3.23,Hanshin Tigers,
Nishi Yuki,2,1,0,0,0,0,1.000,38,8,.2,11,0,0,0,0,7,0,0,4,3,3.12,Hanshin Tigers,
