#,Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,,Team,League
,Mune Yuma,25,5,10.0,0.5,64.4,0.3,,0.0,0.2,0.0,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Endoh Issei,32,3,18.0,-0.5,-35.8,0.2,,-0.1,-0.6,-0.2,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Endoh Issei,32,7,77.0,2.5,41.8,3.3,-0.8,,0.1,-0.7,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Endoh Issei,32,8,177.2,-2.2,-15.9,-2.1,-0.2,,0.1,0.6,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Endoh Issei,32,9,16.0,-0.1,-8.0,-0.1,0.0,,0.0,-0.1,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Endoh Issei,32,DH,105.0,,,,,,,-1.3,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Ishioka Ryota,29,3,550.0,-1.7,-4.0,-2.1,,0.0,0.4,-6.2,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Ishioka Ryota,29,7,31.2,-0.7,-28.4,-0.8,0.1,,0.0,-0.3,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Ishioka Ryota,29,9,4.0,-0.7,-225.2,-0.7,0.0,,0.0,0.0,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Hirosawa Shinya,21,3,12.0,-0.5,-53.6,-0.5,,-0.1,0.1,-0.1,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Hirosawa Shinya,21,4,177.0,-1.8,-13.1,0.6,,0.3,-2.6,0.5,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Hirosawa Shinya,21,5,37.0,0.8,27.8,0.7,,0.1,-0.1,-0.1,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Hirosawa Shinya,21,6,189.2,-2.7,-18.3,-3.1,,0.3,0.1,1.6,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Hirosawa Shinya,21,7,1.0,0.3,386.1,0.3,0.0,,0.0,0.0,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Hirosawa Shinya,21,DH,2.0,,,,,,,0.0,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
,Satoh Naoki,22,7,135.0,5.7,54.3,5.7,-0.2,,0.1,-1.3,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
