Player,Team,Position,Inning,TZR,RngR,DPR,ARM,ErrR,位置補正,Framing,Blocking,
松本 剛,日,LF,856.3,16.4,11.6,-,4.4,0.4,-8.1,-,-,
松本 剛,日,CF,181.7,3.0,3.3,-,-0.3,0.0,0.6,-,-,
松本 剛,日,DH,95.0,-,-,-,-,-,-1.1,-,-,
辰己 涼介,楽,CF,1068.3,2.5,6.0,-,-3.6,0.1,3.5,-,-,
オコエ 瑠偉,巨,LF,78.0,0.3,0.9,-,-0.6,0.0,-0.7,-,-,
オコエ 瑠偉,巨,CF,99.0,-1.1,-1.1,-,0.0,0.0,0.3,-,-,
オコエ 瑠偉,巨,RF,74.0,0.5,1.0,-,-0.5,0.0,-0.3,-,-,
岡林 勇希,中,CF,1113.3,-10.8,-8.2,-,-2.7,0.1,3.7,-,-,
岡林 勇希,中,RF,174.0,0.9,0.6,-,0.3,0.1,-0.7,-,-,
濱田 太貴,ヤ,LF,311.0,-3.0,-3.2,-,0.1,0.1,-3.0,-,-,
濱田 太貴,ヤ,CF,140.0,-1.9,-1.3,-,-0.6,0.0,0.5,-,-,
濱田 太貴,ヤ,RF,11.0,0.5,0.5,-,0.0,0.0,0.0,-,-,
小園 海斗,広,2B,93.0,1.1,1.3,0.8,-,-1.0,0.3,-,-,
小園 海斗,広,3B,84.7,0.2,-0.6,0.0,-,0.7,-0.3,-,-,
小園 海斗,広,SS,460.0,2.9,3.5,0.0,-,-0.7,3.7,-,-,
並木 秀尊,ヤ,LF,61.7,0.9,0.8,-,0.0,0.0,-0.6,-,-,
並木 秀尊,ヤ,CF,291.7,2.1,0.4,-,1.7,0.0,1.0,-,-,
並木 秀尊,ヤ,RF,45.3,-1.3,-0.5,-,0.0,-0.8,-0.2,-,-,
近本 光司,神,CF,1113.3,9.7,9.0,-,0.6,0.1,3.7,-,-,
佐野 恵太,デ,1B,365.7,-1.0,-1.6,0.1,-,0.5,-4.1,-,-,
佐野 恵太,デ,LF,848.3,-22.8,-21.7,-,-0.5,-0.6,-8.1,-,-,
ペイトン,西,LF,288.3,-0.5,0.5,-,-1.1,0.1,-2.7,-,-,
ペイトン,西,CF,161.0,-2.2,-2.0,-,-0.2,0.0,0.5,-,-,
ペイトン,西,DH,9.0,-,-,-,-,-,-0.1,-,-,
野口 智哉,オ,3B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
野口 智哉,オ,SS,119.3,-4.1,-3.5,-0.4,-,-0.1,1.0,-,-,
野口 智哉,オ,LF,4.0,-0.6,-0.6,-,0.0,0.0,0.0,-,-,
野口 智哉,オ,CF,131.7,-0.2,0.2,-,-0.4,0.0,0.4,-,-,
野口 智哉,オ,RF,338.3,-0.1,1.0,-,-1.2,0.2,-1.3,-,-,
牧原 大成,ソ,2B,333.0,0.4,0.6,-0.3,-,0.1,0.9,-,-,
牧原 大成,ソ,3B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
牧原 大成,ソ,SS,5.0,-0.1,-0.2,0.1,-,0.1,0.0,-,-,
牧原 大成,ソ,CF,440.3,2.8,2.9,-,-0.1,0.0,1.5,-,-,
荻野 貴司,ロ,RF,375.0,-3.8,-3.6,-,-0.4,0.2,-1.5,-,-,
梶谷 隆幸,巨,LF,172.0,-0.3,0.7,-,-1.0,0.1,-1.6,-,-,
梶谷 隆幸,巨,CF,36.3,1.6,2.1,-,-0.5,0.0,0.1,-,-,
梶谷 隆幸,巨,RF,311.3,-1.0,-0.5,-,-0.6,0.1,-1.2,-,-,
菊池 涼介,広,2B,965.0,-0.5,-4.7,1.5,-,2.7,2.6,-,-,
神里 和毅,デ,LF,3.7,0.4,0.0,-,0.4,0.0,0.0,-,-,
神里 和毅,デ,CF,23.0,-2.5,-1.7,-,-0.8,0.0,0.1,-,-,
神里 和毅,デ,RF,133.0,1.8,3.1,-,-1.4,0.1,-0.5,-,-,
矢澤 宏太,日,LF,25.0,0.0,0.0,-,0.0,0.0,-0.2,-,-,
矢澤 宏太,日,CF,74.0,5.8,4.9,-,0.9,0.0,0.2,-,-,
矢澤 宏太,日,RF,126.7,0.0,-1.1,-,1.1,0.0,-0.5,-,-,
伏見 寅威,日,C,637.0,-6.0,-,-,-4.9,-1.2,9.1,-5.7,0.3,
周東 佑京,ソ,2B,35.0,-0.3,0.0,-0.5,-,0.1,0.1,-,-,
周東 佑京,ソ,3B,63.3,1.1,1.3,0.0,-,-0.1,-0.2,-,-,
周東 佑京,ソ,LF,31.3,1.8,1.7,-,0.0,0.0,-0.3,-,-,
周東 佑京,ソ,CF,443.3,7.8,6.6,-,1.2,0.0,1.5,-,-,
周東 佑京,ソ,RF,22.7,1.4,0.4,-,0.9,0.0,-0.1,-,-,
今川 優馬,日,LF,36.3,1.4,2.3,-,-0.9,0.0,-0.3,-,-,
今川 優馬,日,CF,10.0,-0.7,-0.5,-,-0.2,0.0,0.0,-,-,
今川 優馬,日,RF,48.0,0.8,1.0,-,-0.2,0.0,-0.2,-,-,
今川 優馬,日,DH,26.3,-,-,-,-,-,-0.3,-,-,
金子 侑司,西,LF,195.3,2.0,2.1,-,-0.2,0.1,-1.9,-,-,
金子 侑司,西,RF,27.0,0.0,0.2,-,-0.2,0.0,-0.1,-,-,
岡 大海,ロ,LF,231.7,5.0,3.6,-,1.3,0.1,-2.2,-,-,
岡 大海,ロ,CF,289.7,-2.7,-3.6,-,0.8,0.0,1.0,-,-,
岡 大海,ロ,RF,267.7,-2.6,-0.9,-,-1.9,0.1,-1.1,-,-,
愛斗,西,LF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
愛斗,西,CF,85.0,1.6,1.8,-,-0.2,0.0,0.3,-,-,
愛斗,西,RF,489.7,8.8,8.7,-,-0.2,0.2,-1.9,-,-,
五十幡 亮汰,日,LF,29.0,0.2,-0.3,-,0.5,0.0,-0.3,-,-,
五十幡 亮汰,日,CF,443.0,3.2,1.1,-,2.0,0.1,1.5,-,-,
五十幡 亮汰,日,RF,11.0,-0.3,0.2,-,-0.5,0.0,0.0,-,-,
五十幡 亮汰,日,DH,6.0,-,-,-,-,-,-0.1,-,-,
福田 周平,オ,LF,100.0,-1.2,-0.7,-,-0.5,0.0,-0.9,-,-,
福田 周平,オ,CF,92.0,0.8,0.7,-,0.1,0.0,0.3,-,-,
福田 周平,オ,RF,38.0,-1.3,-0.4,-,-0.9,0.0,-0.2,-,-,
福田 周平,オ,DH,2.0,-,-,-,-,-,0.0,-,-,
丸山 和郁,ヤ,LF,6.0,-1.4,-1.4,-,0.0,0.0,-0.1,-,-,
丸山 和郁,ヤ,CF,169.7,2.8,1.9,-,0.9,0.0,0.6,-,-,
丸山 和郁,ヤ,RF,116.3,5.4,3.3,-,2.0,0.1,-0.5,-,-,
太田 椋,オ,1B,45.0,-0.6,-0.6,-0.1,-,0.1,-0.5,-,-,
太田 椋,オ,2B,89.0,-1.0,0.2,-0.1,-,-1.1,0.2,-,-,
長野 久義,巨,LF,141.7,0.7,1.4,-,-0.8,0.1,-1.3,-,-,
長野 久義,巨,RF,117.0,-2.4,-2.0,-,-0.5,0.0,-0.5,-,-,
