batId,batter_team_name_short,batter_name,Bats,IP,PA,Count,qualified,FB Velo,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,Whiff%,SwStr%,CSW%,Ball%,Strike%,F-Str%,PAR%,PLUS%,Behind%,Zone%,Glove%,Arm%,High%,Low%,MM%,Sec%,BIP,Pull AIR%,HR%,HR/FB,Usage,Avg Velo,Max Velo,YpERA Grade,null,GB%,FB%,LD%,IFFB%,OFFB%,AIR%,Pull%,Cent%,Oppo%,FB Velo_pctl,K%_pctl,BB%_pctl,Swing%_pctl,Z-Swing%_pctl,Chase%_pctl,Contact%_pctl,Z-Con%_pctl,O-Con%_pctl,Whiff%_pctl,SwStr%_pctl,CSW%_pctl,Ball%_pctl,Strike%_pctl,F-Str%_pctl,PAR%_pctl,PLUS%_pctl,Behind%_pctl,Zone%_pctl,Glove%_pctl,Arm%_pctl,High%_pctl,Low%_pctl,MM%_pctl,Sec%_pctl,BIP_pctl,GB%_pctl,FB%_pctl,LD%_pctl,IFFB%_pctl,OFFB%_pctl,AIR%_pctl,Pull%_pctl,Cent%_pctl,Oppo%_pctl,Pull AIR%_pctl,HR%_pctl,HR/FB_pctl,Usage_pctl,Avg Velo_pctl,Max Velo_pctl,YpERA Grade_pctl
1700101,Chunichi,Suzuki Hiroshi,R,1.333333333,4,28,True,90.1,0.5,0.0,0.5,0.6470588235,0.2727272727,0.8571428571,0.9090909091,0.6666666667,0.1428571429,0.07142857143,0.2857142857,0.2857142857,0.7142857143,0.5,0.1176470588,0.7142857143,0.0,0.6071428571,0.6428571429,0.3571428571,0.5714285714,0.4285714286,0.0,0.1071428571,2,0.0,0.0,,1.0,87.29642857,94.5,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8049568966,0.1433189655,0.1713362069,0.6659482759,0.5280172414,0.5420258621,0.8297413793,0.6993534483,0.7661637931,0.849137931,0.7887931034,0.5732758621,0.3286637931,0.3286637931,0.9213362069,0.8771551724,0.2047413793,0.09482758621,0.2230603448,0.1239224138,0.8782327586,0.09267241379,0.9094827586,0.9461206897,0.9245689655,0.8405172414,0.04849137931,0.08620689655,0.1648706897,0.8674568966,0.1002155172,0.07543103448,0.08728448276,0.1551724138,0.07543103448,0.1206896552,0.2898706897,0.9159482759,0.4881465517,0.213362069,0.7036637931,
1500109,Nipponham,Uehara Kenta,L,1.333333333,4,15,True,92.4,0.5,0.0,0.6,0.6363636364,0.5,0.5555555556,0.5714285714,0.5,0.4444444444,0.2666666667,0.5333333333,0.1333333333,0.8666666667,1.0,0.4,0.8,0.0,0.7333333333,0.5333333333,0.4666666667,0.4,0.6,0.1333333333,0.4666666667,2,0.0,0.0,0.0,1.0,87.82142857,94.5,,0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.05172413793,0.1433189655,0.1713362069,0.9267241379,0.4827586207,0.09806034483,0.07974137931,0.04202586207,0.432112069,0.09913793103,0.04310344828,0.08189655172,0.06573275862,0.06573275862,0.05387931034,0.1982758621,0.08081896552,0.09482758621,0.07543103448,0.463362069,0.5387931034,0.6368534483,0.3653017241,0.07327586207,0.1400862069,0.8405172414,0.4989224138,0.7941810345,0.1648706897,0.8674568966,0.9590517241,0.5528017241,0.08728448276,0.02262931034,0.9181034483,0.1206896552,0.2898706897,0.2047413793,0.4881465517,0.1551724138,0.7036637931,
1600146,Lotte,Taneichi Atsuki,R,1.333333333,4,9,True,87.7,0.0,0.0,0.4444444444,0.5714285714,0.0,1.0,1.0,,0.0,0.0,0.2222222222,0.2222222222,0.7777777778,0.75,,0.7777777778,0.0,0.7777777778,0.6666666667,0.3333333333,0.6666666667,0.3333333333,0.1111111111,0.0,4,0.0,0.0,0.0,1.0,87.27777778,91.4,,0,0.75,0.25,0.0,0.0,0.25,0.25,0.0,0.75,0.25,0.963362069,0.9644396552,0.1713362069,0.3706896552,0.2877155172,0.96875,0.9493534483,0.911637931,0.9568965517,0.96875,0.9590517241,0.9256465517,0.1573275862,0.1573275862,0.1961206897,0.02047413793,0.1066810345,0.09482758621,0.04525862069,0.09806034483,0.9040948276,0.0463362069,0.9558189655,0.1142241379,0.9665948276,0.7769396552,0.1519396552,0.2543103448,0.1648706897,0.8674568966,0.4170258621,0.2058189655,0.08728448276,0.05603448276,0.3588362069,0.1206896552,0.2898706897,0.2047413793,0.4881465517,0.2176724138,0.9030172414,
1800052,Lotte,Ojima Kazuya,L,1.333333333,4,23,True,92.8,0.75,0.0,0.4347826087,0.5714285714,0.2222222222,0.7,0.75,0.5,0.3,0.1304347826,0.3913043478,0.3043478261,0.6956521739,1.0,0.3333333333,0.6956521739,0.08695652174,0.6086956522,0.5217391304,0.4782608696,0.5652173913,0.4347826087,0.04347826087,0.3043478261,1,0.0,0.0,0.0,1.0,90.78695652,96.3,,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03017241379,0.05603448276,0.1713362069,0.3254310345,0.2877155172,0.75,0.3168103448,0.1314655172,0.432112069,0.3362068966,0.3814655172,0.2004310345,0.40625,0.40625,0.05387931034,0.2392241379,0.2403017241,0.4375,0.2198275862,0.4913793103,0.5107758621,0.09913793103,0.9030172414,0.7974137931,0.7403017241,0.9019396552,0.9558189655,0.9870689655,0.1648706897,0.004310344828,0.1002155172,0.9827586207,0.08728448276,0.02262931034,0.9181034483,0.1206896552,0.2898706897,0.2047413793,0.4881465517,0.02370689655,0.536637931,
2000054,Hanshin,Sakaeda Yuki,R,1.0,4,12,True,88.0,0.25,0.0,0.25,0.1111111111,0.6666666667,1.0,1.0,1.0,0.0,0.0,0.5833333333,0.08333333333,0.9166666667,0.75,0.3333333333,0.8333333333,0.0,0.75,0.5833333333,0.4166666667,0.3333333333,0.6666666667,0.08333333333,0.1666666667,3,0.0,0.0,0.0,1.0,85.71666667,88.9,,0,0.6666666667,0.3333333333,0.0,0.3333333333,0.0,0.3333333333,0.0,0.6666666667,0.3333333333,0.9547413793,0.4439655172,0.1713362069,0.03448275862,0.02801724138,0.0463362069,0.9493534483,0.911637931,0.8987068966,0.96875,0.9590517241,0.0625,0.03879310345,0.03879310345,0.1961206897,0.2392241379,0.05818965517,0.09482758621,0.06142241379,0.3060344828,0.6961206897,0.9030172414,0.09913793103,0.2090517241,0.9019396552,0.8060344828,0.2058189655,0.369612069,0.1648706897,0.03663793103,0.1002155172,0.2510775862,0.08728448276,0.06573275862,0.1670258621,0.1206896552,0.2898706897,0.2047413793,0.4881465517,0.7047413793,0.9698275862,
1900080,Lotte,Sasaki Roki,R,1.333333333,4,16,True,90.4,1.0,0.0,0.375,0.5,0.0,0.5,0.5,,0.5,0.1875,0.5,0.25,0.75,0.5,0.6666666667,0.6875,0.0,0.75,0.5625,0.4375,0.3125,0.6875,0.25,0.125,0,,0.0,,1.0,88.925,93.2,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392241379,0.02693965517,0.1713362069,0.1206896552,0.1756465517,0.96875,0.05926724138,0.02801724138,0.9568965517,0.0786637931,0.1497844828,0.1066810345,0.2198275862,0.2198275862,0.9213362069,0.09375,0.2607758621,0.09482758621,0.06142241379,0.380387931,0.6217672414,0.9267241379,0.07543103448,0.02478448276,0.9202586207,0.974137931,0.9558189655,0.08620689655,0.1648706897,0.8674568966,0.1002155172,0.07543103448,0.08728448276,0.9310344828,0.9181034483,0.9752155172,0.2898706897,0.9159482759,0.4881465517,0.08836206897,0.7920258621,
900425,Hanshin,Akiyama Takumi,L,1.333333333,4,15,True,91.7,0.5,0.0,0.2666666667,0.1428571429,0.375,0.5,1.0,0.3333333333,0.5,0.1333333333,0.4666666667,0.3333333333,0.6666666667,0.75,0.6666666667,0.6666666667,0.06666666667,0.4666666667,0.6666666667,0.3333333333,0.4,0.6,0.0,0.3333333333,2,0.0,0.0,,1.0,85.82,92.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.1357758621,0.1433189655,0.1713362069,0.04310344828,0.03017241379,0.2586206897,0.05926724138,0.911637931,0.1443965517,0.0786637931,0.3674568966,0.130387931,0.5484913793,0.5484913793,0.1961206897,0.09375,0.3221982759,0.317887931,0.9148706897,0.09806034483,0.9040948276,0.6368534483,0.3653017241,0.9461206897,0.6961206897,0.8405172414,0.04849137931,0.08620689655,0.1648706897,0.8674568966,0.1002155172,0.07543103448,0.9073275862,0.9310344828,0.07543103448,0.1206896552,0.2898706897,0.9159482759,0.4881465517,0.6637931034,0.8782327586,
1900073,Nipponham,Suzuki Kenya,L,1.0,4,13,True,88.3,0.25,0.0,0.5384615385,0.5714285714,0.5,0.7142857143,0.75,0.6666666667,0.2857142857,0.1538461538,0.3846153846,0.2307692308,0.7692307692,0.5,0.5,0.6923076923,0.1538461538,0.5384615385,0.6153846154,0.3846153846,0.6153846154,0.3846153846,0.07692307692,0.07692307692,3,0.0,0.0,,1.0,86.96923077,92.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.6666666667,0.0,0.9450431034,0.4439655172,0.1713362069,0.8006465517,0.2877155172,0.09806034483,0.3663793103,0.1314655172,0.7661637931,0.3857758621,0.2715517241,0.2112068966,0.1788793103,0.1788793103,0.9213362069,0.1368534483,0.2521551724,0.9515086207,0.4536637931,0.1918103448,0.8103448276,0.06465517241,0.9375,0.2607758621,0.9299568966,0.8060344828,0.04849137931,0.08620689655,0.1648706897,0.8674568966,0.1002155172,0.07543103448,0.4795258621,0.06573275862,0.9181034483,0.1206896552,0.2898706897,0.9159482759,0.4881465517,0.2607758621,0.8782327586,
1700037,DeNA,Nishimaki Kenji,R,1.333333333,4,11,True,87.5,0.5,0.0,0.6363636364,0.6666666667,0.5,0.8571428571,0.8333333333,1.0,0.1428571429,0.09090909091,0.2727272727,0.09090909091,0.9090909091,1.0,0.5,0.9090909091,0.0,0.8181818182,0.2727272727,0.7272727273,0.1818181818,0.8181818182,0.09090909091,0.2727272727,2,0.0,0.0,,1.0,82.42727273,90.7,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9762931034,0.1433189655,0.1713362069,0.9568965517,0.6066810345,0.09806034483,0.8297413793,0.369612069,0.8987068966,0.849137931,0.6627155172,0.6842672414,0.04525862069,0.04525862069,0.05387931034,0.1368534483,0.03125,0.09482758621,0.03448275862,0.9461206897,0.05603448276,0.9881465517,0.01400862069,0.1691810345,0.7683189655,0.8405172414,0.04849137931,0.08620689655,0.1648706897,0.8674568966,0.1002155172,0.07543103448,0.08728448276,0.02262931034,0.9181034483,0.1206896552,0.2898706897,0.9159482759,0.4881465517,0.9784482759,0.9245689655,
1750941,Hiroshima,Kurohara Takumi,L,1.0,3,11,True,88.3,1.0,0.0,0.6363636364,0.625,0.6666666667,0.5714285714,0.8,0.0,0.4285714286,0.2727272727,0.4545454545,0.09090909091,0.9090909091,0.6666666667,0.75,0.8181818182,0.0,0.7272727273,0.3636363636,0.6363636364,0.2727272727,0.7272727273,0.1818181818,0.2727272727,0,,0.0,,1.0,85.14,90.7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9450431034,0.02693965517,0.1713362069,0.9568965517,0.442887931,0.0463362069,0.09051724138,0.255387931,0.03232758621,0.1099137931,0.04094827586,0.1454741379,0.04525862069,0.04525862069,0.3469827586,0.0775862069,0.06357758621,0.09482758621,0.08189655172,0.8965517241,0.1056034483,0.9568965517,0.04525862069,0.04525862069,0.7683189655,0.974137931,0.9558189655,0.08620689655,0.1648706897,0.8674568966,0.1002155172,0.07543103448,0.08728448276,0.9310344828,0.9181034483,0.9752155172,0.2898706897,0.9159482759,0.4881465517,0.8426724138,0.9245689655,
