PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
6,金本　知憲,1968.04.03,,,Hanshin Tigers
13,榎田　大樹,https://npb.jp/bis/players/01305133.html,1986.08.07,181,92,左,左,,Hanshin Tigers
14,能見　篤史,https://npb.jp/bis/players/61065110.html,1979.05.28,180,72,左,左,,Hanshin Tigers
15,横山　雄哉,https://npb.jp/bis/players/53155130.html,1994.02.21,183,83,左,左,,Hanshin Tigers
16,安藤　優也,https://npb.jp/bis/players/41145115.html,1977.12.27,184,99,右,右,,Hanshin Tigers
17,岩貞　祐太,https://npb.jp/bis/players/51355139.html,1991.09.05,183,84,左,左,,Hanshin Tigers
19,藤浪　晋太郎,https://npb.jp/bis/players/41045137.html,1994.04.12,197,89,右,右,,Hanshin Tigers
20,メンデス,https://npb.jp/bis/players/53955134.html,1990.07.25,191,107,右,右,,Hanshin Tigers
21,岩田　稔,https://npb.jp/bis/players/51355112.html,1983.10.31,179,94,左,左,,Hanshin Tigers
22,藤川　球児,https://npb.jp/bis/players/71073888.html,1980.07.21,185,86,右,左,,Hanshin Tigers
26,歳内　宏明,https://npb.jp/bis/players/61765135.html,1993.07.19,184,90,右,右,,Hanshin Tigers
28,小野　泰己,https://npb.jp/bis/players/81385134.html,1994.05.30,184,75,右,右,,Hanshin Tigers
30,石崎　剛,https://npb.jp/bis/players/81185130.html,1990.09.09,183,89,右,右,,Hanshin Tigers
34,高宮　和也,https://npb.jp/bis/players/11015112.html,1981.12.04,174,81,左,左,,Hanshin Tigers
35,才木　浩人,https://npb.jp/bis/players/41745134.html,1998.11.07,188,79,右,右,,Hanshin Tigers
36,浜地　真澄,https://npb.jp/bis/players/71675134.html,1998.05.25,184,88,右,右,,Hanshin Tigers
38,マテオ,https://npb.jp/bis/players/83785132.html,1984.04.18,188,107,右,右,,Hanshin Tigers
40,福永　春吾,https://npb.jp/bis/players/01605134.html,1994.05.14,185,90,右,左,,Hanshin Tigers
41,髙橋　聡文,https://npb.jp/bis/players/71975115.html,1983.05.29,176,86,左,左,,Hanshin Tigers
42,竹安　大知,https://npb.jp/bis/players/21025132.html,1994.09.27,183,80,右,右,,Hanshin Tigers
43,守屋　功輝,https://npb.jp/bis/players/51855130.html,1993.11.25,183,87,右,右,,Hanshin Tigers
45,藤谷　洸介,https://npb.jp/bis/players/41645134.html,1996.02.12,194,90,右,右,,Hanshin Tigers
46,秋山　拓巳,https://npb.jp/bis/players/51155131.html,1991.04.26,188,97,右,左,,Hanshin Tigers
47,山本　翔也,https://npb.jp/bis/players/81485139.html,1988.10.12,183,91,左,左,,Hanshin Tigers
50,青柳　晃洋,https://npb.jp/bis/players/71175132.html,1993.12.11,182,82,右,右,,Hanshin Tigers
54,メッセンジャー,https://npb.jp/bis/players/93195131.html,1981.08.13,198,121,右,右,,Hanshin Tigers
56,松田　遼馬,https://npb.jp/bis/players/01605135.html,1994.02.08,184,92,右,右,,Hanshin Tigers
61,望月　惇志,https://npb.jp/bis/players/81885132.html,1997.08.02,189,92,右,右,,Hanshin Tigers
64,桑原　謙太朗,https://npb.jp/bis/players/31735116.html,1985.10.29,184,84,右,右,,Hanshin Tigers
66,柳瀬　明宏,https://npb.jp/bis/players/31835112.html,1983.07.08,176,78,右,右,,Hanshin Tigers
67,岩崎　優,https://npb.jp/bis/players/31335139.html,1991.06.19,185,90,左,左,,Hanshin Tigers
69,島本　浩也,https://npb.jp/bis/players/51055133.html,1993.02.14,176,69,左,左,,Hanshin Tigers
92,伊藤　和雄,https://npb.jp/bis/players/41145135.html,1989.12.13,186,95,右,右,,Hanshin Tigers
97,田面　巧二郎,https://npb.jp/bis/players/01905137.html,1990.12.09,179,90,右,右,,Hanshin Tigers
98,ドリス,https://npb.jp/bis/players/03505132.html,1988.01.10,195,109,右,右,2/23 支配下選手登録,Hanshin Tigers
12,坂本　誠志郎,https://npb.jp/bis/players/11915132.html,1993.11.10,176,79,右,右,,Hanshin Tigers
39,長坂　拳弥,https://npb.jp/bis/players/91495134.html,1994.04.28,173,78,右,右,,Hanshin Tigers
44,梅野　隆太郎,https://npb.jp/bis/players/21325139.html,1991.06.17,173,76,右,右,,Hanshin Tigers
52,小豆畑　眞也,https://npb.jp/bis/players/51155137.html,1988.07.22,181,78,右,右,,Hanshin Tigers
57,岡﨑　太一,https://npb.jp/bis/players/91395110.html,1983.06.20,180,84,右,右,,Hanshin Tigers
59,小宮山　慎二,https://npb.jp/bis/players/41545119.html,1985.11.26,178,83,右,右,,Hanshin Tigers
94,原口　文仁,https://npb.jp/bis/players/61065131.html,1992.03.03,182,88,右,右,,Hanshin Tigers
00,上本　博紀,https://npb.jp/bis/players/01305118.html,1986.07.04,173,65,右,右,,Hanshin Tigers
0,大和,https://npb.jp/bis/players/61465112.html,1987.11.05,177,69,右,左右,,Hanshin Tigers
1,鳥谷　敬,https://npb.jp/bis/players/21925119.html,1981.06.26,180,78,右,左,,Hanshin Tigers
2,北條　史也,https://npb.jp/bis/players/11215137.html,1994.07.29,177,75,右,右,,Hanshin Tigers
