Team,W,L,PCT,Diff,HR,SB,OPS+,ERA+,FIP-,K-BB%,wSB,TZR
Yomiuri Giants,77,59,0.566,81,81,59,104,118,95,13.6%,0.4,39.9
Hanshin Tigers,74,63,0.540,65,67,41,101,115,91,11.9%,-6.1,-32.5
Yakult Swallows,62,77,0.446,-50,103,67,96,88,101,10.6%,4.7,-69.5
Chunichi Dragons,60,75,0.444,-105,68,40,100,92,104,11.1%,-3.5,-14.2
DeNA BayStars,71,69,0.507,19,101,69,110,98,100,11.5%,1.4,-60.8
Hiroshima Carp,68,70,0.493,-4,52,66,85,114,98,10.7%,-6.9,8.8
Rakuten Eagles,67,72,0.482,-87,72,90,102,77,111,9.4%,5.3,-36.8
Seibu Lions,49,91,0.350,-135,60,83,78,97,108,9.7%,1.0,20.6
Lotte Marines,71,66,0.518,-2,75,64,101,96,98,12.5%,4.8,9.7
Nipponham Fighters,75,60,0.556,47,111,91,103,104,104,11.6%,-3.0,52.4
ORIX Buffaloes,63,77,0.450,-46,71,61,96,103,92,13.2%,-1.5,-13.2
SoftBank Hawks,91,49,0.650,217,114,89,120,120,96,14.2%,3.4,95.9
