Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Aoyagi Koyo,12,2,3,0,0,0,0,269,61.0,66,2,35,21,1,6,1,31,25,3.69,3.69,4.28,1.43,77,115,118,-0.00,0.7%,13.0%,7.8%,5.2%,53.7%,19.7%,86.1%,5.8%,26.1%,88.2,Hanshin Tigers,30,R,CL
Beasley Jeremy,14,8,3,0,0,1,0,305,76.2,53,6,75,24,0,5,4,23,21,2.47,3.28,3.13,1.00,115,102,86,-0.81,2.0%,24.6%,7.9%,16.7%,53.5%,32.9%,75.0%,11.7%,31.2%,92.0,Hanshin Tigers,28,R,CL
Guerra Javy,59,1,4,14,31,0,0,226,58.0,47,3,48,11,1,0,2,10,10,1.55,2.67,3.16,1.00,183,83,87,-1.12,1.3%,21.2%,4.9%,16.4%,52.8%,34.2%,73.0%,14.2%,30.3%,96.9,Hanshin Tigers,28,R,CL
Hamachi Masumi,18,0,0,0,0,0,0,83,21.1,17,2,9,2,1,0,1,6,5,2.11,3.74,3.96,0.89,135,116,109,-1.63,2.4%,10.8%,2.4%,8.4%,52.2%,28.3%,87.9%,6.6%,22.7%,90.9,Hanshin Tigers,26,R,CL
Ishiguro Yuya,3,0,0,0,0,0,0,16,3.1,6,0,3,1,0,0,0,2,2,5.40,2.19,3.55,2.10,53,68,98,3.21,0.0%,18.8%,6.2%,12.5%,66.7%,25.0%,73.3%,12.9%,35.5%,90.8,Hanshin Tigers,23,R,CL
Ishii Daichi,56,4,1,1,30,0,0,189,48.2,34,0,58,14,4,0,5,12,8,1.48,1.57,2.47,0.99,192,49,68,-0.09,0.0%,30.7%,7.4%,23.3%,47.2%,39.2%,70.4%,15.9%,31.1%,93.8,Hanshin Tigers,26,R,CL
Itoh Masashi,18,4,5,0,0,1,0,323,74.0,90,5,33,16,0,2,1,46,38,4.62,3.80,4.27,1.43,62,118,118,0.82,1.5%,10.2%,5.0%,5.3%,55.4%,23.6%,87.9%,5.5%,24.9%,86.4,Hanshin Tigers,28,L,CL
Iwasada Yuta,2,0,1,0,0,0,0,9,1.2,1,0,2,2,1,1,0,2,1,5.40,6.09,4.80,1.80,53,189,132,-0.69,0.0%,22.2%,22.2%,0.0%,75.0%,38.9%,60.0%,17.4%,30.4%,91.3,Hanshin Tigers,32,L,CL
Iwazaki Suguru,60,4,4,23,17,0,0,231,57.1,48,3,46,15,1,0,1,14,14,2.20,2.95,3.46,1.10,129,92,95,-0.75,1.3%,19.9%,6.5%,13.4%,41.9%,30.0%,79.9%,9.7%,29.6%,87.6,Hanshin Tigers,33,L,CL
Kajiya Ren,13,2,0,0,1,0,0,54,12.0,11,0,12,7,1,1,2,8,6,4.50,3.09,3.87,1.50,63,96,107,1.41,0.0%,22.2%,13.0%,9.3%,58.8%,26.6%,68.8%,12.4%,30.9%,90.8,Hanshin Tigers,32,R,CL
Kawahara Riku,1,0,0,0,0,0,0,5,1.0,1,0,2,1,0,0,0,0,0,0.00,2.09,2.80,2.00,999,65,77,-2.09,0.0%,40.0%,20.0%,20.0%,0.0%,28.6%,62.5%,12.5%,37.5%,90.4,Hanshin Tigers,23,L,CL
Kirishiki Takuma,70,3,1,0,40,0,0,263,65.1,48,0,60,18,5,4,1,14,13,1.79,2.26,3.20,1.01,159,70,88,-0.47,0.0%,22.8%,6.8%,16.0%,62.0%,32.9%,80.4%,9.4%,29.0%,91.5,Hanshin Tigers,25,L,CL
Mombetsu Keito,5,0,2,0,0,0,0,54,12.0,15,1,8,4,0,0,2,8,6,4.50,3.84,4.06,1.58,63,119,112,0.66,1.9%,14.8%,7.4%,7.4%,35.7%,27.3%,74.0%,12.3%,29.1%,89.7,Hanshin Tigers,19,L,CL
Murakami Shoki,25,7,11,0,0,2,0,635,153.2,143,7,130,33,2,2,5,57,44,2.58,2.67,3.27,1.15,110,83,90,-0.09,1.1%,20.5%,5.2%,15.3%,45.7%,30.2%,81.2%,9.1%,26.5%,91.0,Hanshin Tigers,26,R,CL
Nishi Junya,4,0,1,0,0,0,0,28,6.2,5,0,0,3,1,0,0,2,2,2.70,4.44,5.87,1.20,105,138,161,-1.74,0.0%,0.0%,10.7%,-10.7%,50.0%,13.5%,93.5%,2.5%,22.2%,90.3,Hanshin Tigers,22,R,CL
