Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Akiyama Takumi,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-100,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Egoshi Taiga,70,293,237,47,53,9,5,7,93,26,8,2,7,1,99,43,0,5,6,0.224,0.353,0.392,0.745,115,0.168,0.348,50.9%,33.8%,14.7%,0.43,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Endo Jo,87,246,211,28,48,3,1,2,59,18,4,5,10,2,51,23,0,0,1,0.227,0.301,0.280,0.581,69,0.053,0.288,30.9%,20.7%,9.3%,0.45,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujita Kento,65,126,115,10,28,6,0,1,37,12,1,0,7,0,26,3,0,1,0,0.243,0.269,0.322,0.591,71,0.079,0.307,23.8%,20.6%,2.4%,0.12,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Haraguchi Fumihito,32,109,98,7,20,4,1,3,35,20,0,0,0,1,16,7,0,3,1,0.204,0.275,0.357,0.632,82,0.153,0.212,23.9%,14.7%,6.4%,0.44,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Hojoh Fumiya,21,68,55,7,14,4,0,2,24,9,1,0,3,0,8,10,0,0,1,0.255,0.369,0.436,0.805,132,0.181,0.267,29.4%,11.8%,14.7%,1.25,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Inoue Kouta,110,467,432,49,96,22,1,11,153,70,4,1,0,3,150,24,1,8,7,0.222,0.274,0.354,0.628,81,0.132,0.310,39.6%,32.1%,5.1%,0.16,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itayama Yutaro,85,317,273,37,67,16,2,5,102,30,4,7,2,2,72,39,0,1,6,0.245,0.340,0.374,0.714,106,0.129,0.313,36.6%,22.7%,12.3%,0.54,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itoh Masashi,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itoi Yoshio,11,35,31,5,9,1,0,1,13,3,0,0,0,0,4,4,0,0,0,0.290,0.371,0.419,0.790,128,0.129,0.308,25.7%,11.4%,11.4%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Katayama Yuya,75,174,156,15,32,4,0,1,39,11,1,0,3,2,43,13,0,0,4,0.205,0.263,0.250,0.513,49,0.045,0.272,32.8%,24.7%,7.5%,0.30,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kinami Seiya,38,147,127,27,35,9,1,0,46,14,2,0,1,0,28,16,0,3,2,0.276,0.370,0.362,0.732,112,0.086,0.354,29.9%,19.0%,10.9%,0.57,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
