Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Akiyama Takumi,13,9,3,0,0,0,308,73.1,77,2,36,12,0,2,1,27,25,3.07,3.54,4.02,1.21,119,84,105,-0.47,0.6%,11.7%,3.9%,7.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Alcantara Raul,9,0,1,1,0,0,40,9.0,10,0,12,2,0,0,1,4,3,3.00,1.60,2.30,1.33,122,38,60,1.40,0.0%,30.0%,5.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Aoyagi Koyo,2,0,0,0,0,0,29,7.0,4,1,5,2,0,0,0,2,2,2.57,4.88,3.77,0.86,142,115,99,-2.31,3.4%,17.2%,6.9%,10.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Baba Kosuke,31,1,3,3,0,0,122,28.2,26,1,26,12,0,1,3,11,9,2.83,3.60,3.65,1.33,129,85,96,-0.77,0.8%,21.3%,9.8%,11.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Chen Wei-Yin,7,2,1,0,0,0,127,29.2,36,1,16,5,0,0,0,12,10,3.03,3.46,3.93,1.38,121,82,103,-0.43,0.8%,12.6%,3.9%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujinami Shintaro,9,4,1,0,0,0,163,40.2,26,2,50,15,0,2,2,9,8,1.77,3.03,2.65,1.01,207,72,69,-1.26,1.2%,30.7%,9.2%,21.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Gunkel Joe,3,0,1,0,0,0,42,7.2,20,3,3,0,0,0,0,12,12,14.09,7.90,4.09,2.61,26,186,107,6.19,7.1%,7.1%,0.0%,7.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Hamachi Masumi,3,0,0,0,0,0,9,3.0,0,0,2,0,0,0,0,0,0,0.00,2.26,2.58,0.00,999,53,68,-2.26,0.0%,22.2%,0.0%,22.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ishii Daichi,13,2,0,1,0,0,53,12.0,16,1,18,2,0,0,0,3,3,2.25,2.18,1.78,1.50,162,51,47,0.07,1.9%,34.0%,3.8%,30.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itoh Masashi,4,2,0,0,0,0,59,16.0,15,0,4,4,0,0,0,2,2,1.13,3.85,4.80,1.19,324,91,126,-2.72,0.0%,6.8%,6.8%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Iwasada Yuta,4,0,0,0,0,0,13,4.0,1,0,7,0,0,0,0,0,0,0.00,0.10,-0.58,0.25,999,2,-15,-0.10,0.0%,53.8%,0.0%,53.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Iwata Masaki,41,4,1,0,0,0,126,32.0,19,1,34,9,1,4,0,9,7,1.97,3.10,2.82,0.88,186,73,74,-1.13,0.8%,27.0%,7.1%,19.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kajiya Ren,9,0,0,0,0,0,30,7.2,8,1,8,2,0,0,0,3,3,3.52,3.99,2.80,1.30,104,94,73,-0.47,3.3%,26.7%,6.7%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kawahara Riku,13,2,2,0,0,0,105,20.1,23,4,15,22,0,1,5,23,21,9.30,8.07,5.47,2.21,39,190,143,1.23,3.8%,14.3%,21.0%,-6.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Keller Kyle,18,0,1,2,0,0,71,17.0,15,0,18,7,1,1,1,3,3,1.59,2.89,3.25,1.29,230,68,85,-1.30,0.0%,25.4%,9.9%,15.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kirishiki Takuma,13,6,1,1,1,0,291,74.2,51,2,48,16,2,2,3,10,6,0.72,3.38,3.70,0.90,508,80,97,-2.66,0.7%,16.5%,5.5%,11.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kobayashi Keisuke,21,1,0,4,0,0,88,22.0,16,1,22,8,0,0,1,4,3,1.23,3.28,3.21,1.09,297,77,84,-2.05,1.1%,25.0%,9.1%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Maki Johichiro,20,0,0,0,0,0,89,18.1,18,2,14,14,0,3,1,14,11,5.40,6.27,4.80,1.75,68,148,126,-0.87,2.2%,15.7%,15.7%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Mochizuki Atsushi,2,0,0,0,0,0,9,2.0,0,0,1,2,0,1,1,1,1,4.50,7.10,5.91,1.00,81,168,155,-2.60,0.0%,11.1%,22.2%,-11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Moriki Daichi,14,4,2,0,0,0,228,53.0,48,2,58,24,0,9,3,26,24,4.08,3.77,3.31,1.36,90,89,87,0.31,0.9%,25.4%,10.5%,14.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Moriya Kouki,20,1,1,0,0,0,93,20.2,23,1,18,10,0,2,2,15,12,5.23,4.23,3.94,1.60,70,100,103,1.00,1.1%,19.4%,10.8%,8.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Murakami Shoki,17,7,3,0,0,0,384,93.1,85,5,74,23,0,3,3,33,32,3.09,3.54,3.47,1.16,118,84,91,-0.45,1.3%,19.3%,6.0%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Niho Akira,28,2,2,13,0,0,128,31.0,31,2,24,9,0,1,2,16,14,4.06,3.85,3.63,1.29,90,91,95,0.21,1.6%,18.8%,7.0%,11.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nishi Junya,6,2,2,0,3,1,168,42.1,30,2,41,15,1,1,1,10,9,1.91,3.41,3.25,1.06,191,80,85,-1.50,1.2%,24.4%,8.9%,15.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ogawa Ippei,6,2,2,0,0,0,117,26.2,27,5,20,13,0,1,3,14,14,4.73,6.11,4.20,1.50,77,144,110,-1.38,4.3%,17.1%,11.1%,6.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Okadome Hidetaka,36,2,1,0,0,0,131,35.0,24,3,29,8,0,1,1,12,6,1.54,3.82,3.20,0.91,237,90,84,-2.28,2.3%,22.1%,6.1%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Onaka Yuya,35,2,1,1,0,0,125,29.2,26,5,26,11,0,2,0,9,9,2.73,5.35,3.60,1.25,134,126,94,-2.62,4.0%,20.8%,8.8%,12.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ono Taiki,28,1,1,2,0,0,136,28.2,21,1,30,31,0,1,5,23,22,6.91,5.31,4.87,1.81,53,125,127,1.60,0.7%,22.1%,22.8%,-0.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Oyokawa Masaki,17,1,1,0,0,0,123,26.1,29,1,35,17,0,1,3,12,12,4.10,3.48,3.34,1.75,89,82,87,0.62,0.8%,28.5%,13.8%,14.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Saiki Hiroto,11,4,2,0,1,1,228,55.1,48,4,48,16,0,2,3,17,9,1.46,3.78,3.40,1.16,250,89,89,-2.32,1.8%,21.1%,7.0%,14.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Saitoh Yukiya,17,1,1,1,0,0,76,17.1,14,0,20,9,0,0,2,5,3,1.56,2.85,3.35,1.33,234,67,88,-1.29,0.0%,26.3%,11.8%,14.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Satoh Ren,9,1,3,0,0,0,137,31.1,27,0,41,20,0,3,6,18,18,5.17,3.18,3.27,1.50,71,75,86,1.99,0.0%,29.9%,14.6%,15.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Shimamoto Hiroya,14,1,0,1,0,0,51,15.0,7,1,8,3,0,0,0,2,2,1.20,4.00,3.82,0.67,305,94,100,-2.80,2.0%,15.7%,5.9%,9.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Suzuki Yuto,13,1,1,0,0,0,126,25.2,23,4,18,17,0,9,1,27,23,8.06,7.26,4.72,1.56,45,171,124,0.80,3.2%,14.3%,13.5%,0.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Watanabe Yuta,6,0,0,0,0,0,23,4.0,5,0,3,3,0,0,0,4,2,4.50,4.35,4.80,2.00,81,103,126,0.15,0.0%,13.0%,13.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
