Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs E,vs M,vs G,vs S,vs L,vs F,vs DB,Inter
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,114,69,42,3,0.622,--,525,410,115,0.611,38-20(2),31-22(1),--,11-8,8-8(2),9-8,17-4,9-9(1),14-5,1-0
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,109,61,45,3,0.575,5.5,461,451,10,0.510,34-18(2),27-27(1),8-11,--,12-7(1),11-7,7-12(2),12-3,11-5,--
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,125,63,52,10,0.548,8.0,547,521,26,0.522,35-26(5),28-26(5),8-8(2),7-12(1),--,11-7,10-8(3),10-6(3),14-7(1),3-4
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,111,54,56,1,0.491,14.5,512,489,23,0.521,29-22(1),25-34,8-9,7-11,7-11,--,10-10,9-10,11-5(1),2-0
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,111,47,58,6,0.448,19.0,477,555,-78,0.431,23-25(3),24-33(3),4-17,12-7(2),8-10(3),10-10,--,7-4(1),6-10,--
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,99,38,55,6,0.409,22.0,337,420,-83,0.401,18-33(3),20-22(3),9-9(1),3-12,6-10(3),10-9,4-7(1),--,5-7(1),1-1
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,105,40,62,3,0.392,24.5,435,446,-11,0.489,26-27,14-35(3),5-14,5-11,7-14(1),5-11(1),10-6,7-5(1),--,1-1
