Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Murakami Shoki,17,7,3,0,0,0,384,93.1,85,5,74,23,0,3,3,33,32,3.09,3.54,3.47,1.16,118,84,91,-0.45,1.3%,19.3%,6.0%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nakamura Yuta,20,5,7,0,0,0,434,100.0,112,13,64,23,0,5,3,55,52,4.68,4.85,3.86,1.35,77,117,101,-0.17,3.0%,14.7%,5.3%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Sakaguchi Kousuke,19,6,7,0,0,0,453,105.2,93,7,91,50,0,6,10,42,34,2.90,4.32,3.89,1.35,120,107,102,-1.42,1.5%,20.1%,11.0%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Suzuki Hiroshi,18,4,6,0,0,0,428,99.1,99,3,56,34,0,5,2,52,43,3.90,4.04,4.29,1.34,97,92,112,-0.14,0.7%,13.1%,7.9%,5.2%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
Nakamura Masaru,21,5,8,0,0,0,445,100.1,100,6,66,48,0,5,4,51,46,4.13,4.64,4.40,1.48,84,115,115,-0.51,1.3%,14.8%,10.8%,4.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
Takada Koichi,19,11,2,1,0,0,434,108.0,86,8,72,34,0,3,0,29,27,2.25,4.25,3.92,1.11,161,101,103,-2.00,1.8%,16.6%,7.8%,8.8%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
