Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs T,vs H,vs C,vs B,vs D,Inter
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,110,66,39,5,0.629,--,493,401,92,0.593,31-24(5),35-15,--,13-12(2),15-13,20-7(3),16-7,2-0
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,115,65,43,7,0.602,2.5,533,407,126,0.621,28-25(2),37-18(5),12-13(2),--,13-11(2),19-8(2),20-10(1),1-1
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,106,49,49,8,0.500,13.5,371,409,-38,0.456,24-21(5),25-28(3),13-15,11-13(2),--,11-11(3),14-8(3),0-2
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,122,43,64,15,0.402,24.0,445,474,-29,0.471,23-30(9),20-34(6),7-20(3),8-19(2),11-11(3),--,14-9(7),3-5
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,109,34,64,11,0.347,28.5,402,555,-153,0.357,17-32(2),17-32(9),7-16,10-20(1),8-14(3),9-14(7),--,--
