                   Player Age Pos    Inn    TZR TZR/143   RngR   ARM   DPR  ErrR  Pos Adj Framing Blocking                Team League
0      Wakabayashi Gakuto  27   7  285.2   -7.0   -31.5   -6.7  -0.3         0.0     -2.7                       Yomiuri Giants     CL
1      Wakabayashi Gakuto  27   8   94.0   -1.1   -15.1   -0.8  -0.3         0.0      0.3                       Yomiuri Giants     CL
2      Wakabayashi Gakuto  27   9   18.0    0.0     0.0    0.0   0.0         0.0     -0.1                       Yomiuri Giants     CL
3        Nishikawa Haruki  33   7   16.2    0.0     0.0    0.3  -0.2         0.0     -0.2                      Yakult Swallows     CL
4        Nishikawa Haruki  33   8  115.0   -1.4   -15.7   -0.4  -0.3        -0.8      0.4                      Yakult Swallows     CL
5        Nishikawa Haruki  33   9   77.2    1.7    28.2    0.5   1.2         0.0     -0.3                      Yakult Swallows     CL
6          Kajiwara Kouki  25   8  307.0   -2.2    -9.2   -2.2  -0.1         0.1      1.0                        DeNA BayStars     CL
7          Kajiwara Kouki  25   9   29.0   -0.4   -17.8   -0.5   0.1         0.0     -0.1                        DeNA BayStars     CL
8         Okabayashi Yuki  23   8  969.1   -7.2    -9.6   -4.3  -3.4         0.4      3.2                     Chunichi Dragons     CL
9        Futamata Shoichi  22   3   49.0    1.8    47.3    1.3         0.2   0.3     -0.5                       Hiroshima Carp     CL
10       Futamata Shoichi  22   5   62.0   -0.2    -4.2    0.3        -0.2  -0.3     -0.2                       Hiroshima Carp     CL
11       Futamata Shoichi  22   6   50.1   -1.7   -43.5   -1.5         0.1  -0.2      0.4                       Hiroshima Carp     CL
12       Futamata Shoichi  22   7    4.0    0.3    96.5    0.3   0.1         0.0      0.0                       Hiroshima Carp     CL
13       Futamata Shoichi  22   8   65.0    3.4    67.3    2.2   1.1         0.0      0.2                       Hiroshima Carp     CL
14       Futamata Shoichi  22   9   31.0    0.7    29.1    0.3   0.4         0.0     -0.1                       Hiroshima Carp     CL
15         Chikamoto Koji  30   8  992.2    7.6     9.9    7.5  -0.3         0.4      3.3                       Hanshin Tigers     CL
16        Hasegawa Shinya  23   8   59.0    1.4    30.5    1.1   0.3         0.0      0.2                          Seibu Lions     PL
17        Hasegawa Shinya  23   9  810.1    3.2     5.1    3.3  -0.4         0.3     -3.2                          Seibu Lions     PL
18            Yazawa Kota  24   7  131.0    5.0    49.1    5.1  -0.2         0.0     -1.2                   Nipponham Fighters     PL
19            Yazawa Kota  24   8   77.0   -1.9   -31.8   -2.3   1.2        -0.8      0.3                   Nipponham Fighters     PL
20            Yazawa Kota  24   9   92.1   -0.7    -9.8   -0.1  -0.6         0.0     -0.4                   Nipponham Fighters     PL
21            Yazawa Kota  24  DH    1.0                                              0.0                   Nipponham Fighters     PL
22         Nakagawa Keita  29   7   44.0   -2.0   -58.5   -0.8  -1.3         0.0     -0.4                       ORIX Buffaloes     PL
23         Nakagawa Keita  29   8  386.1   -6.6   -22.0   -5.9  -0.8         0.2      1.3                       ORIX Buffaloes     PL
24         Nakagawa Keita  29   9  286.1   -7.2   -32.4   -6.5  -0.7         0.1     -1.1                       ORIX Buffaloes     PL
25        Kobukata Hiroto  29   4  714.0   -3.8    -6.8   -3.0        -0.9   0.1      1.9                       Rakuten Eagles     PL
26        Kobukata Hiroto  29  DH    4.0                                              0.0                       Rakuten Eagles     PL
27             Shuto Ukyo  29   8  611.2   10.1    21.3    7.0   2.8         0.3      2.0                       SoftBank Hawks     PL
28        Nishikawa Misho  22   7  505.2    5.8    14.8    3.7   2.0         0.1     -4.8                        Lotte Marines     PL
29        Nishikawa Misho  22   8   14.0   -1.3  -119.5   -1.3   0.0         0.0      0.0                        Lotte Marines     PL
30        Nishikawa Misho  22   9   17.0   -0.7   -53.0   -0.7   0.0         0.0     -0.1                        Lotte Marines     PL
31        Nishikawa Misho  22  DH   17.0                                             -0.2                        Lotte Marines     PL
32           Wada Koshiro  26   7    5.0    1.1   283.1    1.1   0.0         0.0      0.0                        Lotte Marines     PL
33           Wada Koshiro  26   9    4.0    0.0     0.0    0.0   0.0         0.0      0.0                        Lotte Marines     PL
34           Wada Koshiro  26  DH    3.0                                              0.0                        Lotte Marines     PL
35             Masuda Shu  26   3    3.0    0.7   300.3    0.4         0.2   0.1      0.0                      Yakult Swallows     CL
36             Masuda Shu  26   7    2.0    0.0     0.0    0.0   0.0         0.0      0.0                      Yakult Swallows     CL
37             Masuda Shu  26   8    9.0   -0.5   -71.5   -0.6   0.0         0.0      0.0                      Yakult Swallows     CL
38             Masuda Shu  26   9  116.0    0.6     6.7    1.2  -0.6         0.0     -0.5                      Yakult Swallows     CL
39         Mannami Chusei  25   7   21.1    1.3    78.5    1.4  -0.1         0.0     -0.2                   Nipponham Fighters     PL
40         Mannami Chusei  25   8   43.0   -2.3   -68.8   -2.3   0.0         0.0      0.1                   Nipponham Fighters     PL
41         Mannami Chusei  25   9  765.0   10.2    17.2   11.5   0.2        -1.5     -3.0                   Nipponham Fighters     PL
42         Mannami Chusei  25  DH    3.0                                              0.0                   Nipponham Fighters     PL
43             Oka Hiromi  33   3    9.0    0.4    57.2    0.3         0.0   0.1     -0.1                        Lotte Marines     PL
44             Oka Hiromi  33   7  107.2    2.6    31.1    1.6   1.0         0.0     -1.0                        Lotte Marines     PL
45             Oka Hiromi  33   8   21.0   -0.7   -42.9   -0.7   0.0         0.0      0.1                        Lotte Marines     PL
46             Oka Hiromi  33   9   81.0   -2.3   -36.5   -1.8  -0.5         0.0     -0.3                        Lotte Marines     PL
47             Oka Hiromi  33  DH   50.0                                             -0.6                        Lotte Marines     PL
48      Akahane Yoshihiro  25   3    8.2    0.2    29.6    0.2         0.0   0.0     -0.1                      Yakult Swallows     CL
49      Akahane Yoshihiro  25   4  156.0    1.6    13.2    1.6        -0.1   0.0      0.4                      Yakult Swallows     CL
50      Akahane Yoshihiro  25   5  161.2    0.9     7.2   -0.2         0.8   0.3     -0.6                      Yakult Swallows     CL
51      Akahane Yoshihiro  25   6   32.0   -2.0   -80.4   -1.4         0.0  -0.6      0.3                      Yakult Swallows     CL
52      Akahane Yoshihiro  25   7    5.0   -0.6  -154.4   -0.6   0.0         0.0      0.0                      Yakult Swallows     CL
53      Akahane Yoshihiro  25   8  121.0   -0.9    -9.6    0.5  -1.4         0.1      0.4                      Yakult Swallows     CL
54      Akahane Yoshihiro  25   9   75.1    1.6    27.3    1.8  -0.3         0.0     -0.3                      Yakult Swallows     CL
55            Okoye Louis  27   7    2.0    0.0     0.0    0.0   0.0         0.0      0.0                       Yomiuri Giants     CL
56            Okoye Louis  27   8  251.1   -2.0   -10.2   -2.0  -0.1         0.1      0.8                       Yomiuri Giants     CL
57           Matsumoto Go  31   7   77.0    1.0    16.7   -0.1   1.0         0.0     -0.7                   Nipponham Fighters     PL
58           Matsumoto Go  31   8  227.0   -1.5    -8.5   -1.4  -0.1         0.1      0.8                   Nipponham Fighters     PL
59           Matsumoto Go  31   9   27.0    0.1     4.8    0.1   0.0         0.0     -0.1                   Nipponham Fighters     PL
60          Fukuda Shuhei  32   7   63.1    1.5    30.5    0.7   0.8         0.0     -0.6                       ORIX Buffaloes     PL
61          Fukuda Shuhei  32   8   64.2    1.8    35.8    1.1   0.7         0.0      0.2                       ORIX Buffaloes     PL
62          Fukuda Shuhei  32  DH    6.0                                             -0.1                       ORIX Buffaloes     PL
63              Ogoh Yuya  28   8    2.0    0.5   321.8    0.5   0.0         0.0      0.0                       Rakuten Eagles     PL
64              Ogoh Yuya  28   9  376.1    0.4     1.4    1.0  -0.7         0.1     -1.5                       Rakuten Eagles     PL
65              Ogoh Yuya  28  DH    4.0                                              0.0                       Rakuten Eagles     PL
66           Takabe Akito  27   8  490.1   -3.1    -8.1    0.0  -2.4        -0.6      1.6                        Lotte Marines     PL
67           Takabe Akito  27  DH    4.0                                              0.0                        Lotte Marines     PL
68          Ohmori Minoru  28   8  271.2    0.6     2.8    1.7  -1.3         0.1      0.9                       Hiroshima Carp     CL
69         Nakayama Raito  23   3   20.1    0.9    57.1    0.5         0.2   0.1     -0.2                       Yomiuri Giants     CL
70         Nakayama Raito  23   4   31.0   -0.2    -8.3   -0.5         0.1   0.1      0.1                       Yomiuri Giants     CL
71         Nakayama Raito  23   5   99.0   -1.1   -14.3   -2.1         0.4   0.6     -0.4                       Yomiuri Giants     CL
72         Nakayama Raito  23   7  162.0   -0.8    -6.4   -1.1   0.3         0.0     -1.5                       Yomiuri Giants     CL
73         Nakayama Raito  23  DH   17.2                                             -0.2                       Yomiuri Giants     CL
74        Sakamoto Hayato  36   5  305.2   -1.3    -5.5   -1.0        -0.1  -0.2     -1.2                       Yomiuri Giants     CL
75        Sakamoto Hayato  36  DH   20.0                                             -0.2                       Yomiuri Giants     CL
76          Yoshida Kengo  24   2   17.0   -0.6   -45.4         -0.3        -0.2      0.2    -1.0     -0.2  Nipponham Fighters     PL
77          Yoshida Kengo  24   3   28.0    1.3    59.8    1.1         0.0   0.2     -0.3                   Nipponham Fighters     PL
