                   Player   G   PA   AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K Age  Pos  B                Team League
33           Sakaeda Yuki   2    4    4   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000   50.0%   50.0%   0.0%  0.00  27    2  R      Hanshin Tigers     CL
34      Sakamoto Seishiro  31   98   82   4  17   2   0   0  19    6   0   0   4   0  20  11    1   1    1  0.207  0.309  0.232  0.541    75  0.025  0.274   31.6%   20.4%  11.2%  0.55  31    2  R      Hanshin Tigers     CL
35           Sato Teruaki  40  168  155  26  44  11   3  11  94   33   4   0   0   0  49  13    2   0    1  0.284  0.339  0.606  0.945   201  0.322  0.347   43.5%   29.2%   7.7%  0.27  26    5  L      Hanshin Tigers     CL
36          Shimada Kairi   9    8    8   0   0   0   0   0   0    0   1   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000    0.0%    0.0%   0.0%        29    7  L      Hanshin Tigers     CL
38        Takatera Nozomu   8   17   14   1   2   0   0   1   5    1   0   0   2   0   5   1    0   0    0  0.143  0.200  0.357  0.557    76  0.214  0.125   41.2%   29.4%   5.9%  0.20  22  UTL  L      Hanshin Tigers     CL
39             Tomida Ren   4    6    5   1   0   0   0   0   0    0   0   0   1   0   3   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000   50.0%   50.0%   0.0%  0.00  23    1  L      Hanshin Tigers     CL
40               Ueda Kai  11    1    1   1   0   0   0   0   0    0   2   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000         100.0%  100.0%   0.0%  0.00  29    7  S      Hanshin Tigers     CL
41          Umeno Ryutaro  20   60   53   3  12   2   0   0  14    2   1   0   3   0  12   4    1   0    1  0.226  0.281  0.264  0.545    76  0.038  0.293   26.7%   20.0%   6.7%  0.33  34    2  R      Hanshin Tigers     CL
43           Watanabe Ryo  14   16   13   0   3   0   0   0   3    1   0   0   0   0   3   3    0   0    1  0.231  0.375  0.231  0.606    98  0.000  0.300   37.5%   18.8%  18.8%  1.00  30    5  R      Hanshin Tigers     CL
45         Aizawa Tsubasa  14   32   24   3   4   1   0   0   5    1   0   1   2   0   8   4    2   2    0  0.167  0.333  0.208  0.541    71  0.041  0.250   37.5%   25.0%  12.5%  0.50  37    2  R      Hiroshima Carp     CL
46          Akiyama Shogo   8   21   20   2   8   1   0   1  12    1   0   0   0   0   3   1    0   0    0  0.400  0.429  0.600  1.029   215  0.200  0.438   23.8%   14.3%   4.8%  0.33  37    8  L      Hiroshima Carp     CL
47       Dohbayashi Shota  28   66   61   5  12   5   0   1  20    4   0   0   1   0  21   4    0   0    3  0.197  0.246  0.328  0.574    78  0.131  0.282   39.4%   31.8%   6.1%  0.19  33    3  R      Hiroshima Carp     CL
48        Dominguez Johan   4    8    8   0   0   0   0   0   0    0   0   0   0   0   6   0    0   0    0  0.000  0.000  0.000  0.000   -96  0.000  0.000   75.0%   75.0%   0.0%  0.00  29    1  R      Hiroshima Carp     CL
49          Fabian Sandro  41  170  164  20  54  10   0   5  79   21   0   0   0   0  26   5    1   1    3  0.329  0.353  0.482  0.835   156  0.153  0.368   21.2%   15.3%   2.9%  0.19  27    7  R      Hiroshima Carp     CL
50       Futamata Shoichi  31   82   75   6  12   2   0   1  17    2   1   1   1   0  19   5    0   1    0  0.160  0.222  0.227  0.449    41  0.067  0.200   30.5%   23.2%   6.1%  0.26  22    8  R      Hiroshima Carp     CL
51        Hatsuki Ryutaro  19   17   13   7   4   0   0   0   4    2   6   3   0   0   5   4    0   0    0  0.308  0.471  0.308  0.779   145  0.000  0.500   52.9%   29.4%  23.5%  0.80  25    5  L      Hiroshima Carp     CL
52           Hayashi Kota  10   12   12   0   2   0   0   0   2    0   0   0   0   0   5   0    0   0    0  0.167  0.167  0.167  0.334     6  0.000  0.286   41.7%   41.7%   0.0%  0.00  24    3  L      Hiroshima Carp     CL
55        Ishihara Tomoki  18   54   50   0   9   2   0   0  11    2   0   0   3   0  13   0    0   1    2  0.180  0.196  0.220  0.416    30  0.040  0.243   24.1%   24.1%   0.0%  0.00  27    2  R      Hiroshima Carp     CL
56      Isomura Yoshitaka   6    7    7   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000   -96  0.000  0.000   28.6%   28.6%   0.0%  0.00  32    2  R      Hiroshima Carp     CL
57        Kikuchi Ryosuke  39  149  136  12  34   5   0   1  42   12   0   1   6   1  26   6    0   0    1  0.250  0.280  0.309  0.589    83  0.059  0.300   22.1%   17.4%   4.0%  0.23  35    4  R      Hiroshima Carp     CL
58           Kozono Kaito  40  174  157  17  42   8   1   2  58   16   4   1   0   0  15  16    4   1    1  0.268  0.339  0.369  0.708   119  0.101  0.286   19.0%    8.6%   9.2%  1.07  25    5  L      Hiroshima Carp     CL
60       Montero Elehuris  10   39   35   3   8   3   0   1  14    6   0   0   0   0   6   4    2   0    1  0.229  0.308  0.400  0.708   118  0.171  0.250   28.2%   15.4%  10.3%  0.67  26    3  R      Hiroshima Carp     CL
61            Mori Shohei   7   13   11   0   2   0   0   0   2    0   0   0   2   0   4   0    0   0    0  0.182  0.182  0.182  0.364    15  0.000  0.286   30.8%   30.8%   0.0%  0.00  27    1  L      Hiroshima Carp     CL
62       Morishita Masato   8   23   19   1   1   0   0   0   1    0   0   0   3   0   9   1    0   0    0  0.053  0.100  0.053  0.153   -49  0.000  0.100   43.5%   39.1%   4.3%  0.11  27    1  R      Hiroshima Carp     CL
64        Nakamura Shosei  24   77   73   7  22   4   1   1  31    4   0   4   0   0   9   4    0   0    0  0.301  0.338  0.425  0.763   135  0.124  0.333   18.2%   11.7%   5.2%  0.44  26    8  R      Hiroshima Carp     CL
66         Noma Takayoshi  34   77   70   6  22   1   0   0  23    9   2   0   0   0  11   7    1   0    0  0.314  0.377  0.329  0.706   120  0.015  0.373   23.4%   14.3%   9.1%  0.64  32    8  L      Hiroshima Carp     CL
67          Ohmori Minoru  27   10    9   3   2   1   0   0   3    0   0   0   0   0   2   1    0   0    0  0.222  0.300  0.333  0.633    97  0.111  0.286   30.0%   20.0%  10.0%  0.50  28    8  L      Hiroshima Carp     CL
68          Ohsera Daichi   7   15   14   0   1   0   0   0   1    0   0   0   1   0   6   0    0   0    0  0.071  0.071  0.071  0.142   -53  0.000  0.125   40.0%   40.0%   0.0%  0.00  34    1  R      Hiroshima Carp     CL
71         Sakakura Shogo  18   71   62   8  17   3   0   1  23    5   0   0   3   0  15   6    1   0    1  0.274  0.338  0.371  0.709   120  0.097  0.348   31.0%   21.1%   8.5%  0.40  27    2  L      Hiroshima Carp     CL
72             Sasaki Tai   1    3    3   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -96  0.000  0.000   33.3%   33.3%   0.0%  0.00  22       R      Hiroshima Carp     CL
74          Suekane Shota  37  161  145  18  41   7   1   6  68   31   1   0   0   1  31  14    0   1    1  0.283  0.348  0.469  0.817   151  0.186  0.321   31.7%   19.3%   8.7%  0.45  29    9  R      Hiroshima Carp     CL
76        Takahashi Kouya   1    1    1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -96  0.000         100.0%  100.0%   0.0%  0.00  26    1  L      Hiroshima Carp     CL
