                 Player  G  PA  AB  R  H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K   wSB                Team League
24       Hayashi Takuma  5  20  17  3  5   0   0   0   5    1   0   1   1   0   4   1    0   1    0  0.294  0.368  0.294  0.663   108  0.000  0.385   25.0%   20.0%    5.0%  0.25  -0.3       DeNA BayStars     CL
25        Yanagita Yuki  3  12  12  1  3   0   0   1   6    3   0   0   0   0   3   0    0   0    0  0.250  0.250  0.500  0.750   127  0.250  0.250   33.3%   25.0%    0.0%  0.00   0.0      SoftBank Hawks     PL
26  Yanagimachi Tatsuru  3  13  12  0  7   2   0   0   9    0   0   0   0   0   2   1    0   0    0  0.583  0.615  0.750  1.365   319  0.167  0.700   23.1%   15.4%    7.7%  0.50   0.0      SoftBank Hawks     PL
27       Kurihara Ryoya  3  13  12  0  3   1   0   0   4    0   0   0   0   0   4   1    0   0    0  0.250  0.308  0.333  0.641    99  0.083  0.375   38.5%   30.8%    7.7%  0.25   0.0      SoftBank Hawks     PL
28       Kajiwara Kouki  2   2   2  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   50.0%   50.0%    0.0%  0.00   0.0       DeNA BayStars     CL
29          Mori Tomoya  2   5   5  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000   20.0%   20.0%    0.0%  0.00   0.0      ORIX Buffaloes     PL
30       Mizuno Tatsuki  4  15  15  1  2   0   1   0   4    0   0   0   0   0   5   0    0   0    0  0.133  0.133  0.267  0.400    21  0.133  0.200   33.3%   33.3%    0.0%  0.00   0.0  Nipponham Fighters     PL
31        Izuguchi Yuta  2  10   9  0  0   0   0   0   0    0   0   0   1   0   3   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000   30.0%   30.0%    0.0%  0.00   0.0      Yomiuri Giants     CL
32       Urata Shunsuke  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000    0.0%    0.0%    0.0%         0.0      Yomiuri Giants     CL
33          Asama Daiki  1   3   3  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -95  0.000  0.000    0.0%    0.0%    0.0%         0.0  Nipponham Fighters     PL
34      Kiyomiya Kotaro  5  20  19  0  5   0   1   0   7    2   2   0   0   0   5   1    0   0    1  0.263  0.300  0.368  0.668   103  0.105  0.357   30.0%   25.0%    5.0%  0.20   0.4  Nipponham Fighters     PL
35      Makihara Taisei  3  12  11  0  0   0   0   0   0    0   0   0   0   0   3   1    1   0    1  0.000  0.083  0.000  0.083   -70  0.000  0.000   33.3%   25.0%    8.3%  0.33   0.0      SoftBank Hawks     PL
36           Tamiya Yua  4  15  10  1  1   0   0   0   1    0   0   0   3   0   3   2    0   0    0  0.100  0.250  0.100  0.350    13  0.000  0.143   33.3%   20.0%   13.3%  0.67   0.0  Nipponham Fighters     PL
37          Yazawa Kota  4   8   8  1  1   0   0   0   1    0   0   0   0   0   1   0    0   0    0  0.125  0.125  0.125  0.250   -20  0.000  0.143   12.5%   12.5%    0.0%  0.00   0.0  Nipponham Fighters     PL
38       Ishikami Taiki  5  18  17  2  3   0   0   1   6    3   1   0   0   0   7   1    0   0    0  0.176  0.222  0.353  0.575    75  0.176  0.222   50.0%   38.9%    5.6%  0.14   0.2       DeNA BayStars     CL
39       Ishii Kazunari  3  12  11  0  1   0   0   0   1    0   0   0   0   0   4   1    0   0    0  0.091  0.167  0.091  0.258   -16  0.000  0.143   41.7%   33.3%    8.3%  0.25   0.0  Nipponham Fighters     PL
40      Kamizato Kazuki  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%         0.0       DeNA BayStars     CL
41  Tsutsugoh Yoshitomo  5  22  19  3  6   1   0   2  13    3   0   0   0   0   4   3    0   0    1  0.316  0.409  0.684  1.093   231  0.368  0.308   40.9%   18.2%   13.6%  0.75   0.0       DeNA BayStars     CL
42     Nishino Masahiro  2   8   8  0  1   0   0   0   1    0   0   0   0   0   2   0    0   0    0  0.125  0.125  0.125  0.250   -22  0.000  0.167   25.0%   25.0%    0.0%  0.00   0.0      ORIX Buffaloes     PL
43       Chikamoto Koji  3  13  11  2  3   0   0   0   3    0   1   0   0   0   3   2    0   0    0  0.273  0.385  0.273  0.657   114  0.000  0.375   38.5%   23.1%   15.4%  0.67   0.2      Hanshin Tigers     CL
44      Takatera Nozomu  2   4   4  0  1   0   0   0   1    0   1   0   0   0   1   0    0   0    0  0.250  0.250  0.250  0.500    60  0.000  0.333   25.0%   25.0%    0.0%  0.00   0.2      Hanshin Tigers     CL
45     Takahashi Haruto  1   3   1  0  0   0   0   0   0    0   0   0   2   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -104  0.000          33.3%   33.3%    0.0%  0.00   0.0      Hanshin Tigers     CL
46          Okoye Louis  2   2   1  0  0   0   0   0   0    0   0   0   0   0   0   1    0   0    0  0.000  0.500  0.000  0.500    72  0.000  0.000   50.0%    0.0%   50.0%  1.00   0.0      Yomiuri Giants     CL
47      Hernandez Ramon  2   2   2  0  0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -104  0.000         100.0%  100.0%    0.0%  0.00   0.0      Hanshin Tigers     CL
48       Martinez Ariel  2   5   4  0  2   0   0   0   2    0   0   0   0   0   0   0    0   1    0  0.500  0.600  0.500  1.100   236  0.000  0.500    0.0%    0.0%    0.0%         0.0  Nipponham Fighters     PL
49     Sunagawa Richard  2   7   6  0  1   0   0   0   1    0   0   0   0   0   3   1    0   0    0  0.167  0.286  0.167  0.452    47  0.000  0.333   57.1%   42.9%   14.3%  0.33   0.0      Yomiuri Giants     CL
50        Reyes Franmil  5  21  17  4  9   0   0   2  15    4   0   0   0   0   3   4    0   0    0  0.529  0.619  0.882  1.501   346  0.353  0.583   42.9%   14.3%   19.0%  1.33   0.0  Nipponham Fighters     PL
51       Mannami Chusei  5  22  18  0  7   2   0   0   9    1   0   1   0   0   4   4    0   0    0  0.389  0.500  0.500  1.000   203  0.111  0.500   36.4%   18.2%   18.2%  1.00  -0.3  Nipponham Fighters     PL
52      Nakagawa Hayato  1   2   2  0  1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  0.500  0.500  0.500  1.000   223  0.000  0.500    0.0%    0.0%    0.0%         0.0      Hanshin Tigers     CL
53       Nakagawa Keita  2   7   7  0  0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000   28.6%   28.6%    0.0%  0.00   0.0      ORIX Buffaloes     PL
54        Imamiya Kenta  2   8   8  0  2   1   0   0   3    0   0   0   0   0   2   0    0   0    0  0.250  0.250  0.375  0.625    91  0.125  0.333   25.0%   25.0%    0.0%  0.00   0.0      SoftBank Hawks     PL
55         Imagawa Yuma  1   3   2  0  1   0   0   0   1    0   0   0   0   0   1   0    0   1    0  0.500  0.667  0.500  1.167   257  0.000  1.000   33.3%   33.3%    0.0%  0.00   0.0  Nipponham Fighters     PL
56        Fushimi Torai  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -95  0.000  0.000    0.0%    0.0%    0.0%         0.0  Nipponham Fighters     PL
57      Sakamoto Hayato  1   1   0  0  0   0   0   0   0    0   1   0   0   0   0   1    1   0    0         1.000                                    100.0%    0.0%  100.0%  1.00   0.2      Yomiuri Giants     CL
58    Sakamoto Seishiro  3  11   7  0  1   0   0   0   1    0   0   0   1   0   4   3    0   0    0  0.143  0.400  0.143  0.543    81  0.000  0.333   63.6%   36.4%   27.3%  0.75   0.0      Hanshin Tigers     CL
59        Ohyama Yusuke  3  12  11  0  1   1   0   0   2    2   0   0   0   1   3   0    0   0    0  0.091  0.083  0.182  0.265   -20  0.091  0.111   25.0%   25.0%    0.0%  0.00   0.0      Hanshin Tigers     CL
60             Ohta Ryo  2   8   8  0  1   0   0   0   1    0   0   0   0   0   3   0    0   0    0  0.125  0.125  0.125  0.250   -22  0.000  0.200   37.5%   37.5%    0.0%  0.00   0.0      ORIX Buffaloes     PL
61         Narama Taiki  2   1   1  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -95  0.000         100.0%  100.0%    0.0%  0.00   0.0  Nipponham Fighters     PL
62      Kobayashi Seiji  1   1   1  0  1   1   0   0   2    0   0   0   0   0   0   0    0   0    0  1.000  1.000  2.000  3.000   838  1.000  1.000    0.0%    0.0%    0.0%         0.0      Yomiuri Giants     CL
63          Onodera Dan  2   2   2  0  1   0   0   0   1    1   0   0   0   0   0   0    0   0    0  0.500  0.500  0.500  1.000   223  0.000  0.500    0.0%    0.0%    0.0%         0.0      Hanshin Tigers     CL
64      Yamakawa Hotaka  3  12  11  0  3   0   0   0   3    1   0   0   0   0   3   1    1   0    0  0.273  0.333  0.273  0.606    90  0.000  0.375   33.3%   25.0%    8.3%  0.33   0.0      SoftBank Hawks     PL
65      Yamamoto Yuudai  5  18  16  1  2   0   0   0   2    1   0   0   1   1   3   0    0   0    1  0.125  0.118  0.125  0.243   -23  0.000  0.143   16.7%   16.7%    0.0%  0.00   0.0       DeNA BayStars     CL
66         Yamagata Shu  4  11   9  2  3   0   0   1   6    1   0   0   2   0   3   0    0   0    0  0.333  0.333  0.667  1.000   195  0.333  0.400   36.4%   27.3%    0.0%  0.00   0.0  Nipponham Fighters     PL
67       Okamoto Kazuma  2   9   7  1  2   0   0   0   2    0   0   0   0   0   1   2    1   0    0  0.286  0.444  0.286  0.730   137  0.000  0.333   33.3%   11.1%   22.2%  2.00   0.0      Yomiuri Giants     CL
68     Kishida Yukinori  2   9   7  2  1   0   0   0   1    0   0   0   0   0   1   2    0   0    1  0.143  0.333  0.143  0.476    56  0.000  0.167   33.3%   11.1%   22.2%  2.00   0.0      Yomiuri Giants     CL
69         Minei Hiroki  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%         0.0      SoftBank Hawks     PL
70       Hirooka Taishi  2   7   7  1  2   0   0   0   2    0   0   0   0   0   1   0    0   0    0  0.286  0.286  0.286  0.571    81  0.000  0.333   14.3%   14.3%    0.0%  0.00   0.0      ORIX Buffaloes     PL
