                 Team    G   W   L  T    PCT    GB   RS   RA  Diff   XPCT      Home      Road     vs H     vs F     vs B     vs E    vs L     vs M    Inter
0      SoftBank Hawks  109  67  38  4  0.638    --  415  290   125  0.658  35-18(3)  32-20(1)       --     12-7   9-3(2)      8-9    13-8  13-6(1)  12-5(1)
1  Nipponham Fighters  109  65  42  2  0.607   3.0  417  290   127  0.660     31-22  34-20(2)     7-12       --  10-8(1)  15-4(1)    11-6     11-5     11-7
2      ORIX Buffaloes  106  53  50  3  0.515  13.0  364  395   -31  0.463  29-25(2)  24-25(1)   3-9(2)  8-10(1)       --      9-9    10-9     12-6     11-7
3      Rakuten Eagles  107  52  53  2  0.495  15.0  328  369   -41  0.446  25-24(1)  27-29(1)      9-8  4-15(1)      9-9       --     9-8     12-5   9-8(1)
4         Seibu Lions  108  49  57  2  0.462  18.5  289  324   -35  0.448  29-27(1)  20-30(1)     8-13     6-11     9-10      8-9      --   8-6(2)     10-8
5       Lotte Marines  105  38  64  3  0.373  27.5  309  417  -108  0.366  21-28(1)  17-36(2)  6-13(1)     5-11     6-12     5-12  6-8(2)       --     10-8
